Id,ENG Description,FRA Description,KOR Description
DON,DongHae,Donghae,동해
GIM,Gimpo,Gimpo,김포
GNG,Gangneung ,Gangneung,강릉
INC,Incheon,Incheon,인천
JEO,Jeongseon,Jeongseon,정선
PYE,PyeongChang,PyeongChang,평창
SEO,Seoul,Séoul,서울
WON,WonJu,Wonju,원주
YAN,YangYang,Yangyang,양양
