Id,ENG Description,FRA Description,KOR Description
CLF,Common Law / De Facto,Concubinage,관습법
DIV,Divorced,Divorcé(e),이혼
MAR,Married,Marié(e),기혼
SIN,Single,Célibataire,독신
WID,Widowed,Veuf/veuve,사별
