Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,KOR unit Description,Old DDGEEEPUU
ALP,M,AC----------------,----,--------,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Event,,N,0,NONE,N,N,,,,ASM105000
ALP,M,AC----------------,DRAW,--------,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Draw,,N,0,NONE,N,N,Draw,Tirage au sort,추첨,
ALP,M,AC----------------,DRAW,000100--,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Draw,,Y,0,NONE,N,Y,Draw,Tirage au sort,추첨,ASM105E01
ALP,M,AC----------------,DRAW,0001DH--,Men's Alpine Combined Downhill Draw,"Descente combiné alpin H, tirage au sort",남자 알파인 복합 활강 추첨,Men's Alpine Combined Downhill Draw,"Descente du combiné alpin hommes, tirage au sort",남자 알파인 복합 활강 추첨,Draw,,Y,0,NONE,N,Y,Downhill Draw,"Descente, tirage au sort",활강 추첨,ASM105E02
ALP,M,AC----------------,DRAW,0001SL--,Men's Alpine Combined Slalom Draw,"Slalom combiné alpin H, tirage au sort",남자 알파인 복합 회전 추첨,Men's Alpine Combined Slalom Draw,"Slalom du combiné alpin hommes, tirage au sort",남자 알파인 복합 회전 추첨,Draw,,Y,0,NONE,N,Y,Slalom Draw,"Slalom, tirage au sort",회전 추첨,ASM105E03
ALP,M,AC----------------,FNL-,--------,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Phase,,N,0,NONE,N,N,,,,
ALP,M,AC----------------,FNL-,0001DH--,Men's Alpine Combined Downhill,Descente du combiné alpin hommes,남자 알파인 복합 활강,Men's Alpine Combined Downhill,Descente du combiné alpin hommes,남자 알파인 복합 활강,Unit,,Y,0,ATH,Y,Y,Downhill,Descente,활강,ASM105A01
ALP,M,AC----------------,FNL-,0001SG--,Men's Alpine Combined Super-G,Super-G du combiné alpin hommes,남자 알파인 복합 슈퍼대회전,Men's Alpine Combined Super-G,Super-G du combiné alpin hommes,남자 알파인 복합 슈퍼대회전,Unit,,Y,0,ATH,Y,Y,Super-G,Super-G,슈퍼대회전,ASM105C01
ALP,M,AC----------------,FNL-,0001SL--,Men's Alpine Combined Slalom,Slalom du combiné alpin hommes,남자 알파인 복합 회전,Men's Alpine Combined Slalom,Slalom du combiné alpin hommes,남자 알파인 복합 회전,Unit,,Y,1,ATH,Y,Y,Slalom,Slalom,회전 추첨,ASM105B01
ALP,M,AC----------------,TRNO,--------,Men's Alpine Combined Downhill Training,"Descente combiné alpin H, entraînement",남자 알파인 복합 활강 연습 ,Men's Alpine Combined Downhill Training,"Descente du combiné alpin hommes, entraînement",남자 알파인 복합 활강 연습 ,Training,,N,0,NONE,N,N,Downhill Training,"Descente, entraînement",활강 연습,ASM105O00
ALP,M,AC----------------,TRNO,000100--,Men's AC Downhill 1st Training,"Descente combiné alpin H, entraînement 1",남자 알파인 복합 활강 첫 번째 연습,Men's Alpine Combined Downhill 1st Training,"Descente du combiné alpin hommes, entraînement 1",남자 알파인 복합 활강 첫 번째 연습,Training,,Y,0,ATH,Y,Y,Downhill 1st Training,"Descente, entraînement 1",활강 첫 번째 연습,ASM105O01
ALP,M,AC----------------,TRNO,000200--,Men's AC Downhill 2nd Training,"Descente combiné alpin H, entraînement 2",남자 알파인 복합 활강 두 번째 연습,Men's Alpine Combined Downhill 2nd Training,"Descente du combiné alpin hommes, entraînement 2",남자 알파인 복합 활강 두 번째 연습,Training,,Y,0,ATH,Y,Y,Downhill 2nd Training,"Descente, entraînement 2",활강 두 번째 연습,ASM105O02
ALP,M,AC----------------,TRNO,000300--,Men's AC Downhill 3rd Training,"Descente combiné alpin H, entraînement 3",남자 알파인 복합 활강 세 번째 연습,Men's Alpine Combined Downhill 3rd Training,"Descente du combiné alpin hommes, entraînement 3",남자 알파인 복합 활강 세 번째 연습,Training,,Y,0,ATH,Y,Y,Downhill 3rd Training,"Descente, entraînement 3",활강 세 번째 연습,ASM105O03
