Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
DON,DongHae,동해,DongHae,동해
GIM,GimPo,김포,GimPo,김포
GNG,Gangneung ,강릉,Gangneung ,강릉
INC,InCheon,인천,InCheon,인천
JEO,Jeongseon,정선,Jeongseon,정선
PYE,PyeongChang,평창,PyeongChang,평창
SEO,Seoul,서울,Seoul,서울
WON,WonJu,원주,WonJu,원주
YAN,YangYang,양양,YangYang,양양
