Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
CEN,Ceremonies News,KOR,Ceremonies News,KOR
FL,Flag Bearers,KOR,Flag Bearers,KOR
FQ,Flash Quotes,KOR,Flash Quotes,KOR
MCH,Press Conference Highlights,KOR,Press Conference Highlights,KOR
OPC,Open and Closing Ceremonies,KOR,Open and Closing Ceremonies,KOR
PRE,Medals Presenters,KOR,Medals Presenters,KOR
TAN,Transport Announcements,KOR,Transport Announcements,KOR
