Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
ALP,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키
BTH,Biathlon,바이애슬론,Biathlon,바이애슬론
CCS,Cross-Country,크로스 컨트리 스키,Cross-Country,크로스 컨트리 스키
GEN,General,KOR,General,KOR
ISH,Ice Sledge Hockey,아이스슬레지하키,Ice Sledge Hockey,아이스슬레지하키
SBD,Snowboard,스노보드,Snowboard,스노보드
WCU,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링
