Id,ENG Description,KOR Description
ATH,Individuals,KOR
COUP,Couples,KOR
HATH,Individuals Head to Head,KOR
HCOUP,Couples Head to Head,KOR
HNOC,NOC Head to Head,KOR
HTEAM,Teams Head to Head,KOR
NOC,NOC,KOR
NONE,Not Applicable,KOR
TEAM,Teams,KOR
