Id,ENG Description,KOR Description
FOC,Future Organizing Committees,KOR
GOV,Korean Government,KOR
IF,International Federations,KOR
IOC,Int. Olympic Committee,국제 올림픽 위원회
IPC,Int. Paralympic Committee,국제 장애인올림픽 위원회 
NGB,National Governing Body,KOR
NOC,National Olympic Committees,국가별 올림픽 위원회 
NPC,National Paralympic Committees,국가별 장애인올림픽 위원회 
OC,Organizing Committee,KOR
ORG,Korean Organisation,KOR
