Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,M,AC------09110-----,DRAW,000100--,"Men's Combined, Standing, Draw",KOR,"Men's Combined, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM160E01
ALP,M,AC------09110-----,FNL-,0001DH--,"Men's Combined Downhill, Standing",KOR,"Men's Combined Downhill, Standing",KOR,Unit,,Y,0,ATH,Y,Y,Downhill,KOR,ASM160A01
ALP,M,AC------09110-----,FNL-,0001SG--,"Men's Combined Super-G, Standing",KOR,"Men's Combined Super-G, Standing",KOR,Unit,,Y,0,ATH,Y,Y,Super-G,KOR,ASM160C01
ALP,M,AC------09110-----,FNL-,0001SL--,"Men's Combined Slalom, Standing",KOR,"Men's Combined Slalom, Standing",KOR,Unit,,Y,1,ATH,Y,Y,Slalom,KOR,ASM160B01
ALP,M,AC------09110-----,TRNO,--------,"Men's Combined Downhill Trng, Standing",KOR,"Men's Combined Downhill Training, Standing",KOR,Training,,N,0,NONE,N,N,Downhill Training,KOR,ASM160O00
ALP,M,AC------09110-----,TRNO,000100--,"Men's Combined Downhill 1st Trng, Stand.",KOR,"Men's Combined Downhill 1st Training Run, Standing",KOR,Training,,Y,0,ATH,Y,Y,Downhill 1st Trng Run,KOR,ASM160O01
ALP,M,AC------09110-----,TRNO,000200--,"Men's Combined Downhill 2nd Trng, Stand.",KOR,"Men's Combined Downhill 2nd Training Run, Standing",KOR,Training,,Y,0,ATH,Y,Y,Downhill 2nd Trng Run,KOR,ASM160O02
ALP,M,AC------09110-----,TRNO,000300--,"Men's Combined Downhill 3rd Trng, Stand.",KOR,"Men's Combined Downhill 3rd Training Run, Standing",KOR,Training,,Y,0,ATH,Y,Y,Downhill 3rd Trng Run,KOR,ASM160O03
ALP,M,AC------09110-----,VICT,FLOWER--,"Men's Combined, Standing, Flowers",KOR,"Men's Combined, Standing, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM160M02
ALP,M,AC------09110-----,VICT,MEDAL---,"Men's Combined, Standing, Vict. Ceremony",KOR,"Men's Combined, Standing, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM160M01
ALP,M,AC------12050-----,----,--------,"Men's Combined, Sitting",KOR,"Men's Combined, Sitting",KOR,Event,,N,0,NONE,N,N,,,ASM260000
ALP,M,AC------12050-----,DRAW,000100--,"Men's Combined, Sitting, Draw",KOR,"Men's Combined, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM260E01
ALP,M,AC------12050-----,FNL-,0001DH--,"Men's Combined Downhill, Sitting",KOR,"Men's Combined Downhill, Sitting",KOR,Unit,,Y,0,ATH,Y,Y,Downhill,KOR,ASM260A01
ALP,M,AC------12050-----,FNL-,0001SG--,"Men's Combined Super-G, Sitting",KOR,"Men's Combined Super-G, Sitting",KOR,Unit,,Y,0,ATH,Y,Y,Super-G,KOR,ASM260C01
ALP,M,AC------12050-----,FNL-,0001SL--,"Men's Combined Slalom, Sitting",KOR,"Men's Combined Slalom, Sitting",KOR,Unit,,Y,1,ATH,Y,Y,Slalom,KOR,ASM260B01
ALP,M,AC------12050-----,TRNO,--------,"Men's Combined Downhill Trng, Sitting",KOR,"Men's Combined Downhill Training, Sitting",KOR,Training,,N,0,NONE,N,N,Downhill Training,KOR,ASM260O00
ALP,M,AC------12050-----,TRNO,000100--,"Men's Combined Downhill 1st Trng, Sit",KOR,"Men's Combined Downhill 1st Training Run, Sitting",KOR,Training,,Y,0,ATH,Y,Y,Downhill 1st Trng Run,KOR,ASM260O01
ALP,M,AC------12050-----,TRNO,000200--,"Men's Combined Downhill 2nd Trng, Sit",KOR,"Men's Combined Downhill 2nd Training Run, Sitting",KOR,Training,,Y,0,ATH,Y,Y,Downhill 2nd Trng Run,KOR,ASM260O02
ALP,M,AC------12050-----,TRNO,000300--,"Men's Combined Downhill 3rd Trng, Sit",KOR,"Men's Combined Downhill 3rd Training Run, Sitting",KOR,Training,,Y,0,ATH,Y,Y,Downhill 3rd Trng Run,KOR,ASM260O03
ALP,M,AC------12050-----,VICT,FLOWER--,"Men's Combined, Sitting, Flowers",KOR,"Men's Combined, Sitting, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM260M02
ALP,M,AC------12050-----,VICT,MEDAL---,"Men's Combined, Sitting, Vict. Ceremony",KOR,"Men's Combined, Sitting, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM260M01
ALP,M,DH----------------,----,--------,Men's Downhill,KOR,Men's Downhill,KOR,Event,,N,0,NONE,N,N,,,ASM010000
ALP,M,DH----------------,TRNO,000100--,"Men's Downhill, 1st Training Run",KOR,"Men's Downhill, 1st Training Run",KOR,Training,,N,0,NONE,N,N,1st Training Run,KOR,ASM010O01
ALP,M,DH----------------,TRNO,000200--,"Men's Downhill, 2nd Training Run",KOR,"Men's Downhill, 2nd Training Run",KOR,Training,,N,0,NONE,N,N,2nd Training Run,KOR,ASM010O02
ALP,M,DH----------------,TRNO,000300--,"Men's Downhill, 3rd Training Run",KOR,"Men's Downhill, 3rd Training Run",KOR,Training,,N,0,NONE,N,N,3rd Training Run,KOR,ASM010O03
ALP,M,DH------03030-----,----,--------,Men's Downhill - Visually Impaired,KOR,Men's Downhill - Visually Impaired,KOR,Event,,N,0,NONE,N,N,,,ASM310000
ALP,M,DH------03030-----,DRAW,000100--,"Men's Downhill, Vis Imp, Draw",KOR,"Men's Downhill, Vis Imp, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM310E01
ALP,M,DH------03030-----,DRAW,000200--,"Men's Downhill, Vis Imp, Draw",KOR,"Men's Downhill, Vis Imp, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM310E02
ALP,M,DH------03030-----,DRAW,000300--,"Men's Downhill, Vis Imp, Draw",KOR,"Men's Downhill, Vis Imp, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM310E03
ALP,M,DH------03030-----,DRAW,000400--,"Men's Downhill, Vis Imp, Draw",KOR,"Men's Downhill, Vis Imp, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM310E04
ALP,M,DH------03030-----,FNL-,000100--,Men's Downhill - Visually Impaired,KOR,Men's Downhill - Visually Impaired,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM310101
ALP,M,DH------03030-----,FNL-,000101--,Men's Downhill 1st Run - Vis Imp,KOR,Men's Downhill 1st Run - Visually Impaired,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM310111
ALP,M,DH------03030-----,FNL-,000102--,Men's Downhill 2nd Run - Vis Imp,KOR,Men's Downhill 2nd Run - Visually Impaired,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM310112
ALP,M,DH------03030-----,TRNO,000100--,Men's Downhill 1st Trng Run - Vis Imp,KOR,Men's Downhill 1st Training Run - Visually Impaired,KOR,Training,,Y,0,ATH,Y,Y,1st Training Run,KOR,ASM310O01
ALP,M,DH------03030-----,TRNO,000200--,Men's Downhill 2nd Trng Run - Vis Imp,KOR,Men's Downhill 2nd Training Run - Visually Impaired,KOR,Training,,Y,0,ATH,Y,Y,2nd Training Run,KOR,ASM310O02
