Id,ENG Description,KOR Description,Schedule Type
0,Opening/Closing Ceremonies,KOR,G
1,Official Training,KOR,G
2,Unofficial Training,KOR,N
3,Competition,KOR,G
4,Technical Meeting,KOR,N
5,Press Conference,KOR,N
6,Medal/Flower Ceremony,KOR,N
7,Draw,KOR,N
8,Others,KOR,N
9,Team Leaders Meeting,KOR,N
