Id,ENG Description,KOR Description
BT,Biathlon,바이애슬론
CU,Wheelchair Curling,휠체어컬링
IH,Ice Sledge Hockey,아이스슬레지하키
NE,Nordic Events,KOR
SI,Skiing,KOR
