Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
CER,Ceremonies Facts,KOR,Ceremonies Facts,KOR
FCT,Facts,KOR,Facts,KOR
MDL,Past Medallists,KOR,Past Medallists,KOR
PRE,Past Results,KOR,Past Results,KOR
