Id,ENG Description,KOR Description
E,East,KOR
ENE,East-North-East,KOR
ESE,East-South-East,KOR
N,North,KOR
NE,North-East,KOR
NNE,North-North-East,KOR
NNW,North-North-West,KOR
NW,North-West,KOR
S,South,KOR
SE,South-East,KOR
SSE,South-South-East,KOR
SSW,South-South-West,KOR
SW,South-West,KOR
VR,Variable,KOR
W,West,KOR
WNW,West-North-West,KOR
WSW,West-South-West,KOR
