Discipline,Gender,Event,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Team Event,Old DDGEEE
SBD,W,BSL-----01010-----,4,Women's Banked Slalom SB-UL ,KOR,Women's Banked Slalom SB-UL ,KOR,,
SBD,W,BSL-----10010-----,5,Women's Banked Slalom SB-LL1 ,KOR,Women's Banked Slalom SB-LL1 ,KOR,,
SBD,W,BSL-----20010-----,6,Women's Banked Slalom SB-LL2 ,KOR,Women's Banked Slalom SB-LL2 ,KOR,,
SBD,M,SBX-----01010-----,7,Men's Snowboard Cross SB-UL ,KOR,Men's Snowboard Cross SB-UL ,KOR,,
SBD,M,SBX-----10010-----,8,Men's Snowboard Cross SB-LL1 ,KOR,Men's Snowboard Cross SB-LL1 ,KOR,,
SBD,M,SBX-----20010-----,9,Men's Snowboard Cross SB-LL2 ,KOR,Men's Snowboard Cross SB-LL2 ,KOR,,
SBD,M,BSL-----01010-----,10,Men's Banked Slalom SB-UL ,KOR,Men's Banked Slalom SB-UL ,KOR,,
SBD,M,BSL-----10010-----,11,Men's Banked Slalom SB-LL1 ,KOR,Men's Banked Slalom SB-LL1 ,KOR,,
SBD,M,BSL-----20010-----,12,Men's Banked Slalom SB-LL2 ,KOR,Men's Banked Slalom SB-LL2 ,KOR,,
SBD,-,------------------,,Snowboard,스노보드,Snowboard,스노보드,,
SBD,M,------------------,,Men's Snowboard,KOR,Men's Snowboard,KOR,,
SBD,M,BSL---------------,,Men's Banked Slalom,남자 뱅크드 슬라롬,Men's Banked Slalom,남자 뱅크드 슬라롬,,
SBD,M,SBX---------------,,Men's Snowboard Cross,남자 스노보드 크로스,Men's Snowboard Cross,남자 스노보드 크로스,N,ASM190
SBD,W,------------------,,Women's Snowboard,KOR,Women's Snowboard,KOR,,
SBD,W,BSL---------------,,Women's Banked Slalom ,여자 뱅크드 슬라롬,Women's Banked Slalom ,여자 뱅크드 슬라롬,,
SBD,W,SBX---------------,,Women's Snowboard Cross ,여자 스노보드 크로스,Women's Snowboard Cross ,여자 스노보드 크로스,N,ASW190
TRU,-,ALP---------------,,Alpine Skiing,KOR,Alpine Skiing,KOR,,UT0AST
TRU,-,BTH---------------,,Biathlon,KOR,Biathlon,KOR,,UT0BTT
TRU,-,CCS---------------,,Cross-Country Skiing,KOR,Cross-Country Skiing,KOR,,UT0CCT
TRU,-,ISH---------------,,Ice Sledge Hockey,KOR,Ice Sledge Hockey,KOR,,UT0IHT
TRU,-,SBD---------------,,Snowboard,KOR,Snowboard,KOR,,UT0SBT
TRU,-,WCU---------------,,Wheelchair Curling,KOR,Wheelchair Curling,KOR,,UT0CUT
WCU,X,TEAM4---00000-----,1,Mixed,KOR,Mixed,KOR,Y,CUX400
WCU,-,------------------,,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링,,CU0000
