Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
FTA,FTA,,Y,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Arena do Futuro,Arena del Futuro,FTAGB1
FTC,FTC,,Y,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,FTCTR1
GB1,FTA,1,Y,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Arena do Futuro,Arena del Futuro,FTAGB1
GLO,GLO,,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,GLOSA1
JU1,CA3,1,Y,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,Arena Carioca 3- Tatami 1,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,Arena Carioca 3- Tatami 1,CA3JU1
JU2,CA3,2,Y,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,Arena Carioca 3- Tatami 2,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,Arena Carioca 3- Tatami 2,CA3JU1
LAG,LAG,,Y,Lagoa Stadium,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Estádio da Lagoa,Estadio de Lagoa,LAGRO1
OAS,OAS,,Y,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,OASSW1
OLS,OLS,,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
OSC,OSC,,Y,Olympic Shooting Centre,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centro Olímpico de Tiro,Centro Olímpico de Tiro,OSCSH1
OTN,OTN,,Y,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,
PO1,RC2,1,Y,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,RC2PO1
PON,PON,,Y,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,
RC2,RC2,,Y,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,RC2PO1
RC3,RC3,,Y,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,RC3TT1
RC6,RC6,,Y,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,RC6VS1
RO1,LAG,1,Y,Lagoa Stadium - Rowing,Estádio da Lagoa - Remo,Estadio de Lagoa - Remo,Lagoa Stadium - Rowing,Estádio da Lagoa - Remo,Estadio de Lagoa - Remo,LAGRO1
ROA,ROA,,Y,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,ROAWB1
ROV,ROV,,Y,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,ROVCT1
SA1,GLO,1,Y,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,Pão de Açúcar,GLOSA1
SA2,GLO,2,Y,Ponte,Ponte,Ponte,Ponte,Ponte,Ponte,GLOSA1
SA3,GLO,3,Y,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,Escola Naval,GLOSA1
SA4,GLO,4,Y,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,GLOSA1
SA5,GLO,5,Y,Niterói,Niterói,Niterói,Niterói,Niterói,Niterói,GLOSA1
SA6,GLO,6,Y,Pai,Pai,Pai,Pai,Pai,Pai,GLOSA1
SA7,GLO,7,Y,Aeroporto,Aeroporto,Aeroporto,Aeroporto,Aeroporto,Aeroporto,GLOSA1
SBD,SBD,,Y,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,SBDAR1
SH1,OSC,1,Y,Olympic Shooting - Final Range,Centro Olímpico de Tiro-Finais,Centro Olímpico de Tiro-Final,Olympic Shooting Centre-Pistol & Rifle Final Range,Centro Olímpico de Tiro - Estande de Finais,Centro Olímpico de Tiro-Pistola/Rifle Campo Final,OSCSH1
SH2,OSC,2,Y,Olympic Shooting - 10m Range,Centro Olímpico de Tiro - 10m,Centro Olímpico de Tiro-10m,Olympic Shooting Centre - Pistol & Rifle 10m Range,Centro Olímpico de Tiro - Estande de 10m,Centro Olímpico de Tiro - Pistola/Rifle Campo 10m,OSCSH1
SH3,OSC,3,Y,Olympic Shooting - 25m Range,Centro Olímpico de Tiro - 25m,Centro Olímpico de Tiro-25m,Olympic Shooting Centre - Pistol & Rifle 25m Range,Centro Olímpico de Tiro - Estande de 25m,Centro Olímpico de Tiro - Pistola/Rifle Campo 25m,OSCSH1
SH4,OSC,4,Y,Olympic Shooting - 50m Range,Centro Olímpico de Tiro - 50m,Centro Olímpico de Tiro-50m,Olympic Shooting Centre - Pistol & Rifle 50m Range,Centro Olímpico de Tiro - Estande de 50m,Centro Olímpico de Tiro - Pistola/Rifle Campo 50m,OSCSH1
SW1,OAS,1,Y,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,OASSW1
TR1,FTC,1,Y,Fort Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fuerte de Copacabana-Triatlón,Fort Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fuerte de Copacabana -Triatlón,FTCTR1
