Id,ENG Description,FRA Description,POR Description,SPA Description
BAT,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca
BHZ,Belo Horizonte,Belo Horizonte,Belo Horizonte,Belo Horizonte
BRS,Brasília,Brasília,Brasília,Brasília
COP,Copacabana,Copacabana,Copacabana,Copacabana
DEO,Deodoro,Deodoro,Deodoro,Deodoro
MNU,Manaus,Manaus,Manaus,Manaus
MRZ,Maracanã,Maracanã,Maracanã,Maracanã
SLV,Salvador,Salvador,Salvador,Salvador
SPL,São Paulo,São Paulo,São Paulo,São Paulo
