Function,Discipline,Order,Category,ENG Description,FRA Description,POR Description,SPA Description,Partic,Results
JUR_PR,WL,2,J,Jury President,Président du jury,Presidente do júri,Presidente del jurado,Y,Y
RE,WL,5,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
RE_CEN,WL,4,J,Centre Referee,Arbitre central,Árbitro central,Árbitro central,Y,Y
RR,WL,6,J,Reserve Referee,Arbitre de réserve,Árbitro reserva,Árbitro suplente,Y,Y
SCT_OFF,WL,10,S,Competition Secretary,Secrétaire de compétition,Secretário de competição,Secretario de la competencia,Y,Y
TCH_CTR,WL,9,S,Technical Controller,Contrôleur technique,Controlador técnico,Controlador técnico,Y,Y
TCH_DEL,WL,1,S,Technical Delegate,Délégué technique,Delegado técnico,Delegado técnico,Y,Y
TK,WL,8,S,Timekeeper,Chronométreur,Cronometrista,Cronometrista,Y,Y
AA01,WP,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
COACH,WP,1,C,Head Coach,Entraîneur chef,Treinador principal,Entrenador principal,Y,Y
GOAL_J,WP,4,J,Goal Judge,Juge de but,Juiz de gol,Juez de in-goal,Y,Y
JU,WP,3,J,Judge,Juge,Juiz,Juez,Y,N
RE,WP,9,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
SEC,WP,8,S,Secretary,Secrétaire,Secretário,Secretario,Y,Y
TK,WP,5,S,Timekeeper,Chronométreur,Cronometrista,Cronometrista,Y,Y
TM_OFFIC,WP,2,T,Official,Officiel,Oficial,Oficial,Y,Y
TO_J,WP,7,J,TO Judge,Juge TM,Juiz de TO,Juez TF,Y,Y
TWPC,WP,6,S,TWPC Delegate,Membre CTWP,Delegado do Comitê Técnico de Polo Aquático,Delegado TWPC,Y,Y
AA01,WR,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
JU,WR,4,J,Judge,Juge,Juiz,Juez,Y,Y
MC,WR,2,S,Mat Chairman,Chef de tapis,Mediador,Presidente de colchón,Y,Y
P03,WR,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
RE,WR,3,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
