Function,Discipline,Order,Category,ENG Description,FRA Description,POR Description,SPA Description,Partic,Results
E4,DV,,J,Execution Judge 4,Juge d'exécution 4,Juiz de execução 4,Juez de ejecución 4,Y,Y
E5,DV,,J,Execution Judge 5,Juge d'exécution 5,Juiz de execução 5,Juez de ejecución 5,Y,Y
E6,DV,,J,Execution Judge 6,Juge d'exécution 6,Juiz de execução 6,Juez de ejecución 6,Y,Y
J1,DV,,J,Judge 1,Juge 1,Juiz 1,Juez 1,Y,Y
J2,DV,,J,Judge 2,Juge 2,Juiz 2,Juez 2,Y,Y
J3,DV,,J,Judge 3,Juge 3,Juiz 3,Juez 3,Y,Y
J4,DV,,J,Judge 4,Juge 4,Juiz 4,Juez 4,Y,Y
J5,DV,,J,Judge 5,Juge 5,Juiz 5,Juez 5,Y,Y
J6,DV,,J,Judge 6,Juge 6,Juiz 6,Juez 6,Y,Y
J7,DV,,J,Judge 7,Juge 7,Juiz 7,Juez 7,Y,Y
JU,DV,,J,Judge,Juge,Juiz,Juez,Y,N
RE,DV,,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
S1,DV,,J,Synchronisation judge 1,Juge de synchronisation 1,Juiz de sincronização 1,Juez de sincronización 1,Y,Y
S2,DV,,J,Synchronisation judge 2,Juge de synchronisation 2,Juiz de sincronização 2,Juez de sincronización 2,Y,Y
S3,DV,,J,Synchronisation judge 3,Juge de synchronisation 3,Juiz de sincronização 3,Juez de sincronización 3,Y,Y
S4,DV,,J,Synchronisation judge 4,Juge de synchronisation 4,Juiz de sincronização 4,Juez de sincronización 4,Y,Y
S5,DV,,J,Synchronisation judge 5,Juge de synchronisation 5,Juiz de sincronização 5,Juez de sincronización 5,Y,Y
AA01,EQ,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
COACH,EQ,,C,Coach,Entraîneur,Treinador,Entrenador,Y,N
DOCTOR,EQ,,T,Doctor,Médecin,Médico,Médico,Y,N
GROOM,EQ,,T,Groom,Palefrenier,Tratador,Palafrenero,Y,N
JUR_ME,EQ,3,J,Jury Member,Membre du jury,Membro do júri,Miembro del jurado,Y,Y
JUR_PR,EQ,2,J,Jury President,Président du jury,Presidente do júri,Presidente del jurado,Y,Y
OWNER,EQ,,T,Owner,Propriétaire,Proprietário,Propietario,Y,N
P01,EQ,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
PHYSIO,EQ,,T,Physiotherapist,Physiothérapeute,Fisioterapeuta,Fisioterapeuta,Y,N
TM_MGR,EQ,,T,Manager,Entraîneur,Técnico,Entrenador,Y,N
TM_OFFIC,EQ,,T,Team Official,Officiel d'équipe,Oficial de equipe,Oficial del equipo,Y,N
VET,EQ,,S,Veterinarian,Vétérinaire,Veterinário,Veterinario,Y,N
4O,FB,3,S,4th Official,Quatrième officiel,Quarto árbitro,Cuarto árbitro,Y,Y
AA01,FB,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AR1,FB,5,J,Assistant Referee 1,Arbitre assistant 1,Árbitro assistente 1,Árbitro asistente 1,Y,Y
AR2,FB,6,J,Assistant Referee 2,Arbitre assistant 2,Árbitro assistente 2,Árbitro asistente 2,Y,Y
COACH,FB,2,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
GC,FB,9,S,General Coordinator,Coordinateur général,Coordenador geral,Coordinador general,Y,Y
MCS,FB,8,S,Match Commissioner,Commissaire de match,Comissário do jogo,Comisario de partido,Y,Y
P01,FB,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
RAR,FB,7,J,Reserve Assistant Referee,Arbitre assistant de réserve,Árbitro assistente reserva,Árbitro asistente suplente,Y,Y
RE,FB,4,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
AA01,FE,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AR,FE,5,J,Assistant Referee,Arbitre assistant,Árbitro assistente,Árbitro asistente,Y,Y
COACH,FE,2,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
P01,FE,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
RE,FE,3,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
VR,FE,4,S,Video Referee,Arbitre vidéo,Árbitro de vídeo,Árbitro de vídeo,Y,Y
AA01,GA,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AST_COA,GA,2,C,Assistant Coach,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,N
COACH,GA,1,C,Coach,Entraîneur,Treinador,Entrenador,Y,N
D1,GA,,J,Difficulty Judge 1,Juge de difficulté 1,Árbitro de dificuldade 1 (JD1),Juez de dificultad 1,Y,Y
D2,GA,,J,Difficulty Judge 2,Juge de difficulté 2,Árbitro de dificuldade 2 (JD2),Juez de dificultad 2,Y,Y
E1,GA,,J,Execution Judge 1,Juge d'exécution 1,Árbitro de execução 1,Juez de ejecución 1,Y,Y
E2,GA,,J,Execution Judge 2,Juge d'exécution 2,Árbitro de execução 2,Juez de ejecución 2,Y,Y
E3,GA,,J,Execution Judge 3,Juge d'exécution 3,Árbitro de execução 3,Juez de ejecución 3,Y,Y
E4,GA,,J,Execution Judge 4,Juge d'exécution 4,Árbitro de execução 4,Juez de ejecución 4,Y,Y
E5,GA,,J,Execution Judge 5,Juge d'exécution 5,Árbitro de execução 5,Juez de ejecución 5,Y,Y
ER1,GA,,J,Execution Reference Judge 1,Juge de référence d'exécution 1,Árbitro de referência de execução 1,Juez de referencia de ejecución 1,Y,Y
ER2,GA,,J,Execution Reference Judge 2,Juge de référence d'exécution 2,Árbitro de referência de execução 2,Juez de referencia de ejecución 2,Y,Y
JU,GA,,J,Judge,Juge,Árbitro,Juez,Y,N
Line_Judge,GA,,J,Line Judge,Juge de ligne,Árbitro de linha,Juez de línea,Y,Y
Line_Judge_1,GA,,J,Line Judge 1,Juge de ligne 1,Árbitro de linha 1,Juez de línea 1,Y,Y
Line_Judge_2,GA,,J,Line Judge 2,Juge de ligne 2,Árbitro de linha 2,Juez de línea 2,Y,Y
ME,GA,,S,Member,Membre,Membro,Miembro,Y,Y
PR,GA,,S,President,Président,Presidente,Presidente,Y,Y
SUP_BB,GA,,J,Beam Supervisor,Superviseur poutre,Supervisor de barra de equilíbrio,Supervisor de viga de equilibrio,Y,Y
SUP_F,GA,,J,Floor Supervisor,Superviseur sol,Supervisor de solo,Supervisor de suelo,Y,Y
SUP_HB,GA,,J,Horizontal Bar Supervisor,Superviseur barre fixe,Supervisor de barra fixa,Supervisor de barra fija,Y,Y
SUP_PB,GA,,J,Parallel Bars Supervisor,Superviseur barres parallèles,Supervisor de barras paralelas,Supervisor de barras paralelas,Y,Y
SUP_PH,GA,,J,Pommel Horse Supervisor,Superviseur cheval d'arçons,Supervisor de cavalo com alças,Supervisor de caballo con arzones,Y,Y
SUP_SR,GA,,J,Rings Supervisor,Superviseur anneaux,Supervisor de argolas,Supervisor de anillas,Y,Y
SUP_UB,GA,,J,Uneven Bars Supervisor,Superviseur barres asymétriques,Supervisor de barras assimétricas,Supervisor de barras asimétricas,Y,Y
SUP_V,GA,,J,Vault Supervisor,Superviseur saut de cheval,Supervisor de salto,Supervisor de salto,Y,Y
Time_Judge,GA,,J,Time Judge,Juge chronométreur,Árbitro cronometrista,Juez de tiempo,Y,Y
Time_Judge_1,GA,,J,Time Judge 1,Juge chronométreur 1,Árbitro cronometrista 1,Juez de tiempo 1,Y,Y
Time_Judge_2,GA,,J,Time Judge 2,Juge chronométreur 2,Árbitro cronometrista 2,Juez de tiempo 2,Y,Y
AA01,GO,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
CADDY,GO,,T,Caddy,Caddy,Caddy,Caddie,Y,N
AA01,GR,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
CHOR,GR,2,T,Choreographer,Chorégraphe,Coreógrafo,Coreógrafo,Y,N
COACH,GR,1,C,Coach,Entraîneur,Treinador,Entrenador,Y,N
