Id,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription
CEN,Ceremonies News,Notícias das cerimônias,Noticias de las Ceremonias,Ceremonies News,Notícias das cerimônias,Noticias de las Ceremonias
FL,Flag Bearers,Porta-bandeiras,Abanderados,Flag Bearers,Porta-bandeiras,Abanderados
FQ,Flash Quotes,Últimas declarações,Declaraciones de última hora,Flash Quotes,Últimas declarações,Declaraciones de última hora
MCH,Press Conference Highlights,Melhores moment.-col. imprensa,Mejores momentos-conf. prensa,Press Conference Highlights,Melhores momentos - coletiva de imprensa,Mejores momentos - conferencia de prensa
OPC,Open and Closing Ceremonies,Cerimônias abertura encerram.,Cerem. inauguración clausura,Open and Closing Ceremonies,Cerimônias de abertura e encerramento,Ceremonias de inauguración y clausura
PRE,Medals Presenters,Apresentadores de medalhas,Presentadores de medallas,Medals Presenters,Apresentadores de medalhas,Presentadores de medallas
TAN,Transport Announcements,Anúncios de transporte,Anuncios de transporte,Transport Announcements,Anúncios de transporte,Anuncios de transporte
