Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description,SPA unit Description
SW,W,427,9,51,Y,0,Women's 100m Backstroke - S7 Hts S-off 1,"100m costas fem - S7, elim, desempate 1","100m espalda fem-S7, elim., desempate 1",Women's 100m Backstroke - S7 Heats Swim-off 1,"100m costas feminino - S7, eliminatórias, desempate 1","100m espalda femenino - S7, eliminatorias, desempate 1",EventUnit,15,ATH,N,Y,Heats Swim-off 1,"Eliminatórias, desempate 1","Eliminatorias, desempate 1"
SW,W,427,9,52,Y,0,Women's 100m Backstroke - S7 Hts S-off 2,"100m costas fem - S7, elim, desempate 2","100m espalda fem-S7, elim., desempate 2",Women's 100m Backstroke - S7 Heats Swim-off 2,"100m costas feminino - S7, eliminatórias, desempate 2","100m espalda femenino - S7, eliminatorias, desempate 2",EventUnit,15,ATH,N,Y,Heats Swim-off 2,"Eliminatórias, desempate 2","Eliminatorias, desempate 2"
SW,W,427,9,53,Y,0,Women's 100m Backstroke - S7 Hts S-off 3,"100m costas fem - S7, elim, desempate 3","100m espalda fem-S7, elim., desempate 3",Women's 100m Backstroke - S7 Heats Swim-off 3,"100m costas feminino - S7, eliminatórias, desempate 3","100m espalda femenino - S7, eliminatorias, desempate 3",EventUnit,15,ATH,N,Y,Heats Swim-off 3,"Eliminatórias, desempate 3","Eliminatorias, desempate 3"
SW,W,427,M,00,Y,0,Women's 100m Backstroke - S7 VC,"100m costas feminino-S7, cer. premiação","100m espalda fem - S7, cer. medallas",Women's 100m Backstroke - S7 Victory Ceremony,"100m costas feminino - S7, cerimônia de premiação","100m espalda femenino - S7, ceremonia de entrega de medallas",Medals,17,NONE,N,Y,Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,W,428,0,00,N,0,Women's 100m Backstroke - S8,100m costas feminino - S8,100m espalda femenino - S8,Women's 100m Backstroke - S8,100m costas feminino - S8,100m espalda femenino - S8,Event,13,NONE,N,N,"","",
SW,W,428,1,00,N,1,Women's 100m Backstroke - S8 Final,"100m costas feminino - S8, final","100m espalda fem - S8, final",Women's 100m Backstroke - S8 Final,"100m costas feminino - S8, final","100m espalda femenino - S8, final",Phase,14,NONE,N,N,Final,Final,Final
SW,W,428,1,01,Y,1,Women's 100m Backstroke - S8 Final,"100m costas feminino - S8, final","100m espalda fem - S8, final",Women's 100m Backstroke - S8 Final,"100m costas feminino - S8, final","100m espalda femenino - S8, final",EventUnit,15,ATH,Y,Y,Final,Final,Final
SW,W,428,9,00,Y,0,Women's 100m Backstroke - S8 Heats,"100m costas feminino - S8, eliminatórias","100m espalda fem - S8, eliminatorias",Women's 100m Backstroke - S8 Heats,"100m costas feminino - S8, eliminatórias","100m espalda femenino - S8, eliminatorias",Phase,14,NONE,Y,N,Heats,Eliminatórias,Eliminatorias
SW,W,428,9,01,Y,0,Women's 100m Backstroke - S8 Heat 1,"100m costas feminino - S8, série 1","100m espalda femenino - S8, serie 1",Women's 100m Backstroke - S8 Heat 1,"100m costas feminino - S8, série 1","100m espalda femenino - S8, serie 1",EventUnit,15,ATH,N,Y,Heat 1,Série 1,Serie 1
SW,W,428,9,02,Y,0,Women's 100m Backstroke - S8 Heat 2,"100m costas feminino - S8, série 2","100m espalda femenino - S8, serie 2",Women's 100m Backstroke - S8 Heat 2,"100m costas feminino - S8, série 2","100m espalda femenino - S8, serie 2",EventUnit,15,ATH,N,Y,Heat 2,Série 2,Serie 2
