Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
CER,Ceremonies Facts,세레모니 현황,Ceremonies Facts,세레모니 현황
FCT,Facts,현황,Facts,현황
MDL,Past Medallists,역대 메달리스트,Past Medallists,역대 메달리스트
PRE,Past Results,역대 기록,Past Results,역대 기록
