Discipline,Gender,Event,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Team Event,Old DDGEEE
SBD,M,SBX-----01010-----,7,Men's Snowboard Cross SB-UL,남자 스노보드 크로스 SB-UL ,Men's Snowboard Cross SB-UL,남자 스노보드 크로스 SB-UL ,N,
SBD,M,SBX-----10010-----,8,Men's Snowboard Cross SB-LL1,남자 스노보드 크로스 SB-LL1 ,Men's Snowboard Cross SB-LL1,남자 스노보드 크로스 SB-LL1 ,N,
SBD,M,SBX-----20010-----,9,Men's Snowboard Cross SB-LL2,남자 스노보드 크로스 SB-LL2 ,Men's Snowboard Cross SB-LL2,남자 스노보드 크로스 SB-LL2 ,N,
SBD,M,BSL-----01010-----,10,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,Men's Banked Slalom SB-UL,남자 뱅크드 슬라롬 SB-UL ,N,
SBD,M,BSL-----10010-----,11,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,Men's Banked Slalom SB-LL1,남자 뱅크드 슬라롬 SB-LL1 ,N,
SBD,M,BSL-----20010-----,12,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,Men's Banked Slalom SB-LL2,남자 뱅크드 슬라롬 SB-LL2 ,N,
SBD,-,------------------,,Snowboard,스노보드,Snowboard,스노보드,,
SBD,M,------------------,,Men's Snowboard,스노보드 남자경기,Men's Snowboard,스노보드 남자경기,,
SBD,M,BSL---------------,,Men's Banked Slalom,남자 뱅크드 슬라롬,Men's Banked Slalom,남자 뱅크드 슬라롬,,
SBD,M,SBX---------------,,Men's Snowboard Cross,남자 스노보드 크로스,Men's Snowboard Cross,남자 스노보드 크로스,N,ASM190
SBD,W,------------------,,Women's Snowboard,스노보드 여자경기,Women's Snowboard,스노보드 여자경기,,
SBD,W,BSL---------------,,Women's Banked Slalom,여자 뱅크드 슬라롬,Women's Banked Slalom,여자 뱅크드 슬라롬,,
SBD,W,SBX---------------,,Women's Snowboard Cross,여자 스노보드 크로스,Women's Snowboard Cross,여자 스노보드 크로스,N,ASW190
SBD,-,CANCEL------------,,No competition,경기 없음,No competition,경기 없음,,
TRU,-,ALP---------------,,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키,,UT0AST
TRU,-,BTH---------------,,Biathlon,바이애슬론,Biathlon,바이애슬론,,UT0BTT
TRU,-,CCS---------------,,Cross-Country Skiing,크로스컨트리 스키,Cross-Country Skiing,크로스컨트리 스키,,UT0CCT
TRU,-,CUR---------------,,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링,,UT0CUT
TRU,-,ISH---------------,,Ice Hockey,아이스하키,Ice Hockey,아이스하키,,UT0IHT
TRU,-,SBD---------------,,Snowboard,스노보드,Snowboard,스노보드,,UT0SBT
