Version,DateVersion
11.00,2018-01-05T00:00:00+00:00
10.00,2017-12-04T00:00:00+00:00
9.00,2017-10-30T00:00:00+00:00
8.00,2017-10-02T00:00:00+00:00
7.00,2017-07-20T00:00:00+00:00
6.00,2017-05-25T00:00:00+00:00
5.00,2017-04-20T00:00:00+00:00
4.00,2017-02-23T00:00:00+00:00
3.00,2016-12-22T00:00:00+00:00
2.00,2016-11-10T00:00:00+00:00
1.00,2016-09-22T00:00:00+00:00
0.03,2016-05-26T00:00:00+00:00
0.02,2016-03-24T00:00:00+00:00
