Id,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
GVL,N,Gangneung Olympic Village,강릉 올림픽 선수촌,Gangneung Olympic Village,강릉 올림픽 선수촌,,GNG,Gangneung 
HBD,N,Hoenggye Bus Depot,횡계 버스 차고지,Hoenggye Bus Depot,횡계 버스 차고지,,PYE,PyeongChang
HFD,N,Hoenggye Fleet Depot,횡계 플릿 차고지,Hoenggye Fleet Depot,횡계 플릿 차고지,,PYE,PyeongChang
HIH,N,Holiday Inn Resort Hotel,홀리데이인리조트 호텔,Holiday Inn Resort (Hotel),홀리데이인리조트 호텔,,PYE,PyeongChang
HQ2,N,POCOG Seoul Office,평창조직위 서울사무소,PyeongChang 2018 Seoul Office,평창조직위 서울사무소,,SEO,Seoul
HQ4,N,POCOG Ski Jumping Office,평창조직위 스키점프사무소,PyeongChang 2018 Ski Jumping Office,평창조직위 스키점프사무소,,PYE,PyeongChang
HQ5,N,POCOG KAL Office,평창조직위 대한항공사무소,PyeongChang 2018 Korean Air Office,평창조직위 대한항공사무소,,SEO,Seoul
HQG,N,POCOG Coastal Office,평창조직위 강릉사무소,PyeongChang 2018 Gangneung Office,평창조직위 강릉사무소,,GNG,Gangneung 
HQP,N,POCOG Headquarters,평창조직위 본부,PyeongChang 2018 Headquarters,평창조직위 본부,,PYE,PyeongChang
HTG,N,HOTEL TOPS TEN Gangneung,호텔 탑스텐 강릉,HOTEL TOPS TEN Gangneung,호텔 탑스텐 강릉,,,
HTL,N,Hotels,호텔 공통,Hotels,호텔 공통,,,
IBC,N,Intl’l Broadcast Centre,국제 방송 센터,International Broadcast Centre ,국제 방송 센터,,PYE,PyeongChang
ICH,N,InterContinental Hotel,인터컨티넨탈 호텔,InterContinental Hotel,인터컨티넨탈 호텔,,PYE,PyeongChang
ICN,N,Incheon Int'l Airport,인천국제공항,Incheon International Airport,인천국제공항,,SEO,Seoul
ISM,N,Security Monitoring Ctr,보안관제센터,Integrated Security Monitoring Centre,보안관제센터,,,
ITH,N,IBC Transport Hub,IBC 수송허브,IBC Transport Hub,IBC 수송허브,,PYE,PyeongChang
JAL,Y,Jeongseon Alpine Centre,정선 알파인 경기장,Jeongseon Alpine Centre,정선 알파인 경기장,O,PYE,PyeongChang
JBB,N,Jinbu Bus terminal,진부 버스터미널,Jinbu Bus terminal,진부 버스터미널,,,
JBP,N,Jinbu Park & Ride,진부주차장,Jinbu Park & Ride,진부주차장,,,
JBS,N,Jinbu Station,진부역,Jinbu Station,진부역,,PYE,PyeongChang
JPB,N,JangPyeong Bus terminal,장평 버스터미널,JangPyeong Bus terminal,장평 버스터미널,,,
JSA,N,JeongSeon Arari park,정선 아라리 공원,JeongSeon Arari park,정선 아라리 공원,,PYE,PyeongChang
JSB,N,JeongSeon Bus terminal,정선 버스터미널,JeongSeon Bus terminal,정선 버스터미널,,PYE,PyeongChang
JSP,N,Jeongseon Park & Ride,정선주차장,Jeongseon Park & Ride,정선주차장,,PYE,PyeongChang
JTM,N,Jinbu Transport Mall,진부 수송몰,Jinbu Transport Mall (near JBS),진부 수송몰,,,
KDP,N,Kwandong Park & Ride,관동주차장,Kwandong Park & Ride,관동주차장,,,
KFH,N,Kensington Flora Hotel,켄싱턴 플로라 호텔,Kensington Flora Hotel,켄싱턴 플로라 호텔,,,
KHC,Y,Kwandong Hockey Centre,관동 하키 센터,Kwandong Hockey Centre,관동 하키 센터,I,GNG,Gangneung 
KHT,N,Kwandong Hockey Training,관동 하키 연습경기장,Kwandong Hockey Training Venue,관동 하키 연습경기장,,GNG,Gangneung 
KST,N,Korea Science & Tec Inst.,한국과학기술연구원,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,SEO,Seoul
KTC,N,Gangwon Ticketing Ctr,2018 평창 동계올림픽 메인티켓센터(강원도),Gangwon Ticketing Centre,2018 평창 동계올림픽 메인티켓센터 (강원도),,PYE,PyeongChang
LSH,N,Lakai Sandpine Resort,라카이샌드파인,Lakai Sandpine Resort,라카이샌드파인,,,
MAC,N,Mountain Accred Ctr,마운틴 클러스터 유니폼배부 및 메인 등록센터,Mountain Accreditation Centre,마운틴 클러스터 유니폼배부 및 메인 등록센터,,PYE,PyeongChang
MDC,N,Main Distribution Centre,물류분배센터,Main Distribution Centre,물류분배센터,,PYE,PyeongChang
MGM,N,MGM Hotel,MGM 호텔,MGM Hotel,MGM 호텔,,,
MMH,N,Maremons Hotel,마레몬스 호텔,Maremons Hotel,마레몬스 호텔,,,
MNC,N,Main Network Centre,주 네트워크 센터,Main Network Centre,주 네트워크 센터,,,
MOC,N,Main Operations Centre,종합운영센터,Main Operations Centre,종합운영센터,,PYE,PyeongChang
MPC,N,Main Press Centre,메인 프레스 센터,Main Press Centre,메인 프레스 센터,,PYE,PyeongChang
MTH,N,Media Vill. transport hub,미디어촌 수송허브,Media Village transport hub,미디어촌 수송허브,,GNG,Gangneung 
MTM,N,Mountain T3 transp. mall,마운틴 T3 수송몰,Mountain T3 transport mall,마운틴 T3 수송몰,,,
MVL,N,Media Village Management,미디어촌 관리,Media Village Management,미디어촌 관리,,,
NGP,N,Nth Gangneung Park & Ride,북강릉주차장,North Gangneung Park & Ride,북강릉주차장,,,
NTM,N,North Gangneung TS Mall,북강릉 수송몰,North Gangneung Transport Mall (near NGP),북강릉 수송몰,,,
OF2,N,Holiday Inn Resort,홀리데이인 리조트 호텔,Holiday Inn Hotel and Resort,홀리데이인 리조트 호텔,,PYE,PyeongChang
OF3,N,Dragon Valley Hotel,드래곤밸리 호텔,Dragon Valley Hotel,드래곤밸리 호텔,,PYE,PyeongChang
OF4,N,Kensington Flora Hotel,켄싱턴 플로라 호텔,Kensington Flora Hotel,켄싱턴 플로라 호텔,,PYE,PyeongChang
OFH,N,Olympic Family Hotel,올림픽패밀리호텔,Olympic Family Hotel,올림픽패밀리호텔,,,
OLC,N,Olympic Club,올림픽클럽,Olympic Club,올림픽클럽,,PYE,PyeongChang
PCS,N,PyeongChang Station,평창역,PyeongChang Station,평창역,,PYE,PyeongChang
PDC,N,Primary Data Centre,주데이터센터,Primary Data Centre,주데이터센터,,,
PFH,N,Paralympic Family Hotel,패럴림픽패밀리호텔,Paralympic Family Hotel,패럴림픽패밀리호텔,,,
PHC,N,Paralymp. Hospitality Ctr,패럴림픽 호스피탈리티 센터,Paralympic Hospitality Centre,패럴림픽 호스피탈리티 센터,,PYE,PyeongChang
PMP,N,PyeongChang Medals Plaza,평창 메달 플라자,PyeongChang Medals Plaza,평창 메달 플라자,,PYE,PyeongChang
PMR,N,PyeongChang Media Resid.,평창 미디어 레지던스,PyeongChang Media Residence,평창 미디어 레지던스,,PYE,PyeongChang
POP,N,PyeongChang Olympic Plaza,평창 올림픽 플라자,PyeongChang Olympic Plaza,평창 올림픽 플라자,,PYE,PyeongChang
POS,N,PyeongChang Olympic Stad.,평창 올림픽 스타디움,PyeongChang Olympic Stadium,평창 올림픽 스타디움,,PYE,PyeongChang
PRV,N,PyeongChang Rem Veh Site,평창원거리차량검색시설,PyeongChang Remote Vehicle Screening Site,평창원거리차량검색시설,,PYE,PyeongChang
PVL,N,PyeongChang Olympic Vill.,평창 올림픽 선수촌,PyeongChang Olympic Village,평창 올림픽 선수촌,,PYE,PyeongChang
SCD,N,Sokcho Depot,속초 차고지,Sokcho Depot,속초 차고지,,,
SDC,N,Secondary Data Centre,보조데이터센터,Secondary Data Centre,보조데이터센터,,SEO,Seoul
