Id,ENG Description,KOR Description
DON,DongHae,동해
GIM,GimPo,김포
GNG,Gangneung ,강릉
INC,InCheon,인천
JEO,Jeongseon,정선
PYE,PyeongChang,평창
SEO,Seoul,서울
WON,WonJu,원주
YAN,YangYang,양양
