Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
ALP,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키
BTH,Biathlon,바이애슬론,Biathlon,바이애슬론
CCS,Cross-Country Skiing,크로스컨트리 스키,Cross-Country Skiing,크로스컨트리 스키
CER,Ceremonies,의식행사,Ceremonies,의식행사
CUR,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링
GEN,General,일반,General,일반
ISH,Ice Hockey,아이스 하키,Ice Hockey,아이스 하키
IOC,Paralympic Movement,패럴림픽 무브먼트,Paralympic Movement,패럴림픽 무브먼트
SBD,Snowboard,스노보드,Snowboard,스노보드
