Id,weatherRegion
ABT,PYE
ACC,PYE
ASJ,PYE
ASL,PYE
BSP,PYE
GCC,GNG
GHC,GNG
GIA,GNG
GOV,GNG
JAL,PYE
KHC,GNG
YAL,PYE
