Id,ENG Description,KOR Description
BT,Biathlon,바이애슬론
CU,Wheelchair Curling,휠체어컬링
IH,Ice Hockey,아이스 하키
NE,Nordic Events,노르딕 이벤트
SI,Skiing,스키
XX,More than one Sport,멀티스포츠
