Discipline,Gender,Event,Phase,Type,ENG Results Long Name (80),ENG Results Short Name (40),AZE Results Long Name (80),AZE Results Short Name (40)
AT,M,004,0,8,Men's 400m ,Men's 400m ,,
AT,M,004,1,3,Men's 400m ,Men's 400m ,,
AT,M,008,0,8,Men's 800m ,Men's 800m ,,
AT,M,008,1,3,Men's 800m ,Men's 800m ,,
AT,M,015,0,8,Men's 1500m ,Men's 1500m ,,
AT,M,015,1,3,Men's 1500m ,Men's 1500m ,,
AT,M,030,0,8,Men's 3000m  ,Men's 3000m  ,,
AT,M,030,1,3,Men's 3000m  ,Men's 3000m  ,,
AT,M,050,0,8,Men's 5000m ,Men's 5000m ,,
AT,M,050,1,3,Men's 5000m ,Men's 5000m ,,
AT,M,012,0,8,Men's 110m Hurdles ,Men's 110m Hurdles ,,
AT,M,012,1,3,Men's 110m Hurdles ,Men's 110m Hurdles ,,
AT,M,044,0,8,Men's 400m Hurdles ,Men's 400m Hurdles ,,
AT,M,044,1,3,Men's 400m Hurdles ,Men's 400m Hurdles ,,
AT,M,033,0,8,Men's 3000m Steeplechase ,Men's 3000m Steeplechase ,,
AT,M,033,1,3,Men's 3000m Steeplechase ,Men's 3000m Steeplechase ,,
AT,M,401,0,8,Men's 4 x 100m Relay ,Men's 4 x 100m Relay ,,
AT,M,401,1,3,Men's 4 x 100m Relay ,Men's 4 x 100m Relay ,,
AT,M,404,0,8,Men's 4 x 400m Relay ,Men's 4 x 400m Relay ,,
AT,M,404,1,3,Men's 4 x 400m Relay ,Men's 4 x 400m Relay ,,
AT,M,071,0,8,Men's High Jump ,Men's High Jump ,,
AT,M,071,1,3,Men's High Jump ,Men's High Jump ,,
AT,M,072,0,8,Men's Pole Vault ,Men's Pole Vault ,,
AT,M,072,1,3,Men's Pole Vault ,Men's Pole Vault ,,
AT,M,061,1,3,Men's Long Jump ,Men's Long Jump ,,
AT,M,062,0,8,Men's Triple Jump ,Men's Triple Jump ,,
AT,M,062,1,3,Men's Triple Jump ,Men's Triple Jump ,,
AT,M,051,0,8,Men's Shot Put ,Men's Shot Put ,,
AT,M,051,1,3,Men's Shot Put ,Men's Shot Put ,,
AT,M,052,0,8,Men's Discus Throw ,Men's Discus Throw ,,
AT,M,052,1,3,Men's Discus Throw ,Men's Discus Throw ,,
AT,M,053,0,8,Men's Javelin Throw ,Men's Javelin Throw ,,
AT,M,053,1,3,Men's Javelin Throw ,Men's Javelin Throw ,,
AT,M,054,0,8,Men's Hammer Throw ,Men's Hammer Throw ,,
AT,M,054,1,3,Men's Hammer Throw ,Men's Hammer Throw ,,
AT,W,001,0,8,Women's 100m ,Women's 100m ,,
AT,W,001,1,3,Women's 100m ,Women's 100m ,,
AT,W,002,0,8,Women's 200m ,Women's 200m ,,
AT,W,002,1,3,Women's 200m ,Women's 200m ,,
AT,W,004,0,8,Women's 400m ,Women's 400m ,,
AT,W,004,1,3,Women's 400m ,Women's 400m ,,
AT,W,008,0,8,Women's 800m ,Women's 800m ,,
AT,W,008,1,3,Women's 800m ,Women's 800m ,,
AT,W,015,0,8,Women's 1500m ,Women's 1500m ,,
AT,W,015,1,3,Women's 1500m ,Women's 1500m ,,
AT,W,030,0,8,Women's 3000m  ,Women's 3000m  ,,
AT,W,030,1,3,Women's 3000m  ,Women's 3000m  ,,
AT,W,050,0,8,Women's 5000m ,Women's 5000m ,,
AT,W,050,1,3,Women's 5000m ,Women's 5000m ,,
AT,W,011,0,8,Women's 100m Hurdles ,Women's 100m Hurdles ,,
AT,W,011,1,3,Women's 100m Hurdles ,Women's 100m Hurdles ,,
AT,W,044,0,8,Women's 400m Hurdles ,Women's 400m Hurdles ,,
AT,W,044,1,3,Women's 400m Hurdles ,Women's 400m Hurdles ,,
AT,W,033,0,8,Women's 3000m Steeplechase ,Women's 3000m Steeplechase ,,
AT,W,033,1,3,Women's 3000m Steeplechase ,Women's 3000m Steeplechase ,,
AT,W,401,0,8,Women's 4 x 100m Relay ,Women's 4 x 100m Relay ,,
AT,W,401,1,3,Women's 4 x 100m Relay ,Women's 4 x 100m Relay ,,
AT,W,404,0,8,Women's 4 x 400m Relay ,Women's 4 x 400m Relay ,,
AT,W,404,1,3,Women's 4 x 400m Relay ,Women's 4 x 400m Relay ,,
AT,W,071,0,8,Women's High Jump ,Women's High Jump ,,
AT,W,071,1,3,Women's High Jump ,Women's High Jump ,,
AT,W,072,0,8,Women's Pole Vault ,Women's Pole Vault ,,
AT,W,072,1,3,Women's Pole Vault ,Women's Pole Vault ,,
AT,W,061,1,3,Women's Long Jump ,Women's Long Jump ,,
AT,W,062,0,8,Women's Triple Jump ,Women's Triple Jump ,,
AT,W,062,1,3,Women's Triple Jump ,Women's Triple Jump ,,
AT,W,051,0,8,Women's Shot Put ,Women's Shot Put ,,
AT,W,051,1,3,Women's Shot Put ,Women's Shot Put ,,
AT,W,052,0,8,Women's Discus Throw ,Women's Discus Throw ,,
AT,W,052,1,3,Women's Discus Throw ,Women's Discus Throw ,,
AT,W,053,0,8,Women's Javelin Throw ,Women's Javelin Throw ,,
AT,W,053,1,3,Women's Javelin Throw ,Women's Javelin Throw ,,
AT,W,054,0,8,Women's Hammer Throw ,Women's Hammer Throw ,,
AT,W,054,1,3,Women's Hammer Throw ,Women's Hammer Throw ,,
B3,0,000,0,8,Basketball 3X3,Basketball 3X3,,
B3,0,BBA,0,8,Basketball Arena,Basketball Arena,,
B3,0,000,Y,8,Basketball 3X3 Daily Schedule,Basketball 3X3 Daily Schedule,,
B3,M,000,0,8,Men,Men,,
B3,M,000,Y,8,3x3 Basketball  - Men's Daily Schedule,3x3 Basketball - Men's Daily Schedule,,
B3,M,400,0,8,Men,Men,,
B3,M,400,1,3,Men's Finals,Men's Finals,,
B3,M,400,2,3,Men's Semifinals,Men's Semifinals,,
B3,M,400,3,3,Men's Quarterfinals,Men's Quarterfinals,,
B3,M,400,4,3,Men's Round of 16,Men's Round of 16,,
B3,M,400,9,3,Men's Preliminary Round,Men's Preliminary Round,,
B3,M,400,A,3,Men's Preliminary Round Group A,Men's Preliminary Round Group A,,
B3,M,400,B,3,Men's Preliminary Round Group B,Men's Preliminary Round Group B,,
B3,M,400,C,3,Men's Preliminary Round Group C,Men's Preliminary Round Group C,,
B3,M,400,D,3,Men's Preliminary Round Group D,Men's Preliminary Round Group D,,
B3,M,400,M,6,Men's Medal Ceremony,Men's Medal Ceremony,,
B3,W,000,0,8,Women,Women,,
B3,W,000,Y,8,Basketball 3x3  - Women's Daily Schedule,Basketball 3x3  - Women's Daily Schedule,,
B3,W,400,0,8,Women,Women,,
B3,W,400,1,3,Women's Finals,Women's Finals,,
B3,W,400,2,3,Women's Semifinals,Women's Semifinals,,
B3,W,400,3,3,Women's Quarterfinals,Women's Quarterfinals,,
B3,W,400,4,3,Women's Round of 16,Women's Round of 16,,
B3,W,400,9,3,Women's Preliminary Round,Women's Preliminary Round,,
B3,W,400,A,3,Women's Preliminary Round Group A,Women's Preliminary Round Group A,,
B3,W,400,B,3,Women's Preliminary Round Group B,Women's Preliminary Round Group B,,
B3,W,400,C,3,Women's Preliminary Round Group C,Women's Preliminary Round Group C,,
B3,W,400,D,3,Women's Preliminary Round Group D,Women's Preliminary Round Group D,,
B3,W,400,M,6,Women's Medal Ceremony,Women's Medal Ceremony,,
BD,0,000,0,8,Badminton,Badminton,,
BD,0,BSH,0,8,Baku Sports Hall,Baku Sports Hall,,
BD,0,000,Y,8,Badminton Daily Schedule,Badminton Daily Schedule,,
BD,0,000,Z,8,Badminton - Session,Badminton - Session,,
BD,M,000,0,8,Men,Men,,
BD,M,001,0,8,Men's Singles,Men's Singles,,
BD,M,001,1,3,Men's Singles Medal Matches,Men's Singles Medal Matches,,
BD,M,001,2,3,Men's Singles Semifinals,Men's Singles Semifinals,,
BD,M,001,3,3,Men's Singles Quarterfinals,Men's Singles Quarterfinals,,
BD,M,001,4,3,Men's Singles Round of 16,Men's Singles Round of 16,,
BD,M,001,9,3,Men's Singles Group Play Stage,Men's Singles Group Play Stage,,
BD,M,001,A,3,Men's Singles Group Play Stage - Group A,Men's Singles Group Play Stage - Grp A,,
BD,M,001,B,3,Men's Singles Group Play Stage - Group B,Men's Singles Group Play Stage - Grp B,,
BD,M,001,C,3,Men's Singles Group Play Stage - Group C,Men's Singles Group Play Stage - Grp C,,
BD,M,001,D,3,Men's Singles Group Play Stage - Group D,Men's Singles Group Play Stage - Grp D,,
BD,M,001,E,3,Men's Singles Group Play Stage - Group E,Men's Singles Group Play Stage - Grp E,,
BD,M,001,F,3,Men's Singles Group Play Stage - Group F,Men's Singles Group Play Stage - Grp F,,
BD,M,001,G,3,Men's Singles Group Play Stage - Group G,Men's Singles Group Play Stage - Grp G,,
BD,M,001,H,3,Men's Singles Group Play Stage - Group H,Men's Singles Group Play Stage - Grp H,,
BD,M,001,M,6,Men's Singles Medal Ceremony,Men's Singles Medal Ceremony,,
BD,M,002,0,8,Men's Doubles,Men's Doubles,,
BD,M,002,1,3,Men's Doubles Medal Matches,Men's Doubles Medal Matches,,
BD,M,002,2,3,Men's Doubles Semifinals,Men's Doubles Semifinals,,
BD,M,002,3,3,Men's Doubles Quarterfinals,Men's Doubles Quarterfinals,,
BD,M,002,9,3,Men's Doubles Group Play Stage,Men's Doubles Group Play Stage,,
BD,M,002,A,3,Men's Doubles Group Play Stage - Group A,Men's Doubles Group Play Stage - Grp A,,
BD,M,002,B,3,Men's Doubles Group Play Stage - Group B,Men's Doubles Group Play Stage - Grp B,,
BD,M,002,C,3,Men's Doubles Group Play Stage - Group C,Men's Doubles Group Play Stage - Grp C,,
BD,M,002,D,3,Men's Doubles Group Play Stage - Group D,Men's Doubles Group Play Stage - Grp D,,
BD,M,002,M,6,Men's Doubles Medal Ceremony,Men's Doubles Medal Ceremony,,
BD,W,000,0,8,Women,Women,,
BD,W,001,0,8,Women's Singles,Women's Singles,,
BD,W,001,1,3,Women's Singles Medal Matches,Women's Singles Medal Matches,,
BD,W,001,2,3,Women's Singles Semifinals,Women's Singles Semifinals,,
BD,W,001,3,3,Women's Singles Quarterfinals,Women's Singles Quarterfinals,,
BD,W,001,4,3,Women's Singles Round of 16,Women's Singles Round of 16,,
BD,W,001,9,3,Women's Singles Group Play Stage,Women's Singles Group Play Stage,,
BD,W,001,A,3,Women's Singles Group Play Stage - Group A,Women's Singles Group Play Stage - Grp A,,
BD,W,001,B,3,Women's Singles Group Play Stage - Group B,Women's Singles Group Play Stage - Grp B,,
BD,W,001,C,3,Women's Singles Group Play Stage - Group C,Women's Singles Group Play Stage - Grp C,,
BD,W,001,D,3,Women's Singles Group Play Stage - Group D,Women's Singles Group Play Stage - Grp D,,
BD,W,001,E,3,Women's Singles Group Play Stage - Group E,Women's Singles Group Play Stage - Grp E,,
BD,W,001,F,3,Women's Singles Group Play Stage - Group F,Women's Singles Group Play Stage - Grp F,,
BD,W,001,G,3,Women's Singles Group Play Stage - Group G,Women's Singles Group Play Stage - Grp G,,
BD,W,001,H,3,Women's Singles Group Play Stage - Group H,Women's Singles Group Play Stage - Grp H,,
BD,W,001,M,6,Women's Singles Medal Ceremony,Women's Singles Medal Ceremony,,
BD,W,002,0,8,Women's Doubles,Women's Doubles,,
BD,W,002,1,3,Women's Doubles Medal Matches,Women's Doubles Medal Matches,,
BD,W,002,2,3,Women's Doubles Semifinals,Women's Doubles Semifinals,,
BD,W,002,3,3,Women's Doubles Quarterfinals,Women's Doubles Quarterfinals,,
BD,W,002,9,3,Women's Doubles Group Play Stage,Women's Doubles Group Play Stage,,
BD,W,002,A,3,Women's Doubles Group Play Stage - Group A,Women's Doubles Group Play Stage - Grp A,,
BD,W,002,B,3,Women's Doubles Group Play Stage - Group B,Women's Doubles Group Play Stage - Grp B,,
BD,W,002,C,3,Women's Doubles Group Play Stage - Group C,Women's Doubles Group Play Stage - Grp C,,
BD,W,002,D,3,Women's Doubles Group Play Stage - Group D,Women's Doubles Group Play Stage - Grp D,,
BD,W,002,M,6,Women's Doubles Medal Ceremony,Women's Doubles Medal Ceremony,,
BD,X,002,0,8,Mixed Doubles,Mixed Doubles,,
BD,X,002,1,3,Mixed Doubles Medal Matches,Mixed Doubles Medal Matches,,
BD,X,002,2,3,Mixed Doubles Semifinals,Mixed Doubles Semifinals,,
BD,X,002,3,3,Mixed Doubles Quarterfinals,Mixed Doubles Quarterfinals,,
BD,X,002,9,3,Mixed Doubles Group Play Stage,Mixed Doubles Group Play Stage,,
BD,X,002,A,3,Mixed Doubles Group Play Stage - Group A,Mixed Doubles Group Play Stage - Grp A,,
BD,X,002,B,3,Mixed Doubles Group Play Stage - Group B,Mixed Doubles Group Play Stage - Grp B,,
BD,X,002,C,3,Mixed Doubles Group Play Stage - Group C,Mixed Doubles Group Play Stage - Grp C,,
BD,X,002,D,3,Mixed Doubles Group Play Stage - Group D,Mixed Doubles Group Play Stage - Grp D,,
BD,X,002,M,6,Mixed Doubles Medal Ceremony,Mixed Doubles Medal Ceremony,,
BF,0,000,0,8,Beach Soccer,Beach Soccer,,
BF,0,BEA,0,8,Beach Arena,Beach Arena,,
BF,0,000,Y,8,Beach Soccer Daily Schedule,Beach Soccer Daily Schedule,,
BF,M,000,0,8,Men,Men,,
BF,M,400,0,8,Men,Men,,
BF,M,400,1,3,Men's Medal Matches,Men's Medal Matches,,
BF,M,400,2,3,Men's Semifinals,Men's Semifinals,,
BF,M,400,9,3,Men's Preliminary Round,Men's Preliminary Round,,
BF,M,400,A,3,Men's Preliminary Round Group A,Men's Preliminary Round Group A,,
BF,M,400,B,3,Men's Preliminary Round Group B,Men's Preliminary Round Group B,,
BF,M,400,M,6,Men's Medal Ceremony,Men's Medal Ceremony,,
BV,0,BEA,0,8,Beach Arena,Beach Arena,,
BV,0,000,0,8,Beach Volleyball,Beach Volleyball,,
BV,0,000,Y,8,Beach Volleyball Daily Schedule,Beach Volleyball Daily Schedule,,
BV,M,000,0,8,Men,Men,,
BV,M,400,0,8,Men,Men,,
BV,M,400,1,3,Men's Medal Matches,Men's Medal Matches,,
BV,M,400,2,3,Men's Semifinals,Men's Semifinals,,
BV,M,400,3,3,Men's Quarterfinals,Men's Quarterfinals,,
BV,M,400,4,3,Men's Round of 16,Men's Round of 16,,
BV,M,400,5,3,Men's Elimination Round,Men's Elimination Round,,
BV,M,400,9,3,Men's Preliminary Phase - Pool Stage,Men's Preliminary - Pool Stage,,
BV,M,400,A,3,Men's Preliminary - Pool A - Matches,Men's Preliminary - Pool A - Matches,,
BV,M,400,B,3,Men's Preliminary - Pool B - Matches,Men's Preliminary - Pool B - Matches,,
BV,M,400,C,3,Men's Preliminary - Pool C - Matches,Men's Preliminary - Pool C - Matches,,
BV,M,400,D,3,Men's Preliminary - Pool D - Matches,Men's Preliminary - Pool D - Matches,,
BV,M,400,E,3,Men's Preliminary - Pool E - Matches,Men's Preliminary - Pool E - Matches,,
BV,M,400,F,3,Men's Preliminary - Pool F - Matches,Men's Preliminary - Pool F - Matches,,
BV,M,400,G,3,Men's Preliminary - Pool G - Matches,Men's Preliminary - Pool G - Matches,,
BV,M,400,H,3,Men's Preliminary - Pool H - Matches,Men's Preliminary - Pool H - Matches,,
BV,M,400,M,6,Men's Medal Ceremony,Men's Medal Ceremony,,
BV,W,000,0,8,Women,Women,,
BV,W,400,0,8,Women,Women,,
BV,W,400,1,3,Women's Medal Matches,Women's Medal Matches,,
BV,W,400,2,3,Women's Semifinals,Women's Semifinals,,
BV,W,400,3,3,Women's Quarterfinals,Women's Quarterfinals,,
BV,W,400,4,3,Women's Round of 16,Women's Round of 16,,
BV,W,400,5,3,Women's Elimination Round,Women's Elimination Round,,
BV,W,400,9,3,Women's Preliminary Phase - Pool Stage,Women's Preliminary - Pool Stage,,
BV,W,400,A,3,Women's Preliminary - Pool A - Matches,Women's Preliminary - Pool A - Matches,,
BV,W,400,B,3,Women's Preliminary - Pool B - Matches,Women's Preliminary - Pool B - Matches,,
BV,W,400,C,3,Women's Preliminary - Pool C - Matches,Women's Preliminary - Pool C - Matches,,
BV,W,400,D,3,Women's Preliminary - Pool D - Matches,Women's Preliminary - Pool D - Matches,,
BV,W,400,E,3,Women's Preliminary - Pool E - Matches,Women's Preliminary - Pool E - Matches,,
BV,W,400,F,3,Women's Preliminary - Pool F - Matches,Women's Preliminary - Pool F - Matches,,
BV,W,400,G,3,Women's Preliminary - Pool G - Matches,Women's Preliminary - Pool G - Matches,,
BV,W,400,H,3,Women's Preliminary - Pool H - Matches,Women's Preliminary - Pool H - Matches,,
BV,W,400,M,6,Women's Medal Ceremony,Women's Medal Ceremony,,
BX,M,CH2,Y,8,Crystal Hall 2,Crystal Hall 2,,
BX,M,049,1,3,Men's Light Fly (49kg) Final Bout,Men's Light Fly (49kg) Final Bout,,
BX,M,049,2,3,Men's Light Fly (49kg) Semifinals,Men's Light Fly (49kg) Semifinals,,
BX,M,049,3,3,Men's Light Fly (49kg) Quarterfinals,Men's Light Fly (49kg) Quarterfinals,,
BX,M,049,4,3,Men's Light Fly (49kg) Round of 16,Men's Light Fly (49kg) Round of 16,,
BX,M,049,5,3,Men's Light Fly (49kg) Round of 32,Men's Light Fly (49kg) Round of 32,,
BX,M,049,6,3,Men's Light Fly (49kg) Round of 64,Men's Light Fly (49kg) Round of 64,,
BX,M,049,M,6,Men's Light Fly (49kg) Medal Ceremony,Men's Light Fly (49kg) Medal Ceremony,,
BX,M,052,0,8,Men's Fly (52kg),Men's Fly (52kg),,
BX,M,052,1,3,Men's Fly (52kg) Final,Men's Fly (52kg) Final,,
BX,M,052,2,3,Men's Fly (52kg) Semifinals,Men's Fly (52kg) Semifinals,,
BX,M,052,3,3,Men's Fly (52kg) Quarterfinals,Men's Fly (52kg) Quarterfinals,,
BX,M,052,4,3,Men's Fly (52kg) Round of 16,Men's Fly (52kg) Round of 16,,
BX,M,052,5,3,Men's Fly (52kg) Round of 32,Men's Fly (52kg) Round of 32,,
BX,M,052,6,3,Men's Fly (52kg) Round of 64,Men's Fly (52kg) Round of 64,,
BX,M,052,M,6,Men's Fly (52kg) Medal Ceremony,Men's Fly (52kg) Medal Ceremony,,
BX,M,056,0,3,Men's Bantam (56kg),Men's Bantam (56kg),,
BX,M,056,1,3,Men's Bantam (56kg) Final,Men's Bantam (56kg) Final,,
BX,M,056,2,3,Men's Bantam (56kg) Semifinals,Men's Bantam (56kg) Semifinals,,
BX,M,056,3,3,Men's Bantam (56kg) Quarterfinals,Men's Bantam (56kg) Quarterfinals,,
BX,M,056,4,3,Men's Bantam (56kg) Round of 16,Men's Bantam (56kg) Round of 16,,
BX,M,056,5,3,Men's Bantam (56kg) Round of 32,Men's Bantam (56kg) Round of 32,,
BX,M,056,6,3,Men's Bantam (56kg) Round of 64,Men's Bantam (56kg) Round of 64,,
BX,M,056,M,6,Men's Bantam (56kg) Medal Ceremony,Men's Bantam (56kg) Medal Ceremony,,
BX,M,060,0,8,Men's Light (60kg),Men's Light (60kg),,
BX,M,060,1,3,Men's Light (60kg) Final,Men's Light (60kg) Final,,
BX,M,060,2,3,Men's Light (60kg) Semifinals,Men's Light (60kg) Semifinals,,
BX,M,060,3,3,Men's Light (60kg) Quarterfinals,Men's Light (60kg) Quarterfinals,,
BX,M,060,4,3,Men's Light (60kg) Round of 16,Men's Light (60kg) Round of 16,,
BX,M,060,5,3,Men's Light (60kg) Round of 32,Men's Light (60kg) Round of 32,,
BX,M,060,6,3,Men's Light (60kg) Round of 64,Men's Light (60kg) Round of 64,,
BX,M,060,M,6,Men's Light (60kg) Medal Ceremony,Men's Light (60kg) Medal Ceremony,,
BX,M,064,0,6,Men's Light Welter (64kg),Men's Light Welter (64kg),,
BX,M,064,1,3,Men's Light Welter (64kg) Final,Men's Light Welter (64kg) Final,,
BX,M,064,2,3,Men's Light Welter (64kg) Semifinals,Men's Light Welter (64kg) Semifinals,,
BX,M,064,3,3,Men's Light Welter (64kg) Quarterfinals,Men's Light Welter (64kg) Quarterfinals,,
BX,M,064,4,3,Men's Light Welter (64kg) Round of 16,Men's Light Welter (64kg) Round of 16,,
