Discipline,Gender,Event,Phase,Event Unit,Schedule Flag,Medal Flag,Event Unit Type,ENG Results Long Name (80),ENG Results Short Name (40),ENG Print Name (40),ENG TV Name,AZE Results Long Name (80),AZE Results Short Name (40),AZE Print Name (40)
AC,X,241,1,01,Y,1,TEAM,Mixed Pair All-Around Final,Mixed Pair All-Around Final,All-Around Final,,,,
AC,X,241,9,00,N,0,NONE,Mixed Pair All-Around Qualification,Mixed Pair All-Around Qualification,All-Around Qualification,,,,
AC,X,241,9,01,Y,0,TEAM,Mixed Pair All-Around Qualification - Balance Exercise,Mixed Pair All-Around Qual-Balance Exerc,All-Around Qualification - Balance Exercise,,,,
AC,X,241,9,02,Y,0,TEAM,Mixed Pair All-Around Qualification - Dynamic Exercise,Mixed Pair All-Around Qual-Dynamic Exerc,All-Around Qualification - Dynamic Exercise,,,,
AC,X,241,M,00,Y,0,NONE,Mixed Pair All-Around Medal Ceremony,Mixed Pair All-Around Medal Ceremony,,,,,
AC,X,101,0,00,N,0,NONE,Mixed Pair - Balance,Mixed Pair - Balance,,,,,
AC,X,101,1,00,N,0,NONE,Mixed Pair - Balance Final,Mixed Pair - Balance Final,Balance Final,,,,
AC,X,101,1,01,Y,1,TEAM,Mixed Pair - Balance Final,Mixed Pair - Balance Final,Balance Final,,,,
AC,X,101,9,00,N,0,NONE,Mixed Pair - Balance Qualification,Mixed Pair - Balance Qualification,Balance Qualification,,,,
AC,X,101,9,01,Y,0,NONE,Mixed Pair - Balance Qualification,Mixed Pair - Balance Qualification,Balance Qualification,,,,
AC,X,101,M,00,Y,0,NONE,Mixed Pair - Balance Medal Ceremony,Mixed Pair - Balance Medal Ceremony,,,,,
AC,X,201,0,00,N,0,NONE,Mixed Pair - Dynamic,Mixed Pair - Dynamic,,,,,
AC,X,201,1,00,N,0,NONE,Mixed Pair - Dynamic Final,Mixed Pair - Dynamic Final,Dynamic Final,,,,
AC,X,201,1,01,Y,1,TEAM,Mixed Pair - Dynamic Final,Mixed Pair - Dynamic Final,Dynamic Final,,,,
AC,X,201,9,00,N,0,NONE,Mixed Pair - Dynamic Qualification,Mixed Pair - Dynamic Qualification,Dynamic Qualification,,,,
AC,X,201,9,01,Y,0,NONE,Mixed Pair - Dynamic Qualification,Mixed Pair - Dynamic Qualification,Dynamic Qualification,,,,
AC,X,201,M,00,Y,0,NONE,Mixed Pair - Dynamic Medal Ceremony,Mixed Pair - Dynamic Medal Ceremony,,,,,
AE,0,000,0,00,N,0,NONE,Gymnastics Aerobic,Gymnastics Aerobic,,,,,
AE,0,000,Y,00,N,0,NONE,Gymnastics Aerobic Daily Schedule,Gymnastics Aerobic Daily Schedule,,,,,
AE,0,000,Y,01,N,0,NONE,Gymnastics Aerobic Day 1,Gymnastics Aerobic Day 1,,,,,
AE,0,000,Y,02,N,0,NONE,Gymnastics Aerobic Day 2,Gymnastics Aerobic Day 2,,,,,
AE,0,000,Y,03,N,0,NONE,Gymnastics Aerobic Day 3,Gymnastics Aerobic Day 3,,,,,
AE,0,000,Y,04,N,0,NONE,Gymnastics Aerobic Day 4,Gymnastics Aerobic Day 4,,,,,
AE,0,000,Y,05,N,0,NONE,Gymnastics Aerobic Day 5,Gymnastics Aerobic Day 5,,,,,
AE,0,000,Y,06,N,0,NONE,Gymnastics Aerobic Day 6,Gymnastics Aerobic Day 6,,,,,
AE,0,000,Y,07,N,0,NONE,Gymnastics Aerobic Day 7,Gymnastics Aerobic Day 7,,,,,
AE,0,000,Y,08,N,0,NONE,Gymnastics Aerobic Day 8,Gymnastics Aerobic Day 8,,,,,
