Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,POR unit Description
TT,W,005,4,00,N,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",Phase,14,NONE,N,N,Women's Singles - Class 5 First Round,First Round,Oitavas de final
TT,W,005,4,01,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 1,First Round,Oitavas de final
TT,W,005,4,02,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 2,First Round,Oitavas de final
TT,W,005,4,03,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 3,First Round,Oitavas de final
TT,W,005,4,04,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 4,First Round,Oitavas de final
TT,W,005,4,05,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 5,First Round,Oitavas de final
TT,W,005,4,06,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 6,First Round,Oitavas de final
TT,W,005,4,07,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 7,First Round,Oitavas de final
TT,W,005,4,08,Y,0,Women's Singles - Class 5 First Round,"Simples fem - classe 5, oitavas",Women's Singles - Class 5 First Round,"Simples feminino - classe 5, oitavas de final",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 First Round Match 8,First Round,Oitavas de final
TT,W,005,9,00,N,0,Women's Singles - Cl 5 Preliminaries,"Simples fem - classe 5,fase de grupos",Women's Singles - Class 5 Preliminaries,"Simples feminino - classe 5, fase de grupos",Phase,14,NONE,N,N,Women's Singles - Class 5 Preliminaries,Preliminaries,Fase de grupos
TT,W,005,A,01,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 1,Group A,Grupo A
TT,W,005,A,02,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 2,Group A,Grupo A
TT,W,005,A,03,Y,0,Women's Singles - Class 5 Group A,"Simples fem - classe 5, grupo A",Women's Singles - Class 5 Group A,"Simples feminino - classe 5, grupo A",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Group A Match 3,Group A,Grupo A
