Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SA,X,002,2,2-Person Keelboat (SKUD18),Barco de quilha fixa de dupla (SKUD18),Two-Person Keelboat (SKUD18),Barco de quilha fixa de dupla (SKUD18),Y
SA,X,003,3,3-Person Keelboat (Sonar),Barco de quilha fixa para três pessoas,Three-Person Keelboat (Sonar),Barco de quilha fixa para três pessoas (Sonar),Y
SH,0,000,,Shooting,Tiro Esportivo,Shooting,Tiro Esportivo,
SH,0,OSC,,Olympic Shooting Centre,Centro Olímpico de Tiro,Olympic Shooting Centre,Centro Olímpico de Tiro,
SH,M,000,,Men's Shooting,Tiro Esportivo Masculino,Men's Shooting,Tiro Esportivo Masculino,
SH,M,101,1,Men's R1-10m Air Rifle Standing - SH1,R1-Car Ar Pé Masc-SH1,Men's R1-10m Air Rifle Standing - SH1,R1-Carabina de Ar 10m em Pé Masculino-SH1,
SH,M,102,2,Men's R7-50m Rifle 3 Positions - SH1,R7-Car 3 Pos Masc-SH1,Men's R7-50m Rifle 3 Positions - SH1,R7-Carabina 50m 3 Posições  Masculino-SH1,
SH,M,201,3,Men's P1-10m Air Pistol - SH1,P1-Pst Ar Masc-SH1,Men's P1-10m Air Pistol - SH1,P1-Pistola de Ar 10m Masculino-SH1,
SH,W,000,,Women's Shooting,Tiro Esportivo Feminino,Women's Shooting,Tiro Esportivo Feminino,
SH,W,101,4,Women's R2-10m Air Rifle Standing - SH1,R2-Car ar Pé Fem-SH1,Women's R2-10m Air Rifle Standing - SH1,R2-Carabina de Ar 10m em Pé Feminino-SH1,
SH,W,103,5,Women's R8-50m Rifle 3 Positions - SH1,R8-Car 3 Pos Fem-SH1,Women's R8-50m Rifle 3 Positions - SH1,R8-Carabina 50m 3 Posições Feminino-SH1,
SH,W,201,6,Women's P2-10m Air Pistol - SH1,P2-Pst Ar Fem-SH1,Women's P2-10m Air Pistol - SH1,P2-Pistola de Ar 10m Feminino-SH1,
SH,X,000,,Mixed Shooting,Tiro Esportivo Misto,Mixed Shooting,Tiro Esportivo Misto,
SH,X,104,7,Mixed R3-10m Air Rifle Prone - SH1,R3-Car Ar Deit Misto-SH1,Mixed R3-10m Air Rifle Prone - SH1,R3-Carabina de Ar 10m Deitado Misto-SH1,
SH,X,105,8,Mixed R4-10m Air Rifle Standing - SH2,R4-Car Ar Pé Misto-SH2,Mixed R4-10m Air Rifle Standing - SH2,R4-Carabina de Ar 10m em Pé Misto-SH2,
SH,X,106,9,Mixed R5-10m Air Rifle Prone - SH2,R5-Car Ar Deit Misto-SH2,Mixed R5-10m Air Rifle Prone - SH2,R5-Carabina de Ar 10m Deitado Misto-SH2,
SH,X,107,10,Mixed R6-50m Rifle Prone - SH1,R6-Car Deit Misto-SH1,Mixed R6-50m Rifle Prone - SH1,R6-Carabina 50m Deitado Misto-SH1,
SH,X,202,11,Mixed P3-25m Pistol - SH1,P3-Pst 25m Misto-SH1,Mixed P3-25m Pistol - SH1,P3-Pistola 25m Misto-SH1,
SH,X,203,12,Mixed P4-50m Pistol - SH1,P4-Pst 50m Misto-SH1,Mixed P4-50m Pistol - SH1,P4-Pistola 50m Misto-SH1,
SW,0,000,,Swimming,Natação,Swimming,Natação,
SW,0,OAS,,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,
SW,M,000,,Men's Swimming,Natação masculina,Men's Swimming,Natação masculina,
SW,M,103,1,Men's 50m Freestyle - S3,50m livre masculino - S3,Men's 50m Freestyle - S3,50m livre masculino - S3,N
SW,M,104,2,Men's 50m Freestyle - S4,50m livre masculino - S4,Men's 50m Freestyle - S4,50m livre masculino - S4,N
SW,M,105,3,Men's 50m Freestyle - S5,50m livre masculino - S5,Men's 50m Freestyle - S5,50m livre masculino - S5,N
SW,M,106,4,Men's 50m Freestyle - S6,50m livre masculino - S6,Men's 50m Freestyle - S6,50m livre masculino - S6,N
SW,M,107,5,Men's 50m Freestyle - S7,50m livre masculino - S7,Men's 50m Freestyle - S7,50m livre masculino - S7,N
SW,M,108,6,Men's 50m Freestyle - S8,50m livre masculino - S8,Men's 50m Freestyle - S8,50m livre masculino - S8,N
SW,M,109,7,Men's 50m Freestyle - S9,50m livre masculino - S9,Men's 50m Freestyle - S9,50m livre masculino - S9,N
SW,M,110,8,Men's 50m Freestyle - S10,50m livre masculino - S10,Men's 50m Freestyle - S10,50m livre masculino - S10,N
SW,M,111,9,Men's 50m Freestyle - S11,50m livre masculino - S11,Men's 50m Freestyle - S11,50m livre masculino - S11,N
SW,M,112,10,Men's 50m Freestyle - S12,50m livre masculino - S12,Men's 50m Freestyle - S12,50m livre masculino - S12,N
