Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,W,402,109,Women's 50m Backstroke - S2,50m costas feminino - S2,Women's 50m Backstroke - S2,50m costas feminino - S2,N
SW,W,403,110,Women's 50m Backstroke - S3,50m costas feminino - S3,Women's 50m Backstroke - S3,50m costas feminino - S3,N
SW,W,404,111,Women's 50m Backstroke - S4,50m costas feminino - S4,Women's 50m Backstroke - S4,50m costas feminino - S4,N
SW,W,405,112,Women's 50m Backstroke - S5,50m costas feminino - S5,Women's 50m Backstroke - S5,50m costas feminino - S5,N
SW,W,422,113,Women's 100m Backstroke - S2,100m costas feminino - S2,Women's 100m Backstroke - S2,100m costas feminino - S2,N
SW,W,426,114,Women's 100m Backstroke - S6,100m costas feminino - S6,Women's 100m Backstroke - S6,100m costas feminino - S6,N
SW,W,427,115,Women's 100m Backstroke - S7,100m costas feminino - S7,Women's 100m Backstroke - S7,100m costas feminino - S7,N
SW,W,428,116,Women's 100m Backstroke - S8,100m costas feminino - S8,Women's 100m Backstroke - S8,100m costas feminino - S8,N
SW,W,429,117,Women's 100m Backstroke - S9,100m costas feminino - S9,Women's 100m Backstroke - S9,100m costas feminino - S9,N
SW,W,430,118,Women's 100m Backstroke - S10,100m costas feminino - S10,Women's 100m Backstroke - S10,100m costas feminino - S10,N
SW,W,431,119,Women's 100m Backstroke - S11,100m costas feminino - S11,Women's 100m Backstroke - S11,100m costas feminino - S11,N
SW,W,432,120,Women's 100m Backstroke - S12,100m costas feminino - S12,Women's 100m Backstroke - S12,100m costas feminino - S12,N
SW,W,433,121,Women's 100m Backstroke - S13,100m costas feminino - S13,Women's 100m Backstroke - S13,100m costas feminino - S13,N
SW,W,434,122,Women's 100m Backstroke - S14,100m costas feminino - S14,Women's 100m Backstroke - S14,100m costas feminino - S14,N
SW,W,544,140,Women's 150m Individual Medley - SM4,150m medley feminino - SM4,Women's 150m Individual Medley - SM4,150m medley feminino - SM4,N
SW,W,565,141,Women's 200m Individual Medley - SM5,200m medley feminino - SM5,Women's 200m Individual Medley - SM5,200m medley feminino - SM5,N
SW,W,566,142,Women's 200m Individual Medley - SM6,200m medley feminino - SM6,Women's 200m Individual Medley - SM6,200m medley feminino - SM6,N
SW,W,567,143,Women's 200m Individual Medley - SM7,200m medley feminino - SM7,Women's 200m Individual Medley - SM7,200m medley feminino - SM7,N
SW,W,568,144,Women's 200m Individual Medley - SM8,200m medley feminino - SM8,Women's 200m Individual Medley - SM8,200m medley feminino - SM8,N
SW,W,569,145,Women's 200m Individual Medley - SM9,200m medley feminino - SM9,Women's 200m Individual Medley - SM9,200m medley feminino - SM9,N
SW,W,570,146,Women's 200m Individual Medley - SM10,200m medley feminino - SM10,Women's 200m Individual Medley - SM10,200m medley feminino - SM10,N
SW,W,571,147,Women's 200m Individual Medley - SM11,200m medley feminino - SM11,Women's 200m Individual Medley - SM11,200m medley feminino - SM11,N
SW,W,573,148,Women's 200m Individual Medley - SM13,200m medley feminino - SM13,Women's 200m Individual Medley - SM13,200m medley feminino - SM13,N
SW,W,574,149,Women's 200m Individual Medley - SM14,200m medley feminino - SM14,Women's 200m Individual Medley - SM14,200m medley feminino - SM14,N
SW,W,712,150,Women's 4x100m Freestyle Relay - 34 Pts,Revezamento 4x100m livre fem- 34 pontos,Women's 4x100m Freestyle Relay - 34 Points,Revezamento 4x100m livre feminino - 34 pontos,Y
SW,W,752,151,Women's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley fem-34 pontos,Women's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley feminino - 34 pontos,Y
SW,X,000,,Mixed Swimming,Natação mista,Mixed Swimming,Natação mista,
SW,X,611,152,Mixed 4x50m Freestyle Relay - 20 Points,Revezamento 4x50m livre misto - 20 pts,Mixed 4x50m Freestyle Relay - 20 Points,Revezamento 4x50m livre misto - 20 pontos,Y
TR,0,000,,Triathlon,Triatlo,Triathlon,Triatlo,
TR,0,FTC,,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,
TR,M,000,,Triathlon - Men,Triatlo masculino,Triathlon - Men,Triatlo masculino,
TR,M,001,4,Men - PT1,Masculino - PT1,Men - PT1,Masculino - PT1,
TR,M,002,5,Men - PT2,Masculino - PT2,Men - PT2,Masculino - PT2,
TR,M,004,6,Men - PT4,Masculino - PT4,Men - PT4,Masculino - PT4,
TR,W,000,,Triathlon - Women,Triatlo feminino,Triathlon - Women,Triatlo feminino,
TR,W,002,1,Women - PT2,Feminino - PT1,Women - PT2,Feminino - PT1,
TR,W,004,2,Women - PT4,Feminino - PT2,Women - PT4,Feminino - PT2,
TR,W,005,3,Women - PT5,Feminino - PT4,Women - PT5,Feminino - PT4,
TT,0,000,,Table Tennis,Tênis de mesa,Table Tennis,Tênis de mesa,
TT,0,001,,Singles,Simples,Singles,Simples,
TT,0,400,,Teams,Por equipes,Teams,Por equipes,Y
TT,0,RC3,,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,
TT,M,000,,Men's Table Tennis,Tênis de mesa masculino,Men's Table Tennis,Tênis de mesa masculino,
TT,M,001,19,Men's Singles - Class 1,Simples masculino - classe 1,Men's Singles - Class 1,Simples masculino - classe 1,N
TT,M,002,20,Men's Singles - Class 2,Simples masculino - classe 2,Men's Singles - Class 2,Simples masculino - classe 2,N
TT,M,003,21,Men's Singles - Class 3,Simples masculino - classe 3,Men's Singles - Class 3,Simples masculino - classe 3,N
TT,M,004,22,Men's Singles - Class 4,Simples masculino - classe 4,Men's Singles - Class 4,Simples masculino - classe 4,N
TT,M,005,23,Men's Singles - Class 5,Simples masculino - classe 5,Men's Singles - Class 5,Simples masculino - classe 5,N
TT,M,006,24,Men's Singles - Class 6,Simples masculino - classe 6,Men's Singles - Class 6,Simples masculino - classe 6,N
TT,M,007,25,Men's Singles - Class 7,Simples masculino - classe 7,Men's Singles - Class 7,Simples masculino - classe 7,N
TT,M,008,26,Men's Singles - Class 8,Simples masculino - classe 8,Men's Singles - Class 8,Simples masculino - classe 8,N
TT,M,009,27,Men's Singles - Class 9,Simples masculino - classe 9,Men's Singles - Class 9,Simples masculino - classe 9,N
TT,M,010,28,Men's Singles - Class 10,Simples masculino - classe 10,Men's Singles - Class 10,Simples masculino - classe 10,N
TT,M,011,29,Men's Singles - Class 11,Simples masculino - classe 11,Men's Singles - Class 11,Simples masculino - classe 11,N
TT,M,101,,Men - Class 1,Masculino - classe 1,Men - Class 1,Masculino - classe 1,
TT,M,102,,Men - Class 2,Masculino - classe 2,Men - Class 2,Masculino - classe 2,
TT,M,103,,Men - Class 3,Masculino - classe 3,Men - Class 3,Masculino - classe 3,
TT,M,104,,Men - Class 4,Masculino - classe 4,Men - Class 4,Masculino - classe 4,
TT,M,105,,Men - Class 5,Masculino - classe 5,Men - Class 5,Masculino - classe 5,
TT,M,106,,Men - Class 6,Masculino - classe 6,Men - Class 6,Masculino - classe 6,
TT,M,107,,Men - Class 7,Masculino - classe 7,Men - Class 7,Masculino - classe 7,
TT,M,108,,Men - Class 8,Masculino - classe 8,Men - Class 8,Masculino - classe 8,
TT,M,109,,Men - Class 9,Masculino - classe 9,Men - Class 9,Masculino - classe 9,
TT,M,110,,Men - Class 10,Masculino - classe 10,Men - Class 10,Masculino - classe 10,
TT,M,111,,Men - Class 11,Masculino - classe 11,Men - Class 11,Masculino - classe 11,
TT,M,402,4,Men's Team - Classes 1-2,Por equipes masculino - classes 1-2,Men's Team - Classes 1-2,Por equipes masculino - classes 1-2,Y
TT,M,403,5,Men's Team - Class 3,Por equipes masculino - classe 3,Men's Team - Class 3,Por equipes masculino - classe 3,Y
TT,M,405,6,Men's Team - Class 4-5,Por equipes masculino - classes 4-5,Men's Team - Class 4-5,Por equipes masculino - classes 4-5,Y
TT,M,408,7,Men's Team - Classes 6-8,Por equipes masculino - classes 6-8,Men's Team - Classes 6-8,Por equipes masculino - classes 6-8,Y
TT,M,410,8,Men's Team - Class 9-10,Por equipes masculino - classes 9-10,Men's Team - Class 9-10,Por equipes masculino - classes 9-10,Y
TT,M,A02,,Men's Team - Classes 1-2 Match 1,Por equipes masculino - classes 1-2,Men's Team - Classes 1-2 Match 1,Por equipes masculino - classes 1-2,
TT,M,A03,,Men's Team - Class 3 Match 1,Por equipes masculino - classe 3,Men's Team - Class 3 Match 1,Por equipes masculino - classe 3,
TT,M,A05,,Men's Team - Class 4-5 Match 1,Por equipes masculino - classes 4-5,Men's Team - Class 4-5 Match 1,Por equipes masculino - classes 4-5,
TT,M,A08,,Men's Team - Classes 6-8 Match 1,Por equipes masculino - classes 6-8,Men's Team - Classes 6-8 Match 1,Por equipes masculino - classes 6-8,
TT,M,A10,,Men's Team - Class 9-10 Match 1,Por equipes masculino - classes 9-10,Men's Team - Class 9-10 Match 1,Por equipes masculino - classes 9-10,
TT,M,B02,,Men's Team - Classes 1-2 Match 2,Por equipes masculino - classes 1-2,Men's Team - Classes 1-2 Match 2,Por equipes masculino - classes 1-2,
TT,M,B03,,Men's Team - Class 3 Match 2,Por equipes masculino - classe 3,Men's Team - Class 3 Match 2,Por equipes masculino - classe 3,
TT,M,B05,,Men's Team - Class 4-5 Match 2,Por equipes masculino - classes 4-5,Men's Team - Class 4-5 Match 2,Por equipes masculino - classes 4-5,
TT,M,B08,,Men's Team - Classes 6-8 Match 2,Por equipes masculino - classes 6-8,Men's Team - Classes 6-8 Match 2,Por equipes masculino - classes 6-8,
TT,M,B10,,Men's Team - Class 9-10 Match 2,Por equipes masculino - classes 9-10,Men's Team - Class 9-10 Match 2,Por equipes masculino - classes 9-10,
TT,M,C02,,Men's Team - Classes 1-2 Match 3,Por equipes masculino - classes 1-2,Men's Team - Classes 1-2 Match 3,Por equipes masculino - classes 1-2,
TT,M,C03,,Men's Team - Class 3 Match 3,Por equipes masculino - classe 3,Men's Team - Class 3 Match 3,Por equipes masculino - classe 3,
TT,M,C05,,Men's Team - Class 4-5 Match 3,Por equipes masculino - classes 4-5,Men's Team - Class 4-5 Match 3,Por equipes masculino - classes 4-5,
TT,M,C08,,Men's Team - Classes 6-8 Match 3,Por equipes masculino - classes 6-8,Men's Team - Classes 6-8 Match 3,Por equipes masculino - classes 6-8,
TT,M,C10,,Men's Team - Class 9-10 Match 3,Por equipes masculino - classes 9-10,Men's Team - Class 9-10 Match 3,Por equipes masculino - classes 9-10,
TT,W,000,,Women's Table Tennis,Tênis de mesa feminino,Women's Table Tennis,Tênis de mesa feminino,
TT,W,002,9,Women's Singles - Classes 1-2,Simples feminino - classes 1-2,Women's Singles - Classes 1-2,Simples feminino - classes 1-2,N
TT,W,003,10,Women's Singles - Class 3,Simples feminino - classe 3,Women's Singles - Class 3,Simples feminino - classe 3,N
TT,W,004,11,Women's Singles - Class 4,Simples feminino - classe 4 ,Women's Singles - Class 4,Simples feminino - classe 4 ,N
TT,W,005,12,Women's Singles - Class 5,Simples feminino - classe 5,Women's Singles - Class 5,Simples feminino - classe 5,N
TT,W,006,13,Women's Singles - Class 6,Simples feminino - classe 6,Women's Singles - Class 6,Simples feminino - classe 6,N
TT,W,007,14,Women's Singles - Class 7,Simples feminino - classe 7,Women's Singles - Class 7,Simples feminino - classe 7,N
TT,W,008,15,Women's Singles - Class 8,Simples feminino - classe 8,Women's Singles - Class 8,Simples feminino - classe 8,N
TT,W,009,16,Women's Singles - Class 9,Simples feminino - classe 9,Women's Singles - Class 9,Simples feminino - classe 9,N
TT,W,010,17,Women's Singles - Class 10,Simples feminino - classe 10,Women's Singles - Class 10,Simples feminino - classe 10,N
TT,W,011,18,Women's Singles - Class 11,Simples feminino - classe 11,Women's Singles - Class 11,Simples feminino - classe 11,N
TT,W,101,,Women - Class 1,Feminino - classe 1,Women - Class 1,Feminino - classe 1,
TT,W,102,,Women - Class 2,Feminino - classe 2,Women - Class 2,Feminino - classe 2,
TT,W,103,,Women - Class 3,Feminino - classe 3,Women - Class 3,Feminino - classe 3,
TT,W,104,,Women - Class 4,Feminino - classe 4,Women - Class 4,Feminino - classe 4,
TT,W,105,,Women - Class 5,Feminino - classe 5,Women - Class 5,Feminino - classe 5,
TT,W,106,,Women - Class 6,Feminino - classe 6,Women - Class 6,Feminino - classe 6,
TT,W,107,,Women - Class 7,Feminino - classe 7,Women - Class 7,Feminino - classe 7,
TT,W,108,,Women - Class 8,Feminino - classe 8,Women - Class 8,Feminino - classe 8,
TT,W,109,,Women - Class 9,Feminino - classe 9,Women - Class 9,Feminino - classe 9,
TT,W,110,,Women - Class 10,Feminino - classe 10,Women - Class 10,Feminino - classe 10,
TT,W,111,,Women - Class 11,Feminino - classe 11,Women - Class 11,Feminino - classe 11,
TT,W,403,1,Women's Team - Classes 1-3,Por equipes feminino - classes 1-3,Women's Team - Classes 1-3,Por equipes feminino - classes 1-3,Y
TT,W,405,2,Women's Team - Classes 4-5,Por equipes feminino - classes 4-5,Women's Team - Classes 4-5,Por equipes feminino - classes 4-5,Y
TT,W,410,3,Women's Team - Classes 6-10,Por equipes feminino - classes 6-10,Women's Team - Classes 6-10,Por equipes feminino - classes 6-10,Y
TT,W,A03,,Women's Team - Classes 1-3 Match 1,Por equipes feminino - classes 1-3,Women's Team - Classes 1-3 Match 1,Por equipes feminino - classes 1-3,
TT,W,A05,,Women's Team - Classes 4-5 Match 1,Por equipes feminino - classes 4-5,Women's Team - Classes 4-5 Match 1,Por equipes feminino - classes 4-5,
TT,W,A10,,Women's Team - Classes 6-10 Match 1,Por equipes feminino - classes 6-10,Women's Team - Classes 6-10 Match 1,Por equipes feminino - classes 6-10,
TT,W,B03,,Women's Team - Classes 1-3 Match 2,Por equipes feminino - classes 1-3,Women's Team - Classes 1-3 Match 2,Por equipes feminino - classes 1-3,
TT,W,B05,,Women's Team - Classes 4-5 Match 2,Por equipes feminino - classes 4-5,Women's Team - Classes 4-5 Match 2,Por equipes feminino - classes 4-5,
TT,W,B10,,Women's Team - Classes 6-10 Match 2,Por equipes feminino - classes 6-10,Women's Team - Classes 6-10 Match 2,Por equipes feminino - classes 6-10,
TT,W,C03,,Women's Team - Classes 1-3 Match 3,Por equipes feminino - classes 1-3,Women's Team - Classes 1-3 Match 3,Por equipes feminino - classes 1-3,
TT,W,C05,,Women's Team - Classes 4-5 Match 3,Por equipes feminino - classes 4-5,Women's Team - Classes 4-5 Match 3,Por equipes feminino - classes 4-5,
TT,W,C10,,Women's Team - Classes 6-10 Match 3,Por equipes feminino - classes 6-10,Women's Team - Classes 6-10 Match 3,Por equipes feminino - classes 6-10,
UT,0,ART,,Archery Training,Treinamento de tiro com arco,Archery Training,Treinamento de tiro com arco,
UT,0,ATT,,Athletics Training,Treinamento de atletismo,Athletics Training,Treinamento de atletismo,
UT,0,BOT,,Boccia Training,Treinamento de bocha,Boccia Training,Treinamento de bocha,
UT,0,CFT,,Canoe Sprint Training,Treinamento de canoagem velocidade,Canoe Sprint Training,Treinamento de canoagem velocidade,
UT,0,CRT,,Cycling Road Training,Treinamento de ciclismo de estrada,Cycling Road Training,Treinamento de ciclismo de estrada,
UT,0,CTT,,Cycling Track Training,Treinamento de ciclismo de pista,Cycling Track Training,Treinamento de ciclismo de pista,
UT,0,EQT,,Equestrian Training,Treinamento de hipismo,Equestrian Training,Treinamento de hipismo,
UT,0,FBT,,Football 5-a-side Training,Treinamento de futebol de 5,Football 5-a-side Training,Treinamento de futebol de 5,
UT,0,FTT,,Football 7-a-side Training,Treinamento de futebol de 7,Football 7-a-side Training,Treinamento de futebol de 7,
UT,0,GBT,,Goalball Training,Treinamento de goalball,Goalball Training,Treinamento de goalball,
UT,0,JUT,,Judo Training,Treinamento de judô,Judo Training,Treinamento de judô,
UT,0,POT,,Powerlifting Training,Treinamento de halterofilismo,Powerlifting Training,Treinamento de halterofilismo,
UT,0,ROT,,Rowing Training,Treinamento de remo,Rowing Training,Treinamento de remo,
UT,0,SAT,,Sailing Training,Treinamento de vela,Sailing Training,Treinamento de vela,
UT,0,SHT,,Shooting Training,Treinamento de tiro esportivo,Shooting Training,Treinamento de tiro esportivo,
UT,0,SWT,,Swimming Training,Treinamento de natação,Swimming Training,Treinamento de natação,
UT,0,TRT,,Triathlon Training,Treinamento de triatlo,Triathlon Training,Treinamento de triatlo,
UT,0,TTT,,Table Tennis Training,Treinamento de tênis de mesa,Table Tennis Training,Treinamento de tênis de mesa,
UT,0,VST,,Sitting Volleyball Training,Treinamento de voleibol sentado,Sitting Volleyball Training,Treinamento de voleibol sentado,
UT,0,WBT,,Wheelchair Basketball Training,Treinamento basquetebol cadeira de rodas,Wheelchair Basketball Training,Treinamento de basquetebol em cadeira de rodas,
UT,0,WFT,,Wheelchair Fencing Training,Treinamento esgrima em cadeira de rodas,Wheelchair Fencing Training,Treinamento de esgrima em cadeira de rodas,
UT,0,WRT,,Wheelchair Rugby Training,Treinamento de rugby em cadeira de rodas,Wheelchair Rugby Training,Treinamento de rugby em cadeira de rodas,
UT,0,WTT,,Wheelchair Tennis Training,Treinamento de tênis em cadeira de rodas,Wheelchair Tennis Training,Treinamento de tênis em cadeira de rodas,
VS,0,000,,Sitting Volleyball,Voleibol sentado,Sitting Volleyball,Voleibol sentado,
VS,0,RC6,,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,
VS,M,000,,Men's Sitting Volleyball,Voleibol sentado masculino,Men's Sitting Volleyball,Voleibol sentado masculino,
VS,M,400,1,Men's,Masculino,Men's,Masculino,Y
VS,W,000,,Women's Sitting Volleyball,Voleibol sentado feminino,Women's Sitting Volleyball,Voleibol sentado feminino,
VS,W,400,2,Women's,Feminino,Women's,Feminino,Y
WB,0,000,,Wheelchair Basketball,Basquetebol em cadeira de rodas,Wheelchair Basketball,Basquetebol em cadeira de rodas,
WB,0,CA1,,Carioca Arena 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,
WB,0,ROA,,Rio Olympic Arena,Arena Olímpica do Rio,Rio Olympic Arena,Arena Olímpica do Rio,
WB,M,000,,Men's Wheelchair Basketball,Basquetebol cadeira de rodas masculino,Men's Wheelchair Basketball,Basquetebol em cadeira de rodas masculino,
WB,M,400,1,Men's,Masculino,Men's,Masculino,Y
WB,W,000,,Women's Wheelchair Basketball,Basquetebol em cadeira de rodas feminino,Women's Wheelchair Basketball,Basquetebol em cadeira de rodas feminino,
WB,W,400,2,Women's,Feminino,Women's,Feminino,Y
WF,0,000,,Wheelchair Fencing,Esgrima em cadeira de rodas,Wheelchair Fencing,Esgrima em cadeira de rodas,
WF,0,100,,Wheelchair Fencing Individual,Esgrima em cadeira de rodas individual,Wheelchair Fencing Individual,Esgrima em cadeira de rodas individual,
WF,0,400,,Wheelchair Fencing Team,Esgrima em cadeira de rodas  por equipes,Wheelchair Fencing Team,Esgrima em cadeira de rodas  por equipes,
WF,0,YOA,,Youth Arena,Arena da Juventude,Youth Arena,Arena da Juventude,
WF,M,000,,Men's Wheelchair Fencing,Esgrima em cadeira de rodas masculino,Men's Wheelchair Fencing,Esgrima em cadeira de rodas feminina,
WF,M,011,5,Men's Individual Épée - Category A,Espada individual masculino-categoria A,Men's Individual Épée - Category A,Espada individual masculino - categoria A,N
WF,M,012,6,Men's Individual Épée - Category B,Espada individual masculino-categoria B,Men's Individual Épée - Category B,Espada individual masculino - categoria B,N
WF,M,021,1,Men's Individual Foil - Category A,Florete individual masculino-categoria A,Men's Individual Foil - Category A,Florete individual masculino - categoria A,N
WF,M,022,2,Men's Individual Foil - Category B,Florete individual masculino-categoria B,Men's Individual Foil - Category B,Florete individual masculino - categoria B,N
WF,M,031,9,Men's Individual Sabre - Category A,Sabre individual masculino - categoria A,Men's Individual Sabre - Category A,Sabre individual masculino - categoria A,N
WF,M,032,10,Men's Individual Sabre - Category B,Sabre individual masculino - categoria B,Men's Individual Sabre - Category B,Sabre individual masculino - categoria B,N
WF,M,410,11,Men's Épée Team - Open Category,Espada por equipes masculina - aberto,Men's Épée Team - Open Category,Espada por equipes masculina - aberto,Y
WF,M,420,13,Men's Foil Team - Open Category,Florete por equipes masculino - aberto,Men's Foil Team - Open Category,Florete por equipes masculino - aberto,Y
WF,W,000,,Women's Wheelchair Fencing,Esgrima em cadeira de rodas feminina,Women's Wheelchair Fencing,Esgrima em cadeira de rodas feminina,
WF,W,011,7,Women's Individual Épée - Category A,Espada individual feminino - categoria A,Women's Individual Épée - Category A,Espada individual feminino - categoria A,N
WF,W,012,8,Women's Individual Épée - Category B,Espada individual feminino - categoria B,Women's Individual Épée - Category B,Espada individual feminino - categoria B,N
WF,W,021,3,Women's Individual Foil - Category A,Florete individual feminino-categoria A,Women's Individual Foil - Category A,Florete individual feminino - categoria A,N
WF,W,022,4,Women's Individual Foil - Category B,Florete individual feminino-categoria B,Women's Individual Foil - Category B,Florete individual feminino - categoria B,N
WF,W,410,12,Women's Épée Team - Open Category,Espada por equipes feminina - aberto,Women's Épée Team - Open Category,Espada por equipes feminina - aberto,Y
WF,W,420,14,Women's Foil Team - Open Category,Florete por equipes feminino - aberto,Women's Foil Team - Open Category,Florete por equipes feminino - aberto,Y
WR,0,000,,Wheelchair Rugby,Rugby em cadeira de rodas,Wheelchair Rugby,Rugby em cadeira de rodas,
WR,0,CA1,,Carioca Arena 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,
WR,X,000,,Mixed Wheelchair Rugby,Rugby em cadeira de rodas misto,Mixed Wheelchair Rugby,Rugby em cadeira de rodas misto,
WR,X,400,1,Mixed - Open,Misto - aberto,Mixed - Open,Misto - aberto,Y
WT,0,000,,Wheelchair Tennis,Tênis em cadeira de rodas,Wheelchair Tennis,Tênis em cadeira de rodas,
WT,0,OTN,,Olympic Tennis Centre,Centro Olímpico de Tênis,Olympic Tennis Centre,Centro Olímpico de Tênis,
WT,M,000,,Men's Tennis,Tênis masculino,Men's Tennis,Tênis masculino,
WT,M,001,1,Men's Singles,Simples masculino,Men's Singles,Simples masculino,N
WT,M,002,3,Men's Doubles,Duplas masculinas,Men's Doubles,Duplas masculinas,Y
WT,W,000,,Women's Tennis,Tênis feminino,Women's Tennis,Tênis feminino,
WT,W,001,2,Women's Singles,Simples feminino,Women's Singles,Simples feminino,N
WT,W,002,4,Women's Doubles,Duplas femininas,Women's Doubles,Duplas femininas,Y
WT,X,000,,Quad Tennis,Tênis quad,Quad Tennis,Tênis quad,
WT,X,021,5,Quad Singles,Simples quad,Quad Singles,Simples quad,
WT,X,022,6,Quad Doubles,Duplas quad,Quad Doubles,Duplas quad,
