Id,ENG Description,FRA Description,POR Description
BAT,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca
BHZ,Belo Horinzonte,Belo Horinzonte,Belo Horinzonte
BRS,Brasília,Brasília,Brasília
COP,Copacabana,Copacabana,Copacabana
DEO,Deodoro,Deodoro,Deodoro
MRZ,Maracanã,Maracanã,Maracanã
SLV,Salvador,Salvador,Salvador
SPL,São Paulo,São Paulo,São Paulo
