Id,Related Event,order,ENG Description,FRA Description,POR Description
ATW700C00,ATW700,60,Women's Heptathlon Shot Put,"Heptathlon - lancer de poids, femmes",Heptatlo - arremesso do peso feminino
ATW700D00,ATW700,61,Women's Heptathlon 200m,"Heptathlon - 200 m, femmes",Heptatlo - 200m rasos feminino
ATW700E00,ATW700,62,Women's Heptathlon Long Jump,"Heptathlon - saut en longueur, femmes",Heptatlo - salto em distância feminino
ATW700F00,ATW700,63,Women's Heptathlon Javelin Throw,"Heptathlon - lancer de javelot, femmes",Heptatlo - lançamento do dardo feminino
ATW700G00,ATW700,64,Women's Heptathlon 800m,"Heptathlon - 800 m, femmes",Heptatlo - 800m rasos feminino
CFM111000,CFM111,7,Kayak Single (K1) 1000m Men,Kayak monoplace (K1) 1 000 m - hommes,Caiaque individual (K1) 1.000m masculino
CFM112000,CFM112,4,Kayak Single (K1) 200m Men,Kayak monoplace (K1) 200 m - hommes,Caiaque individual (K1) 200m masculino
CFM121000,CFM121,10,Kayak Double (K2) 1000m Men,Kayak biplace (K2) 1 000 m - hommes,Caiaque duplo (K2) 1.000m masculino
CFM122000,CFM122,8,Kayak Double (K2) 200m Men,Kayak biplace (K2) 200 m - hommes,Caiaque duplo (K2) 200m masculino
CFM141000,CFM141,12,Kayak Four (K4) 1000m Men,Kayak à quatre (K4) 1 000 m - hommes,Caiaque quádruplo (K4) 1.000m masculino
CFM211000,CFM211,2,Canoe Single (C1) 1000m Men,Canoë monoplace (C1) 1 000 m - hommes,Canoa individual (C1) 1.000m masculina
CFM212000,CFM212,1,Canoe Single (C1) 200m Men,Canoë monoplace (C1) 200 m - hommes,Canoa individual (C1) 200m masculina
CFM221000,CFM221,3,Canoe Double (C2) 1000m Men,Canoë biplace (C2) 1 000 m - hommes,Canoa dupla (C2) 1.000m masculina
CFW112000,CFW112,5,Kayak Single (K1) 200m Women,Kayak monoplace (K1) 200 m - femmes,Caiaque individual (K1) 200m feminino
CFW115000,CFW115,6,Kayak Single (K1) 500m Women,Kayak monoplace (K1) 500 m - femmes,Caiaque individual (K1) 500m feminino
CFW125000,CFW125,9,Kayak Double (K2) 500m Women,Kayak biplace (K2) 500 m - femmes,Caiaque duplo (K2) 500m feminino
CFW145000,CFW145,11,Kayak Four (K4) 500m Women,Kayak à quatre (K4) 500 m - femmes,Caiaque quádruplo (K4) 500m feminino
CTM001900,CTM001,1,Men's 200m Flying Start,Vitesse départ lancé - hommes,Velocidade masculina
CTM010300,CTM010,2,Men's 1km Time Trial,"Hom., contre-la-montre (1 km)","Omnium masculino, contrarrelógio de 1km"
CTM010500,CTM010,3,Men's 4km Individual Pursuit,"Hom., poursuite ind. (4 km)",Perseguição individual masculina (4km)
CTM401000,CTM401,4,Men's Team Sprint,Vitesse par équipes - hommes,Velocidade por equipes masculina
CTM402000,CTM402,5,Men's Team Pursuit,Poursuite par équipes - hommes,Perseguição por equipes masculina
CTW001900,CTW001,6,Women's 200m Flying Start,Vitesse départ lancé - femmes,Velocidade feminina
CTW010300,CTW010,7,Women's 500m Time Trial,"Fem., contre-la-montre (500 m)","Omnium feminino, contrarrelógio de 500m"
CTW010500,CTW010,8,Women's 3km Individual Pursuit,"Fem., poursuite ind. (3 km)",Perseguição individual feminina (3km)
CTW401000,CTW401,9,Women's Team Sprint,Vitesse par équipes - femmes,Velocidade por equipes feminina
CTW402000,CTW402,10,Women's Team Pursuit,Poursuite par équipes - femmes,Perseguição por equipes feminina
FEM001000,FEM001,1,Men's Foil Individual,Fleuret individuel - hommes,Florete individual masculino
FEM002000,FEM002,2,Men's Épée Individual,Épée individuelle - hommes,Espada individual masculina
FEM003000,FEM003,3,Men's Sabre Individual,Sabre individuel - hommes,Sabre individual masculino
FEM401000,FEM401,4,Men's Foil Team,Fleuret par équipes - hommes,Florete por equipes masculino
FEM402000,FEM402,5,Men's Épée Team,Épée par équipes - hommes,Espada por equipes masculina
FEW001000,FEW001,6,Women's Foil Individual,Fleuret individuel - femmes,Florete individual feminino
FEW002000,FEW002,7,Women's Épée Individual,Épée individuelle - femmes,Espada individual feminina
FEW003000,FEW003,8,Women's Sabre Individual,Sabre individuel - femmes,Sabre individual feminino
FEW402000,FEW402,9,Women's Épée Team,Épée par équipes - femmes,Espada por equipes feminino
FEW403000,FEW403,10,Women's Sabre Team,Sabre par équipes - femmes,Sabre por equipes feminino
MPM0010000,MPM001,2,Men's Overall Points,Hommes global,Masculino geral
MPM001A000,MPM001,4,Men's Fencing Record,Épreuve d'escrime - hommes,Prova de esgrima masculina
MPM001B001,MPM001,6,Men's Swimming 25m Pool
MPM001B002,MPM001,8,Men's Swimming 50m Pool
MPM001D000,MPM001,10,Men's Combined Running/Shooting Record,Épreuve combinée - hommes,Prova combinada masculina
MPW0010000,MPW001,1,Women's Overall Points,Femmes global,Feminino geral
MPW001A000,MPW001,3,Women's Fencing Record,Épreuve d'escrime - femmes,Prova de esgrima feminino
MPW001B001,MPW001,5,Women's Swimming 25m Pool
MPW001B002,MPW001,7,Women's Swimming 50m Pool
MPW001D000,MPW001,9,Women's Combined Running/Shooting Record,Épreuve combinée - femmes,Prova combinada - feminino
ROM012000,ROM012,1,Men's Single Sculls,"Un rameur, skiff - hommes",Single-skiff masculino
ROM021000,ROM021,3,Men's Pair,Deux en pointe - hommes,Dois sem masculino
ROM022000,ROM022,5,Men's Double Sculls,Deux en couple - hommes,Double-skiff masculino
ROM041000,ROM041,7,Men's Four,Quatre en pointe - hommes,Quatro sem masculino
ROM042000,ROM042,8,Men's Quadruple Sculls,Quatre en couple - hommes,Four-skiff masculino
ROM083000,ROM083,10,Men's Eight,Huit en pointe - hommes,Oito com masculino
ROM122000,ROM122,12,Lightweight Men's Double Sculls,Deux en couple poids légers - hommes,Double-skiff peso leve masculino
ROM141000,ROM141,14,Lightweight Men's Four,Quatre en pointe poids légers - hommes,Quatro sem peso leve masculino
ROW012000,ROW012,2,Women's Single Sculls,"Un rameur, skiff - femmes",Single-skiff feminino
ROW021000,ROW021,4,Women's Pair,Deux en pointe - femmes,Dois sem feminino
ROW022000,ROW022,6,Women's Double Sculls,Deux en couple - femmes,Double-skiff feminino
ROW042000,ROW042,9,Women's Quadruple Sculls,Quatre en couple - femmes,Four-skiff feminino
ROW083000,ROW083,11,Women's Eight,Huit en pointe - femmes,Oito com feminino
ROW122000,ROW122,13,Lightweight Women's Double Sculls,Deux en couple poids légers - femmes,Double-skiff peso leve feminino
SHM101000,SHM101,5,10m Air Rifle Men,10 m rifle à air - hommes,Carabina de ar 10m masculina
SHM101100,SHM101,6,10m Air Rifle Men's Finals,"10 m rifle à air - hommes, finale","Carabina de ar 10m masculina, finais"
SHM103000,SHM103,3,50m Rifle Prone Men,50 m rifle couché - hommes,Carabina deitado 50m masculina
SHM103100,SHM103,4,50m Rifle Prone Men's Finals,"50 m rifle couché - hommes, finale","Carabina deitado 50m masculina, finais"
SHM104000,SHM104,1,50m Rifle 3 Positions Men,50 m rifle 3 positions - hommes,Carabina três posições 50m masculina
SHM104100,SHM104,2,50m Rifle 3 Positions Men's Finals,"50 m rifle 3 positions - hommes, finale","Carabina três posições 50m masculina, fi"
SHM201000,SHM201,7,50m Pistol Men,50 m pistolet - hommes,Pistola 50m masculina
SHM201100,SHM201,8,50m Pistol Men's Finals,"50 m pistolet - hommes, finale","Pistola 50m masculina, finais"
SHM202000,SHM202,9,25m Rapid Fire Pistol Men,25 m pistolet feu rapide - hommes,Pistola de tiro rápido 25m masculina
SHM202100,SHM202,10,25m Rapid Fire Pistol Men's Finals,"25 m pistolet feu rapide - hom., finale","Pistola de tiro rápido 25m masculina, fi"
SHM203000,SHM203,11,10m Air Pistol Men,10 m pistolet à air - hommes,Pistola de ar 10m masculina
SHM203100,SHM203,12,10m Air Pistol Men's Finals,"10 m pistolet à air - hommes, finale","Pistola de ar 10m masculina, finais"
SHM401000,SHM401,13,Trap Men,Fosse olympique - hommes,Fossa olímpica masculina
SHM402000,SHM402,14,Double Trap Men,Double trap - hommes,Fossa double masculina
SHM403000,SHM403,15,Skeet Men,Skeet - hommes, Skeet masculino
SHW101000,SHW101,18,10m Air Rifle Women,10 m rifle à air - femmes,Carabina de ar 10m feminina
SHW101100,SHW101,19,10m Air Rifle Women's Finals,"10 m rifle à air - femmes, finale","Carabina de ar 10m feminina, finais"
SHW104000,SHW104,16,50m Rifle 3 Positions Women,50 m rifle 3 positions - femmes,Carabina três posições 50m feminina
SHW104100,SHW104,17,50m Rifle 3 Positions Women's Finals,"50 m rifle 3 positions - femmes, finale","Carabina três posições 50m feminina, fin"
SHW203000,SHW203,21,10m Air Pistol Women,10 m pistolet à air - femmes,Pistola de ar 10m feminina
SHW203100,SHW203,22,10m Air Pistol Women's Finals,"10 m pistolet à air - femmes, finale","Pistola de ar 10m feminina, final"
SHW204000,SHW204,20,25m Pistol Women,25 m pistolet - femmes,Pistola 25m feminina
SHW401000,SHW401,23,Trap Women,Trap - femmes,Fossa olímpica feminina
SHW403000,SHW403,24,Skeet Women,Skeet - femmes,Skeet feminino
SWM010000,SWM010,1,Men's 50m Freestyle,50 m nage libre - hommes,50m livre masculino 
SWM011000,SWM011,2,Men's 100m Freestyle,100 m nage libre - hommes,100m livre masculino
SWM012000,SWM012,3,Men's 200m Freestyle,200 m nage libre - hommes,200m livre masculino
SWM014000,SWM014,4,Men's 400m Freestyle,400 m nage libre - hommes,400m livre masculino
SWM015000,SWM015,5,Men's 1500m Freestyle,1 500 m nage libre - hommes,1.500m livre masculino
SWM021000,SWM021,10,Men's 100m Butterfly,100 m papillon - hommes,100m borboleta masculino
