Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
BAT,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca
COP,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana
DEO,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro
MRZ,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã
FBC,Football Cities,Football Cities,Football Cities,Football Cities,Football Cities,Football Cities
