Sport,Code_Entity,Code,Order,Description,Note
AR,Bracket,BRN,,Bronze
AR,Bracket,FNL,,Finals
AR,BracketItems,FNL,,Finals
AR,BracketItems,QFL,,Quarterfinals
AR,BracketItems,R16,,1/8 Elimination Round
AR,BracketItems,R32,,1/16 Elimination Round
AR,BracketItems,R64,,1/32 Elimination Round
AR,BracketItems,SFL,,Semifinals
AR,Hand,L,,Left
AR,Hand,R,,Right
AR,IRM,DNF,,Did not finish
AR,IRM,DNS,,Did not start
AR,IRM,DSQ,,Disqualified
AR,ResultType,IRM,,Invalid Result Mark
AR,ResultType,IRM_SETS,,"Send both, Sets and IRM"
AR,ResultType,POINTS,,Points
AR,ResultType,SETS,,Sets
AR,WLT,L,,Lost
AR,WLT,W,,Won
AT,IRM,DNF,,Did not finish
AT,IRM,DNS,,Did not start
AT,IRM,DQ,,Disqualified
AT,IRM,NM,,No mark
AT,QualificationMark,Q,,Q: Qualified by Place (track) or Standard (field)
AT,QualificationMark,q,,q: Qualified by time(track and relays) or rank (field events),It is only used in DT_PHASE_RESULT message
AT,ResultType,DISTANCE,,Performance in meters with 2 decimals
AT,ResultType,IRM,,Invalid Result Mark
AT,ResultType,POINTS,,Points
AT,ResultType,TIME,,Time
AT,UnitCategory,A,,Races (track and road) and relays
AT,UnitCategory,B,,Throws
AT,UnitCategory,C,,Horizontal jumps
AT,UnitCategory,D,,Vertical jumps
AT,Warning,~,,Loss of Contact
AT,Warning,>,,Bent knee
BD,Bracket,BRN,,Bronze
BD,Bracket,FNL,,Finals
BD,BracketItems,FNL,,Finals
BD,BracketItems,QFL,,Quarterfinals
BD,BracketItems,R16,,Round of 16 (only for Singles)
BD,BracketItems,SFL,,Semi-finals
BD,Hand,L,,Left
BD,Hand,R,,Right
BD,IRM,DQB,,Disqualified for Unsportsmanlike Behaviour
BD,IRM,DSQ,,Disqualified 
BD,IRM,RET,,Retired
BD,IRM,WDN,,Withdrawn
BD,Offence,OF1,,Excessive protest
BD,Offence,OF10,,Trying to influence line judges
BD,Offence,OF11,,Unsportsmanlike conduct
BD,Offence,OF12,,Inappropriate conduct
BD,Offence,OF2,,Unwelcome touch to Officials
BD,Offence,OF3,,Physical abuse
BD,Offence,OF4,,Abuse of racket or equipment
BD,Offence,OF5,,Abuse of shuttle
BD,Offence,OF6,,Oral abuse
BD,Offence,OF7,,Visible obscenity
BD,Offence,OF8,,Audible obscenity
BD,Offence,OF9,,Intentionally delay of the game
BD,Period,G1,,Game 1 
BD,Period,G2,,Game 2
BD,Period,G3,,Game 3
BD,Period,TOT,,Match (Total)
BD,ResultCode,BYE,,Bye
BD,ResultCode,WO,,Walkover
BD,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark"
BD,ResultType,POINTS,,Points
BD,Statistics,ANALYSIS,,Match analysis statistics
BD,Statistics,CUM,,Penalty Statistics
BD,Statistics,TOU,,Tournament Statistics 
