Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
TR1,FTC,,Y,Fort Copacabana - Triathlon,Fort de Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fort Copacabana - Triathlon,Fort de Copacabana - Triathlon,Forte de Copacabana - Triatlo,FTCTR1,
TT1,RC3,,Y,Riocentro - Pavilion 3 - Tbl1,Riocentro - Pavillion 3 - T1,Riocentro - Pavilhão 3 - M1,Riocentro - Pavilion 3 - Table 1,Riocentro - Pavillion 3 - Table 1,Riocentro - Pavilhão 3 - Mesa 1,RC3TT1,
TT2,RC3,,Y,Riocentro - Pavilion 3 - Tbl2,Riocentro - Pavillion 3 - T2,Riocentro - Pavilhão 3 - M2,Riocentro - Pavilion 3 - Table 2,Riocentro - Pavillion 3 - Table 2,Riocentro - Pavilhão 3 - Mesa 2,RC3TT1,
TT3,RC3,,Y,Riocentro - Pavilion 3 - Tbl3,Riocentro - Pavillion 3 - T3,Riocentro - Pavilhão 3 - M3,Riocentro - Pavilion 3 - Table 3,Riocentro - Pavillion 3 - Table 3,Riocentro - Pavilhão 3 - Mesa 3,RC3TT1,
TT4,RC3,,Y,Riocentro - Pavilion 3 - Tbl4,Riocentro - Pavillion 3 - T4,Riocentro - Pavilhão 3 - M4,Riocentro - Pavilion 3 - Table 4,Riocentro - Pavillion 3 - Table 4,Riocentro - Pavilhão 3 - Mesa 4,RC3TT1,
VO1,MNZ,,Y,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,MNZVO1,
WL1,RC2,,Y,Riocentro - Pavilion 2,Riocentro - Pavillion 2,Riocentro - Pavilhão 2,Riocentro - Pavilion 2,Riocentro - Pavillion 2,Riocentro - Pavilhão 2,RC2WL1,
WP1,OAS,,Y,Olympic Aquatics Stadium - WP,Stade Aquatique Olympique - WP,Estádio Aquático Olímpico-WP,Olympic Aquatics Stadium - Water polo,Stade Aquatique Olympique - Water-polo,Estádio Aquático Olímpico - Pólo aquático,OASWP1,
WP2,JDL,,Y,Julio de Lamare Aquatics Ctr,Ctr Aquatique Julio de Lamare,Ctr Aquático Julio de Lamare,Julio de Lamare Aquatics Centre,Centre Aquatique Julio de Lamare,Centro Aquático Julio de Lamare,JDLWP1,
WRA,CA2,1,Y,Carioca Arena 2 - Mat A,Aréna Carioca 2 - Tapis A,Arena Carioca 2 - Tatame A,Carioca Arena 2 - Mat A,Aréna Carioca 2 - Tapis A,Arena Carioca 2 - Tatame A,CA2WR1,
WRB,CA2,2,Y,Carioca Arena 2 - Mat B,Aréna Carioca 2 - Tapis B,Arena Carioca 2 - Tatame B,Carioca Arena 2 - Mat B,Aréna Carioca 2 - Tapis B,Arena Carioca 2 - Tatame B,CA2WR1,
WRC,CA2,3,Y,Carioca Arena 2 - Mat C,Aréna Carioca 2 - Tapis C,Arena Carioca 2 - Tatame C,Carioca Arena 2 - Mat C,Aréna Carioca 2 - Tapis C,Arena Carioca 2 - Tatame C,CA2WR1,
WWS,WWS,,Y,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,WWSCS1,
YOA,YOA,,Y,Youth Arena,Arène de la Jeunesse,Arena da Juventude,Youth Arena,Arène de la Jeunesse,Arena da Juventude,,
