Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
AF,0,CUL,0,00,General,General,Geral,General,General,Geral,N/A,,N,0,NONE,N,N,General,"","",""
AQ,0,000,0,00,Aquatics Sport,Natation,Desportos Aquáticos,Aquatics Sport,Natation,Desportos Aquáticos,Sport,1,N,0,NONE,N,N,Aquatics Sport,"","",""
AR,0,000,0,00,Archery,Tir à l'arc,Tiro com arco,Archery,Tir à l'arc,Tiro com arco,Discipline,2,N,0,NONE,N,N,Archery,"","",""
AR,0,000,N,01,Archery - Draw,Tir à l'arc - tirage au sort,Tiro com arco - sorteio,Archery - Draw,Tir à l'arc - tirage au sort,Tiro com arco - sorteio,Draw,18,Y,0,NONE,N,Y,Archery - Draw,"","",""
AR,0,000,Q,01,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião chefes de equipe,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião dos chefes de equipe,Meetings,19,Y,0,NONE,N,Y,Archery Team Captains Meeting,"","",""
AR,0,000,Y,00,Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Day,4,N,0,NONE,N,N,Archery Daily Schedule,"","",""
AR,0,000,Y,01,Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Day,4,N,0,NONE,N,N,Archery Day 1,"","",""
AR,0,000,Y,02,Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Day,4,N,0,NONE,N,N,Archery Day 2,"","",""
AR,0,000,Y,03,Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Day,4,N,0,NONE,N,N,Archery Day 3,"","",""
AR,0,000,Y,04,Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Day,4,N,0,NONE,N,N,Archery Day 4,"","",""
AR,0,000,Y,05,Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Day,4,N,0,NONE,N,N,Archery Day 5,"","",""
AR,0,000,Y,06,Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Day,4,N,0,NONE,N,N,Archery Day 6,"","",""
AR,0,000,Y,07,Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Day,4,N,0,NONE,N,N,Archery Day 7,"","",""
AR,0,000,Y,08,Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Day,4,N,0,NONE,N,N,Archery Day 8,"","",""
AR,0,000,Y,09,Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Day,4,N,0,NONE,N,N,Archery Day 9,"","",""
AR,0,000,Y,10,Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Day,4,N,0,NONE,N,N,Archery Day 10,"","",""
AR,0,000,Y,11,Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Day,4,N,0,NONE,N,N,Archery Day 11,"","",""
AR,0,000,Y,12,Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Day,4,N,0,NONE,N,N,Archery Day 12,"","",""
AR,0,000,Y,13,Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Day,4,N,0,NONE,N,N,Archery Day 13,"","",""
AR,0,000,Y,14,Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Day,4,N,0,NONE,N,N,Archery Day 14,"","",""
AR,0,000,Y,15,Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Day,4,N,0,NONE,N,N,Archery Day 15,"","",""
AR,0,000,Y,16,Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Day,4,N,0,NONE,N,N,Archery Day 16,"","",""
AR,0,000,Y,17,Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Day,4,N,0,NONE,N,N,Archery Day 17,"","",""
AR,0,000,Y,18,Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Day,4,N,0,NONE,N,N,Archery Day 18,"","",""
AR,0,000,Y,19,Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Day,4,N,0,NONE,N,N,Archery Day 19,"","",""
AR,0,000,Y,20,Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Day,4,N,0,NONE,N,N,Archery Day 20,"","",""
AR,0,000,Y,21,Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Day,4,N,0,NONE,N,N,Archery Day 21,"","",""
AR,0,000,Y,22,Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Day,4,N,0,NONE,N,N,Archery Day 22,"","",""
AR,0,000,Y,23,Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Day,4,N,0,NONE,N,N,Archery Day 23,"","",""
AR,0,000,Y,24,Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Day,4,N,0,NONE,N,N,Archery Day 24,"","",""
AR,0,000,Y,25,Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Day,4,N,0,NONE,N,N,Archery Day 25,"","",""
AR,0,000,Y,26,Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Day,4,N,0,NONE,N,N,Archery Day 26,"","",""
AR,0,000,Y,27,Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Day,4,N,0,NONE,N,N,Archery Day 27,"","",""
AR,0,000,Y,28,Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Day,4,N,0,NONE,N,N,Archery Day 28,"","",""
AR,0,000,Y,29,Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Day,4,N,0,NONE,N,N,Archery Day 29,"","",""
AR,0,000,Y,30,Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Day,4,N,0,NONE,N,N,Archery Day 30,"","",""
AR,0,000,Y,31,Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Day,4,N,0,NONE,N,N,Archery Day 31,"","",""
AR,0,070,Z,00,Archery Individual - Session,Tir à l'arc - épreuve individuelle,Tiro com arco individual - sessão,Archery Individual - Session,Tir à l'arc - épreuve individuelle,Tiro com arco individual - sessão,StyleSession,9,N,0,NONE,N,N,Archery Individual - Session,"","",""
AR,0,070,Z,01,Archery Individual Session 1,"Tir à l'arc, épreuve individuelle ses 1","Tiro com arco, individual sessão 1",Archery Individual Session 1,"Tir à l'arc, épreuve individuelle session 1","Tiro com arco, competição individual sessão 1",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 1,"","",""
AR,0,070,Z,02,Archery Individual Session 2,"Tir à l'arc, épreuve individuelle ses 2","Tiro com arco, individual sessão 2 ",Archery Individual Session 2,"Tir à l'arc, épreuve individuelle session 2","Tiro com arco, competição individual sessão 2 ",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 2,"","",""
AR,0,070,Z,03,Archery Individual Session 3,"Tir à l'arc, épreuve individuelle ses 3","Tiro com arco, individual sessão 3",Archery Individual Session 3,"Tir à l'arc, épreuve individuelle session 3","Tiro com arco, competição individual sessão 3",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 3,"","",""
AR,0,070,Z,04,Archery Individual Session 4,"Tir à l'arc, épreuve individuelle ses 4","Tiro com arco, individual sessão 4",Archery Individual Session 4,"Tir à l'arc, épreuve individuelle session 4","Tiro com arco, competição individual sessão 4",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 4,"","",""
AR,0,070,Z,05,Archery Individual Session 5,"Tir à l'arc, épreuve individuelle ses 5","Tiro com arco, individual sessão 5",Archery Individual Session 5,"Tir à l'arc, épreuve individuelle session 5","Tiro com arco, competição individual sessão 5",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 5,"","",""
AR,0,070,Z,06,Archery Individual Session 6,"Tir à l'arc, épreuve individuelle ses 6","Tiro com arco, individual sessão 6",Archery Individual Session 6,"Tir à l'arc, épreuve individuelle session 6","Tiro com arco, competição individual sessão 6",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 6,"","",""
AR,0,070,Z,07,Archery Individual Session 7,"Tir à l'arc, épreuve individuelle ses 7","Tiro com arco, individual sessão 7",Archery Individual Session 7,"Tir à l'arc, épreuve individuelle session 7","Tiro com arco, competição individual sessão 7",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 7,"","",""
AR,0,070,Z,08,Archery Individual Session 8,"Tir à l'arc, épreuve individuelle ses 8","Tiro com arco, individual sessão 8",Archery Individual Session 8,"Tir à l'arc, épreuve individuelle session 8","Tiro com arco, competição individual sessão 8",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 8,"","",""
AR,0,070,Z,09,Archery Individual Session 9,"Tir à l'arc, épreuve individuelle ses 9","Tiro com arco, individual sessão 9",Archery Individual Session 9,"Tir à l'arc, épreuve individuelle session 9","Tiro com arco, competição individual sessão 9",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 9,"","",""
AR,0,070,Z,10,Archery Individual Session 10,"Tir à l'arc, épreuve individuelle ses 10","Tiro com arco, individual sessão 10",Archery Individual Session 10,"Tir à l'arc, épreuve individuelle session 10","Tiro com arco, competição individual sessão 10",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 10,"","",""
AR,0,070,Z,11,Archery Individual Session 11,"Tir à l'arc, épreuve individuelle ses 11","Tiro com arco, individual sessão 11",Archery Individual Session 11,"Tir à l'arc, épreuve individuelle session 11","Tiro com arco, competição individual sessão 11",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 11,"","",""
AR,0,070,Z,12,Archery Individual Session 12,"Tir à l'arc, épreuve individuelle ses 12","Tiro com arco, individual sessão 12",Archery Individual Session 12,"Tir à l'arc, épreuve individuelle session 12","Tiro com arco, competição individual sessão 12",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 12,"","",""
AR,0,070,Z,13,Archery Individual Session 13,"Tir à l'arc, épreuve individuelle ses 13","Tiro com arco, individual sessão 13",Archery Individual Session 13,"Tir à l'arc, épreuve individuelle session 13","Tiro com arco, competição individual sessão 13",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 13,"","",""
AR,0,070,Z,14,Archery Individual Session 14,"Tir à l'arc, épreuve individuelle ses 14","Tiro com arco, individual sessão 14",Archery Individual Session 14,"Tir à l'arc, épreuve individuelle session 14","Tiro com arco, competição individual sessão 14",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 14,"","",""
AR,0,070,Z,15,Archery Individual Session 15,"Tir à l'arc, épreuve individuelle ses 15","Tiro com arco, individual sessão 15",Archery Individual Session 15,"Tir à l'arc, épreuve individuelle session 15","Tiro com arco, competição individual sessão 15",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 15,"","",""
AR,0,070,Z,16,Archery Individual Session 16,"Tir à l'arc, épreuve individuelle ses 16","Tiro com arco, individual sessão 16",Archery Individual Session 16,"Tir à l'arc, épreuve individuelle session 16","Tiro com arco, competição individual sessão 16",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 16,"","",""
AR,0,070,Z,17,Archery Individual Session 17,"Tir à l'arc, épreuve individuelle ses 17","Tiro com arco, individual sessão 17",Archery Individual Session 17,"Tir à l'arc, épreuve individuelle session 17","Tiro com arco, competição individual sessão 17",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 17,"","",""
AR,0,070,Z,18,Archery Individual Session 18,"Tir à l'arc, épreuve individuelle ses 18","Tiro com arco, individual sessão 18",Archery Individual Session 18,"Tir à l'arc, épreuve individuelle session 18","Tiro com arco, competição individual sessão 18",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 18,"","",""
AR,0,070,Z,19,Archery Individual Session 19,"Tir à l'arc, épreuve individuelle ses 19","Tiro com arco, individual sessão 19",Archery Individual Session 19,"Tir à l'arc, épreuve individuelle session 19","Tiro com arco, competição individual sessão 19",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 19,"","",""
AR,0,070,Z,20,Archery Individual Session 20,"Tir à l'arc, épreuve individuelle ses 20","Tiro com arco, individual sessão 20",Archery Individual Session 20,"Tir à l'arc, épreuve individuelle session 20","Tiro com arco, competição individual sessão 20",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 20,"","",""
AR,0,070,Z,21,Archery Individual Session 21,"Tir à l'arc, épreuve individuelle ses 21","Tiro com arco, individual sessão 21",Archery Individual Session 21,"Tir à l'arc, épreuve individuelle session 21","Tiro com arco, competição individual sessão 21",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 21,"","",""
AR,0,070,Z,22,Archery Individual Session 22,"Tir à l'arc, épreuve individuelle ses 22","Tiro com arco, individual sessão 22",Archery Individual Session 22,"Tir à l'arc, épreuve individuelle session 22","Tiro com arco, competição individual sessão 22",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 22,"","",""
AR,0,070,Z,23,Archery Individual Session 23,"Tir à l'arc, épreuve individuelle ses 23","Tiro com arco, individual sessão 23",Archery Individual Session 23,"Tir à l'arc, épreuve individuelle session 23","Tiro com arco, competição individual sessão 23",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 23,"","",""
AR,0,070,Z,24,Archery Individual Session 24,"Tir à l'arc, épreuve individuelle ses 24","Tiro com arco, individual sessão 24",Archery Individual Session 24,"Tir à l'arc, épreuve individuelle session 24","Tiro com arco, competição individual sessão 24",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 24,"","",""
AR,0,070,Z,25,Archery Individual Session 25,"Tir à l'arc, épreuve individuelle ses 25","Tiro com arco, individual sessão 25",Archery Individual Session 25,"Tir à l'arc, épreuve individuelle session 25","Tiro com arco, competição individual sessão 25",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 25,"","",""
AR,0,070,Z,26,Archery Individual Session 26,"Tir à l'arc, épreuve individuelle ses 26","Tiro com arco, individual sessão 26",Archery Individual Session 26,"Tir à l'arc, épreuve individuelle session 26","Tiro com arco, competição individual sessão 26",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 26,"","",""
AR,0,070,Z,27,Archery Individual Session 27,"Tir à l'arc, épreuve individuelle ses 27","Tiro com arco, individual sessão 27",Archery Individual Session 27,"Tir à l'arc, épreuve individuelle session 27","Tiro com arco, competição individual sessão 27",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 27,"","",""
AR,0,070,Z,28,Archery Individual Session 28,"Tir à l'arc, épreuve individuelle ses 28","Tiro com arco, individual sessão 28",Archery Individual Session 28,"Tir à l'arc, épreuve individuelle session 28","Tiro com arco, competição individual sessão 28",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 28,"","",""
AR,0,070,Z,29,Archery Individual Session 29,"Tir à l'arc, épreuve individuelle ses 29","Tiro com arco, individual sessão 29",Archery Individual Session 29,"Tir à l'arc, épreuve individuelle session 29","Tiro com arco, competição individual sessão 29",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 29,"","",""
AR,0,070,Z,30,Archery Individual Session 30,"Tir à l'arc, épreuve individuelle ses 30","Tiro com arco, individual sessão 30",Archery Individual Session 30,"Tir à l'arc, épreuve individuelle session 30","Tiro com arco, competição individual sessão 30",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 30,"","",""
AR,0,070,Z,31,Archery Individual Session 31,"Tir à l'arc, épreuve individuelle ses 31","Tiro com arco, individual sessão 31",Archery Individual Session 31,"Tir à l'arc, épreuve individuelle session 31","Tiro com arco, competição individual sessão 31",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 31,"","",""
AR,0,070,Z,32,Archery Individual Session 32,"Tir à l'arc, épreuve individuelle ses 32","Tiro com arco, individual sessão 32",Archery Individual Session 32,"Tir à l'arc, épreuve individuelle session 32","Tiro com arco, competição individual sessão 32",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 32,"","",""
AR,0,070,Z,33,Archery Individual Session 33,"Tir à l'arc, épreuve individuelle ses 33","Tiro com arco, individual sessão 33",Archery Individual Session 33,"Tir à l'arc, épreuve individuelle session 33","Tiro com arco, competição individual sessão 33",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 33,"","",""
AR,0,070,Z,34,Archery Individual Session 34,"Tir à l'arc, épreuve individuelle ses 34","Tiro com arco, individual sessão 34",Archery Individual Session 34,"Tir à l'arc, épreuve individuelle session 34","Tiro com arco, competição individual sessão 34",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 34,"","",""
AR,0,070,Z,35,Archery Individual Session 35,"Tir à l'arc, épreuve individuelle ses 35","Tiro com arco, individual sessão 35",Archery Individual Session 35,"Tir à l'arc, épreuve individuelle session 35","Tiro com arco, competição individual sessão 35",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 35,"","",""
AR,0,070,Z,36,Archery Individual Session 36,"Tir à l'arc, épreuve individuelle ses 36","Tiro com arco, individual sessão 36",Archery Individual Session 36,"Tir à l'arc, épreuve individuelle session 36","Tiro com arco, competição individual sessão 36",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 36,"","",""
AR,0,070,Z,37,Archery Individual Session 37,"Tir à l'arc, épreuve individuelle ses 37","Tiro com arco, individual sessão 37",Archery Individual Session 37,"Tir à l'arc, épreuve individuelle session 37","Tiro com arco, competição individual sessão 37",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 37,"","",""
AR,0,070,Z,38,Archery Individual Session 38,"Tir à l'arc, épreuve individuelle ses 38","Tiro com arco, individual sessão 38",Archery Individual Session 38,"Tir à l'arc, épreuve individuelle session 38","Tiro com arco, competição individual sessão 38",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 38,"","",""
AR,0,070,Z,39,Archery Individual Session 39,"Tir à l'arc, épreuve individuelle ses 39","Tiro com arco, individual sessão 39",Archery Individual Session 39,"Tir à l'arc, épreuve individuelle session 39","Tiro com arco, competição individual sessão 39",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 39,"","",""
AR,0,070,Z,40,Archery Individual Session 40,"Tir à l'arc, épreuve individuelle ses 40","Tiro com arco, individual sessão 40",Archery Individual Session 40,"Tir à l'arc, épreuve individuelle session 40","Tiro com arco, competição individual sessão 40",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 40,"","",""
AR,0,070,Z,41,Archery Individual Session 41,"Tir à l'arc, épreuve individuelle ses 41","Tiro com arco, individual sessão 41",Archery Individual Session 41,"Tir à l'arc, épreuve individuelle session 41","Tiro com arco, competição individual sessão 41",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 41,"","",""
AR,0,070,Z,42,Archery Individual Session 42,"Tir à l'arc, épreuve individuelle ses 42","Tiro com arco, individual sessão 42",Archery Individual Session 42,"Tir à l'arc, épreuve individuelle session 42","Tiro com arco, competição individual sessão 42",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 42,"","",""
AR,0,070,Z,43,Archery Individual Session 43,"Tir à l'arc, épreuve individuelle ses 43","Tiro com arco, individual sessão 43",Archery Individual Session 43,"Tir à l'arc, épreuve individuelle session 43","Tiro com arco, competição individual sessão 43",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 43,"","",""
AR,0,070,Z,44,Archery Individual Session 44,"Tir à l'arc, épreuve individuelle ses 44","Tiro com arco, individual sessão 44",Archery Individual Session 44,"Tir à l'arc, épreuve individuelle session 44","Tiro com arco, competição individual sessão 44",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 44,"","",""
AR,0,070,Z,45,Archery Individual Session 45,"Tir à l'arc, épreuve individuelle ses 45","Tiro com arco, individual sessão 45",Archery Individual Session 45,"Tir à l'arc, épreuve individuelle session 45","Tiro com arco, competição individual sessão 45",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 45,"","",""
AR,0,070,Z,46,Archery Individual Session 46,"Tir à l'arc, épreuve individuelle ses 46","Tiro com arco, individual sessão 46",Archery Individual Session 46,"Tir à l'arc, épreuve individuelle session 46","Tiro com arco, competição individual sessão 46",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 46,"","",""
AR,0,070,Z,47,Archery Individual Session 47,"Tir à l'arc, épreuve individuelle ses 47","Tiro com arco, individual sessão 47",Archery Individual Session 47,"Tir à l'arc, épreuve individuelle session 47","Tiro com arco, competição individual sessão 47",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 47,"","",""
AR,0,070,Z,48,Archery Individual Session 48,"Tir à l'arc, épreuve individuelle ses 48","Tiro com arco, individual sessão 48",Archery Individual Session 48,"Tir à l'arc, épreuve individuelle session 48","Tiro com arco, competição individual sessão 48",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 48,"","",""
AR,0,070,Z,49,Archery Individual Session 49,"Tir à l'arc, épreuve individuelle ses 49","Tiro com arco, individual sessão 49",Archery Individual Session 49,"Tir à l'arc, épreuve individuelle session 49","Tiro com arco, competição individual sessão 49",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 49,"","",""
AR,0,070,Z,50,Archery Individual Session 50,"Tir à l'arc, épreuve individuelle ses 50","Tiro com arco, individual sessão 50",Archery Individual Session 50,"Tir à l'arc, épreuve individuelle session 50","Tiro com arco, competição individual sessão 50",StyleSession,9,Y,0,NONE,Y,N,Archery Individual Session 50,"","",""
AR,0,470,Z,00,Archery Team - Session,Tir à l'arc - épreuve par équipes,Tiro com arco por equipes - sessão,Archery Team - Session,Tir à l'arc - épreuve par équipes,Tiro com arco por equipes - sessão,StyleSession,9,N,0,NONE,N,N,Archery Team - Session,"","",""
AR,0,470,Z,01,Archery Team Session 1,"Tir à l'arc, épreuve par équipes ses. 1","Tiro com arco, por equipes sessão 1",Archery Team Session 1,"Tir à l'arc, épreuve par équipes session 1","Tiro com arco, competição por equipes sessão 1",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 1,"","",""
AR,0,470,Z,02,Archery Team Session 2,"Tir à l'arc, épreuve par équipes ses. 2","Tiro com arco, por equipes sessão 2",Archery Team Session 2,"Tir à l'arc, épreuve par équipes session 2","Tiro com arco, competição por equipes sessão 2",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 2,"","",""
AR,0,470,Z,03,Archery Team Session 3,"Tir à l'arc, épreuve par équipes ses. 3","Tiro com arco, por equipes sessão 3",Archery Team Session 3,"Tir à l'arc, épreuve par équipes session 3","Tiro com arco, competição por equipes sessão 3",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 3,"","",""
AR,0,470,Z,04,Archery Team Session 4,"Tir à l'arc, épreuve par équipes ses. 4","Tiro com arco, por equipes sessão 4",Archery Team Session 4,"Tir à l'arc, épreuve par équipes session 4","Tiro com arco, competição por equipes sessão 4",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 4,"","",""
AR,0,470,Z,05,Archery Team Session 5,"Tir à l'arc, épreuve par équipes ses. 5","Tiro com arco, por equipes sessão 5",Archery Team Session 5,"Tir à l'arc, épreuve par équipes session 5","Tiro com arco, competição por equipes sessão 5",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 5,"","",""
AR,0,470,Z,06,Archery Team Session 6,"Tir à l'arc, épreuve par équipes ses. 6","Tiro com arco, por equipes sessão 6",Archery Team Session 6,"Tir à l'arc, épreuve par équipes session 6","Tiro com arco, competição por equipes sessão 6",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 6,"","",""
AR,0,470,Z,07,Archery Team Session 7,"Tir à l'arc, épreuve par équipes ses. 7","Tiro com arco, por equipes sessão 7",Archery Team Session 7,"Tir à l'arc, épreuve par équipes session 7","Tiro com arco, competição por equipes sessão 7",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 7,"","",""
AR,0,470,Z,08,Archery Team Session 8,"Tir à l'arc, épreuve par équipes ses. 8","Tiro com arco, por equipes sessão 8",Archery Team Session 8,"Tir à l'arc, épreuve par équipes session 8","Tiro com arco, competição por equipes sessão 8",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 8,"","",""
AR,0,470,Z,09,Archery Team Session 9,"Tir à l'arc, épreuve par équipes ses. 9","Tiro com arco, por equipes sessão 9",Archery Team Session 9,"Tir à l'arc, épreuve par équipes session 9","Tiro com arco, competição por equipes sessão 9",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 9,"","",""
AR,0,470,Z,10,Archery Team Session 10,"Tir à l'arc, épreuve par équipes ses. 10","Tiro com arco, por equipes sessão 10",Archery Team Session 10,"Tir à l'arc, épreuve par équipes session 10","Tiro com arco, competição por equipes sessão 10",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 10,"","",""
AR,0,470,Z,11,Archery Team Session 11,"Tir à l'arc, épreuve par équipes ses. 11","Tiro com arco, por equipes sessão 11",Archery Team Session 11,"Tir à l'arc, épreuve par équipes session 11","Tiro com arco, competição por equipes sessão 11",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 11,"","",""
AR,0,470,Z,12,Archery Team Session 12,"Tir à l'arc, épreuve par équipes ses. 12","Tiro com arco, por equipes sessão 12",Archery Team Session 12,"Tir à l'arc, épreuve par équipes session 12","Tiro com arco, competição por equipes sessão 12",StyleSession,9,Y,0,NONE,Y,N,Archery Team Session 12,"","",""
