Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
BV,M,400,D,03,Men's Preliminary - Pool D - Match 19,"Hom., tour prélim. - poule D - match 19","masc, fase de grupos - grupo D - jogo 19",Men's Preliminary - Pool D - Match 19,"Hommes, tour préliminaire - poule D - match 19","Masculino, fase de grupos - grupo D - jogo 19",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool D - Match 3,Preliminary - Pool D,Tour Préliminaire - poule D,Fase de grupos - grupo D
BV,M,400,D,04,Men's Preliminary - Pool D - Match 20,"Hom., tour prélim. - poule D - match 20","masc, fase de grupos - grupo D - jogo 20",Men's Preliminary - Pool D - Match 20,"Hommes, tour préliminaire - poule D - match 20","Masculino, fase de grupos - grupo D - jogo 20",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool D - Match 4,Preliminary - Pool D,Tour Préliminaire - poule D,Fase de grupos - grupo D
BV,M,400,D,05,Men's Preliminary - Pool D - Match 31,"Hom., tour prélim. - poule D - match 31","masc, fase de grupos - grupo D - jogo 31",Men's Preliminary - Pool D - Match 31,"Hommes, tour préliminaire - poule D - match 31","Masculino, fase de grupos - grupo D - jogo 31",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool D - Match 5,Preliminary - Pool D,Tour Préliminaire - poule D,Fase de grupos - grupo D
BV,M,400,D,06,Men's Preliminary - Pool D - Match 32,"Hom., tour prélim. - poule D - match 32","masc, fase de grupos - grupo D - jogo 32",Men's Preliminary - Pool D - Match 32,"Hommes, tour préliminaire - poule D - match 32","Masculino, fase de grupos - grupo D - jogo 32",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool D - Match 6,Preliminary - Pool D,Tour Préliminaire - poule D,Fase de grupos - grupo D
BV,M,400,E,00,Men's Preliminary - Pool E - Matches,"Hommes, tour préliminaire - poule E","Masculino, fase de grupos - grupo E",Men's Preliminary - Pool E - Matches,"Hommes, tour préliminaire - poule E","Masculino, fase de grupos - grupo E",Phase,14,N,0,NONE,N,N,Men's Preliminary - Pool E - Matches,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,01,Men's Preliminary - Pool E - Match 9,"Hom., tour prélim. - poule E - match 9","masc, fase de grupos - grupo E - jogo 9",Men's Preliminary - Pool E - Match 9,"Hommes, tour préliminaire - poule E - match 9","Masculino, fase de grupos - grupo E - jogo 9",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 1,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,02,Men's Preliminary - Pool E - Match 10,"Hom., tour prélim. - poule E - match 10","masc, fase de grupos - grupo E - jogo 10",Men's Preliminary - Pool E - Match 10,"Hommes, tour préliminaire - poule E - match 10","Masculino, fase de grupos - grupo E - jogo 10",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 2,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,03,Men's Preliminary - Pool E - Match 21,"Hom., tour prélim. - poule E - match 21","masc, fase de grupos - grupo E - jogo 21",Men's Preliminary - Pool E - Match 21,"Hommes, tour préliminaire - poule E - match 21","Masculino, fase de grupos - grupo E - jogo 21",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 3,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,04,Men's Preliminary - Pool E - Match 22,"Hom., tour prélim. - poule E - match 22","masc, fase de grupos - grupo E - jogo 22",Men's Preliminary - Pool E - Match 22,"Hommes, tour préliminaire - poule E - match 22","Masculino, fase de grupos - grupo E - jogo 22",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 4,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,05,Men's Preliminary - Pool E - Match 33,"Hom., tour prélim. - poule E - match 33","masc, fase de grupos - grupo E - jogo 33",Men's Preliminary - Pool E - Match 33,"Hommes, tour préliminaire - poule E - match 33","Masculino, fase de grupos - grupo E - jogo 33",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 5,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,E,06,Men's Preliminary - Pool E - Match 34,"Hom., tour prélim. - poule E - match 34","masc, fase de grupos - grupo E - jogo 34",Men's Preliminary - Pool E - Match 34,"Hommes, tour préliminaire - poule E - match 34","Masculino, fase de grupos - grupo E - jogo 34",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool E - Match 6,Preliminary - Pool E,Tour Préliminaire - poule E,Fase de grupos - grupo E
BV,M,400,F,00,Men's Preliminary - Pool F - Matches,"Hommes, tour préliminaire - poule F","Masculino, fase de grupos - grupo F",Men's Preliminary - Pool F - Matches,"Hommes, tour préliminaire - poule F","Masculino, fase de grupos - grupo F",Phase,14,N,0,NONE,N,N,Men's Preliminary - Pool F - Matches,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,F,01,Men's Preliminary - Pool F - Match 11,"Hom., tour prélim. - poule F - match 11","masc, fase de grupos - grupo F - jogo 11",Men's Preliminary - Pool F - Match 11,"Hommes, tour préliminaire - poule F - match 11","Masculino, fase de grupos - grupo F - jogo 11",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 1,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,F,02,Men's Preliminary - Pool F - Match 12,"Hom., tour prélim. - poule F - match 12","masc, fase de grupos - grupo F - jogo 12",Men's Preliminary - Pool F - Match 12,"Hommes, tour préliminaire - poule F - match 12","Masculino, fase de grupos - grupo F - jogo 12",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 2,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,F,03,Men's Preliminary - Pool F - Match 23,"Hom., tour prélim. - poule F - match 23","masc, fase de grupos - grupo F - jogo 23",Men's Preliminary - Pool F - Match 23,"Hommes, tour préliminaire - poule F - match 23","Masculino, fase de grupos - grupo F - jogo 23",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 3,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
