Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
CEN,Ceremonies News,Nouvelles des cérémonies,세레모니 뉴스,Ceremonies News,Nouvelles des cérémonies,세레모니 뉴스
FL,Flag Bearers,Porteur de drapeaux,국기 계양자,Flag Bearers,Porteur de drapeaux,국기 계양자
FQ,Flash Quotes,Déclarations,선수 소감,Flash Quotes,Déclarations,선수 소감
MCH,Press Conference Highlights,FRA,기자회견 하이라이트,Press Conference Highlights,Points saillants de la conférence de presse,기자회견 하이라이트
OPC,Open and Closing Ceremonies,FRA,개/폐막식,Open and Closing Ceremonies,Cérémonies d'ouverture et de clôture,개/폐막식
PRE,Medals Presenters,FRA,메달 수여자,Medals Presenters,Personnalité chargée de la remise des médailles,메달 수여자
TAN,Transport Announcements,Annonces de transport ,수송 안내,Transport Announcements,Annonces de transport ,수송 안내
