Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
DON,DongHae,DongHae,동해,DongHae,DongHae,동해
GIM,GimPo,GimPo,김포,GimPo,GimPo,김포
GNG,Gangneung ,Gangneung ,강릉,Gangneung ,Gangneung ,강릉
INC,InCheon,InCheon,인천,InCheon,InCheon,인천
JEO,Jeongseon,Jeongseon,정선,Jeongseon,Jeongseon,정선
PYE,PyeongChang,PyeongChang,평창,PyeongChang,PyeongChang,평창
SEO,Seoul,Seoul,서울,Seoul,Seoul,서울
WON,WonJu,WonJu,원주,WonJu,WonJu,원주
YAN,YangYang,YangYang,양양,YangYang,YangYang,양양
