Version,DateVersion
0.12,26/05/2016
0.11,2016-03-24T00:00:00+00:00
0.10,2016-02-26T00:00:00+00:00
0.09,2015-12-21T00:00:00+00:00
0.08,2015-10-14T00:00:00+00:00
0.07,2015-08-14T00:00:00+00:00
0.06,2015-06-18T00:00:00+00:00
0.05,2015-06-17T00:00:00+00:00
