Discipline,Gender,Event,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Team Event,Old DDGEEE
FRS,M,SS----------------,5,Men's Ski Slopestyle,Ski slopestyle hommes,남자 스키 슬로프스타일,Men's Ski Slopestyle,Ski slopestyle hommes,남자 스키 슬로프스타일,N,FRM070
FRS,W,MO----------------,6,Ladies' Moguls,Bosses dames,여자 모글,Ladies' Moguls,Bosses dames,여자 모글,N,FRW020
FRS,W,AE----------------,7,Ladies' Aerials,Saut dames,여자 에어리얼,Ladies' Aerials,Saut dames,여자 에어리얼,N,FRW030
FRS,W,SX----------------,8,Ladies' Ski Cross,Ski cross dames,여자 스키 크로스,Ladies' Ski Cross,Ski cross dames,여자 스키 크로스,N,FRW740
FRS,W,HP----------------,9,Ladies' Ski Halfpipe,Ski halfpipe dames,여자 스키 하프파이프,Ladies' Ski Halfpipe,Ski halfpipe dames,여자 스키 하프파이프,N,FRW060
FRS,W,SS----------------,10,Ladies' Ski Slopestyle,Ski slopestyle dames,여자 스키 슬로프스타일,Ladies' Ski Slopestyle,Ski slopestyle dames,여자 스키 슬로프스타일,N,FRW070
FRS,-,------------------,,Freestyle Skiing,Ski acrobatique,프리스타일 스키,Freestyle Skiing,Ski acrobatique,프리스타일 스키,,FR0000
FRS,-,AE----------------,,Aerials,Saut,에어리얼,Aerials,Saut,에어리얼,,FR0030
FRS,-,HP----------------,,Ski Halfpipe,Ski halfpipe,스키 하프파이프,Ski Halfpipe,Ski halfpipe,스키 하프파이프,,FR0060
FRS,-,MO----------------,,Moguls,Bosses,모글,Moguls,Bosses,모글,,FR0020
FRS,-,SS----------------,,Ski Slopestyle,Ski slopestyle,스키 슬로프스타일,Ski Slopestyle,Ski slopestyle,스키 슬로프스타일,,FR0070
FRS,-,SX----------------,,Ski Cross,Ski cross,스키 크로스,Ski Cross,Ski cross,스키 크로스,,FR0740
FRS,M,------------------,,Men's Freestyle Skiing,Ski acrobatique hommes,프리스타일 스키 남자경기,Men's Freestyle Skiing,Ski acrobatique hommes,프리스타일 스키 남자경기,,FRM000
FRS,W,------------------,,Ladies' Freestyle Skiing,Ski acrobatique dames,프리스타일 스키 여자경기,Ladies' Freestyle Skiing,Ski acrobatique dames,프리스타일 스키 여자경기,,FRW000
FSK,M,SINGLES-----------,1,Men Single Skating,FRA,KOR,Men Single Skating,FRA,KOR,N,FSM010
FSK,W,SINGLES-----------,2,Ladies Single Skating,FRA,KOR,Ladies Single Skating,FRA,KOR,N,FSW010
FSK,X,PAIRS-------------,3,Pair Skating,FRA,KOR,Pair Skating,FRA,KOR,N,FSX020
FSK,X,ICEDANCE----------,4,Ice Dance,Danse sur glace,아이스 댄스,Ice Dance,Danse sur glace,아이스 댄스,N,FSX030
