Version,DateVersion
11.00,2018-01-05T00:00:00+00:00
10.00,2017-12-04T00:00:00+00:00
9.00,30/10/2017
8.00,02/10/2017
7.00,20/07/2017
6.00,25/05/2017
5.00,20/04/2017
4.00,23/02/2017
3.00,22/12/2016
2.00,10/11/2016
1.00,22/09/2016
0.12,26/05/2016
0.11,2016-03-24T00:00:00+00:00
0.10,2016-02-26T00:00:00+00:00
0.09,2015-12-21T00:00:00+00:00
0.08,2015-10-14T00:00:00+00:00
0.07,2015-08-14T00:00:00+00:00
0.06,2015-06-18T00:00:00+00:00
0.05,2015-06-17T00:00:00+00:00
