Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
ABT,ABT,,Y,Alpensia Biathlon Centre,Centre biathlon Alpensia,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,ABTBTH1,
P01,ABT,,N,Press Conference Room,Salle de conférence de presse,알펜시아 바이애슬론 센터 - 기자회견장,Alpensia Biathlon Ctr - Press Conference Room,Centre biathlon Alpensia - Salle conférence presse,알펜시아 바이애슬론 센터 - 기자회견장,,
ACC,ACC,,Y,Alpensia Cross-Ctry Ctr,Centre ski fond Alpensia,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Skiing Centre,Centre de ski de fond d'Alpensia,알펜시아 크로스컨트리 센터,ACCCCS1/ACCNCB1,
P02,ACC,,N,Press Conference Room,Salle de conférence de presse,알펜시아 크로스컨트리 센터 - 기자회견장,Alpensia Cross-Ctry Ctr - Press Conference Room,Centre ski fond Alpensia - Salle conférence presse,알펜시아 크로스컨트리 센터 - 기자회견장,,
AKA,AKA,,N,Alpensia Key Area,Zone principale Alpensia,알펜시아 핵심지구,Alpensia Key Area,Zone principale d'Alpensia,알펜시아 핵심지구,,
AMC,AMC,,N,Asan Medical Centre,Centre médical d'Asan,서울아산병원,Asan Medical Centre,Centre médical d'Asan,서울아산병원,,
AMH,AMH,,N,AM Hotel,Hôtel AM,AM호텔,AM Hotel,Hôtel AM,AM호텔,,
AOS,AOS,,N,Incheon Int Airp T1 Statn,Arrêt aér intl Incheon T1,인천 국제 공항 T1 역,Incheon International Airport T1 Station,Arrêt de l'aéroport international d'Incheon T1,인천 국제 공항 T1 역,,
APD,APD,,N,Alpensia Depot,Dépôt d'Alpensia,알펜시아 차고지,Alpensia Depot,Dépôt d'Alpensia,알펜시아 차고지,,
ASJ,ASJ,,Y,Alpensia Ski Jumping Ctr,Centre saut ski Alpensia,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,Centre de saut à ski d'Alpensia,알펜시아 스키점프 센터,ASJSBD1/ASJSJP1/ASJNCB1,
BA1,ASJ,1,Y,Alpensia Ski Jumping - Big Air,Ctr saut ski Alpensia-Big Air,알펜시아 스키점프 센터 - 빅에어,Alpensia Ski Jumping Centre - Big Air,Centre de saut à ski d'Alpensia - Big Air,알펜시아 스키점프 센터 - 빅에어,ASJSBD1,
P03,ASJ,,N,Press Conference Room,Salle de conférence de presse,알펜시아 스키점프 센터 - 기자회견장,Alpensia Ski Jumping Ctr - Press Conference Room,Centre saut ski Alpensia - Salle conférence presse,알펜시아 스키점프 센터 - 기자회견장,,
SJ1,ASJ,2,Y,Alpensia Ski Jumping - Normal,Ctr saut ski Alpensia-Normal,알펜시아 스키점프 센터 - 노말힐,Alpensia Ski Jumping Centre - Normal Hill,Centre de saut à ski d'Alpensia - Tremplin normal,알펜시아 스키점프 센터 - 노말힐,ASJSJP1/ASJNCB1,
SJ2,ASJ,3,Y,Alpensia Ski Jumping - Large,Ctr saut ski Alpensia-Large,알펜시아 스키점프 센터 - 라지힐,Alpensia Ski Jumping Centre - Large Hill,Centre de saut à ski d'Alpensia - Grand tremplin,알펜시아 스키점프 센터 - 라지힐,ASJSJP1/ASJNCB1,
ASL,ASL,,Y,Olympic Sliding Centre,Centre olympique glisse,올림픽 슬라이딩 센터,Olympic Sliding Centre,Centre olympique de glisse,올림픽 슬라이딩 센터,ASLBOB1/ASLLUG1/ASLSKN1,
P04,ASL,,N,Press Conference Room,Salle de conférence de presse,올림픽 슬라이딩  센터 - 기자회견장,Olympic Sliding Centre  - Press Conference Room,Centre olympique glisse - Salle conférence presse,올림픽 슬라이딩  센터 - 기자회견장,,
ASP,ASP,,N,Alpensia Olympic Park,Parc olympique d'Alpensia,알펜시아올림픽파크,Alpensia Olympic Park,Parc olympique d'Alpensia,알펜시아올림픽파크,,
ATC,ATC,,N,Alternative TOC,Alternative du CET,보조기술운영센터,Alternative Technology Operations Centre,Alternative du centre d'exploitation technologique,보조기술운영센터,,
ATM,ATM,,N,Alpensia T3 transp. mall,Espla transp. T3 Alpensia,알펜시아 T3 수송몰,Alpensia T3 transport mall,Esplanade des transports T3 d'Alpensia,알펜시아 T3 수송몰,,
