Id,type,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
FEI,IF,FEI,FEI,국제승마연맹,International Equestrian Federation,Fédération équestre internationale,국제승마연맹,,,,,,,,
FIBA,IF,FIBA,FIBA,국제농구연맹,International Basketball Federation,Fédération internationale de basketball,국제농구연맹,,,,,,,,
FIE,IF,FIE,FIE,국제펜싱연맹,International Fencing Federation,Fédération internationale d'escrime,국제펜싱연맹,,,,,,,,
FIFA,IF,FIFA,FIFA,국제축구연맹,International Football Federation,Fédération internationale de football association,국제축구연맹,,,,,,,,
FIG,IF,FIG,FIG,국제체조연맹,International Gymnastics Federation,Fédération internationale de gymnastique,국제체조연맹,,,,,,,,
FIH,IF,FIH,FIH,국제하키연맹,International Hockey Federation,Fédération internationale de hockey,국제하키연맹,,,,,,,,
FIJ,OC,Fiji,Fidji,피지,Fiji,Fidji,피지
FIL,IF,FIL,FIL,국제루지연맹,International Luge Federation,Fédération internationale de luge de course,국제루지연맹,,,,,,,,
FIN,OC,Finland,Finlande,핀란드,Finland,Finlande,핀란드,,,,,,,,
FINA,IF,FINA,FINA,국제수영연맹,International Aquatics Federation,Fédération internationale de natation,국제수영연맹
FIS,IF,FIS,FIS,국제스키연맹,International Ski Federation,Fédération internationale de ski,국제스키연맹,,,,,,,,
FISA,IF,FISA,FISA,국제조정연맹,International Rowing Federation,Fédération Internationale des Sociétés d'Aviron,국제조정연맹,,,,,,,,
FIVB,IF,FIVB,FIVB,국제배구연맹,International Volleyball Federation,Fédération Internationale de Volleyball,국제배구연맹
FRA,OC,France,France,프랑스,France,France,프랑스,,,,,,,,
FRG,OC,FRG,RFA,독일연방공화국,Federal Republic of Germany,République Fédérale d'Allemagne,독일연방공화국,,,,,,,,
FSM,OC,Micronesia,Micronésie,미크로네시아,Federated States of Micronesia,États fédérés de Micronésie,미크로네시아,,,,,,,,
GAB,OC,Gabon,Gabon,가봉,Gabon,Gabon,가봉,,,,,,,,
GAM,OC,Gambia,Gambie,감비아,Gambia,Gambie,감비아,,,,,,,,
GBR,OC,Great Britain,Grande-Bretagne,영국,Great Britain,Grande-Bretagne,영국,,,,,,,,
GBS,OC,Guinea-Bissau,Guinée-Bissau,기니비사우,Guinea-Bissau,Guinée-Bissau,기니비사우
GDR,OC,GDR,RDA,동독,GDR,RDA,동독,,,,,,,,
GEO,OC,Georgia,Géorgie,조지아,Georgia,Géorgie,조지아
GEQ,OC,Equatorial Guinea,Guinée équatoriale,적도 기니,Equatorial Guinea,Guinée équatoriale,적도 기니,,,,,,,,
GER,OC,Germany,Allemagne,독일,Germany,Allemagne,독일,,,,,,,,
GHA,OC,Ghana,Ghana,가나,Ghana,Ghana,가나,,,,,,,,
GRE,OC,Greece,Grèce,그리스,Greece,Grèce,그리스
GRN,OC,Grenada,Grenade,그레나다,Grenada,Grenade,그레나다
GUA,OC,Guatemala,Guatemala,과테말라,Guatemala,Guatemala,과테말라
GUI,OC,Guinea,Guinée,기니,Guinea,Guinée,기니
GUM,OC,Guam,Guam,괌,Guam,Guam,괌
GUY,OC,Guyana,Guyana,가이아나,Guyana,Guyana,가이아나
HAI,OC,Haiti,Haïti,아이티,Haiti,Haïti,아이티
HKG,OC,"Hong Kong, China","Hong Kong, Chine",홍콩,"Hong Kong, China","Hong Kong, Chine",홍콩
HON,OC,Honduras,Honduras,온두라스,Honduras,Honduras,온두라스
HUN,OC,Hungary,Hongrie,헝가리,Hungary,Hongrie,헝가리,,,,,,,,
IAAF,IF,IAAF,IAAF,국제육상연맹,International Association of Athletics Federations,Association internationale des fédérations d'athlétisme,국제육상연맹,,,,,,,,
IBSF,IF,IBSF,IBSF,국제봅슬레이스켈레톤연맹,International Bobsleigh and Skeleton Federation,Fédération internationale de bobsleigh et de tobogganing,국제봅슬레이스켈레톤연맹,,,,,,,,
IBU,IF,IBU,IBU,국제바이애슬론연맹,International Biathlon Union,Union internationale de biathlon,국제바이애슬론연맹,,,,,,,,
ICF,IF,ICF,ICF,국제카누연맹,International Canoe Federation,Fédération internationale de canoë,국제카누연맹,,,,,,,,
IGF,IF,IGF,IGF,국제골프연맹,International Golf Federation,Fédération internationale de golf,국제골프연맹
IHF,IF,IHF,IHF,국제핸드볼연맹,International Handball Federation,Fédération internationale de handball,국제핸드볼연맹
IIHF,IF,IIHF,IIHF,국제아이스하키연맹,International Ice Hockey Federation,Fédération internationale de hockey sur glace,국제아이스하키연맹
IJF,IF,IJF,IJF,국제유도연맹,International Judo Federation,Fédération internationale de judo,국제유도연맹,,,,,,,,
INA,OC,Indonesia,Indonésie,인도네시아,Indonesia,Indonésie,인도네시아
IND,OC,India,Inde,인도,India,Inde,인도
IOA,OC,IOA,AOI,올림픽독립선수,Independent Olympic Athletes,Athlètes olympiques indépendants,올림픽독립선수
IOP,OC,IOP,POI,올림픽 독립참가단,Independent Olympic Participants,Participants olympiques indépendants,올림픽 독립참가단,,,,,,,,
IRI,OC,Islamic Rep. of Iran,Iran,이란,Islamic Republic of Iran,République islamique d'Iran,이란
IRL,OC,Ireland,Irlande,아일랜드,Ireland,Irlande,아일랜드,,,,,,,,
IRQ,OC,Iraq,Iraq,이라크,Iraq,Iraq,이라크
ISL,OC,Iceland,Islande,아이슬란드,Iceland,Islande,아이슬란드,,,,,,,,
ISR,OC,Israel,Israël,이스라엘,Israel,Israël,이스라엘,,,,,,,,
ISSF,IF,ISSF,ISSF,국제사격연맹,International Shooting Sport Federation,Fédération internationale de tir sportif,국제사격연맹,,,,,,,,
ISU,IF,ISU,UIP,국제빙상연맹,International Skating Union,Union internationale de patinage,국제빙상연맹
ISV,OC,"Virgin Islands, US",Îles Vierges US,버진아일랜드(미국령),"Virgin Islands, US",Îles Vierges des États-Unis,버진아일랜드(미국령),,,,,,,,
ITA,OC,Italy,Italie,이탈리아,Italy,Italie,이탈리아
ITF,IF,ITF,FIT,국제테니스연맹,International Tennis Federation,Fédération internationale de tennis,국제테니스연맹
ITTF,IF,ITTF,ITTF,국제탁구연맹,International Table Tennis Federation,Fédération internationale de tennis de table,국제탁구연맹
ITU,IF,ITU,ITU,국제트라이애슬론연맹,International Triathlon Union,Fédération internationale de triathlon,국제트라이애슬론연맹,,,,,,,,
IVB,OC,"Virgin Isl., British",Îles Vierges brit.,영국령 버진아일랜드,"Virgin Islands, British",Îles Vierges britanniques,영국령 버진아일랜드
IWF,IF,IWF,IWF,국제역도연맹,International Weightlifting Federation,Fédération internationale d'haltérophilie,국제역도연맹,,,,,,,,
JAM,OC,Jamaica,Jamaïque,자메이카,Jamaica,Jamaïque,자메이카
JOR,OC,Jordan,Jordanie,요르단,Jordan,Jordanie,요르단,,,,,,,,
JPN,OC,Japan,Japon,일본,Japan,Japon,일본,,,,,,,,
KAZ,OC,Kazakhstan,Kazakhstan,카자흐스탄,Kazakhstan,Kazakhstan,카자흐스탄,,,,,,,,
KEN,OC,Kenya,Kenya,케냐,Kenya,Kenya,케냐,,,,,,,,
KGZ,OC,Kyrgyzstan,Kirghizistan,키르기스스탄,Kyrgyzstan,Kirghizistan,키르기스스탄,,,,,,,,
KIR,OC,Kiribati,Kiribati,키리바시,Kiribati,Kiribati,키리바시
KOR,OC,Republic of Korea,Rép. de Corée,대한민국,Republic of Korea,République de Corée,대한민국
KOS,OC,Kosovo,Kosovo,코소보,Kosovo,Kosovo,코소보
KSA,OC,Saudi Arabia,Arabie saoudite,사우디 아라비아,Saudi Arabia,Arabie saoudite,사우디 아라비아,,,,,,,,
KUW,OC,Kuwait,Koweït,쿠웨이트,Kuwait,Koweït,쿠웨이트
LAO,OC,Lao P.D.R.,RDP lao,라오스,Lao People's Democratic Republic,République démocratique populaire lao,라오스
LAT,OC,Latvia,Lettonie,라트비아,Latvia,Lettonie,라트비아
LBA,OC,Libya,Libye,리비아,Libya,Libye,리비아,,,,,,,,
LBN,OC,Lebanon,Liban,레바논,Lebanon,Liban,레바논
LBR,OC,Liberia,Libéria,라이베리아,Liberia,Libéria,라이베리아
LCA,OC,Saint Lucia,Sainte-Lucie,세인트루시아,Saint Lucia,Sainte-Lucie,세인트루시아
LES,OC,Lesotho,Lesotho,레소토,Lesotho,Lesotho,레소토,,,,,,,,
LIE,OC,Liechtenstein,Liechtenstein,리히텐슈타인,Liechtenstein,Liechtenstein,리히텐슈타인
LTU,OC,Lithuania,Lituanie,리투아니아,Lithuania,Lituanie,리투아니아,,,,,,,,
LUX,OC,Luxembourg,Luxembourg,룩셈부르크,Luxembourg,Luxembourg,룩셈부르크,,,,,,,,
MAD,OC,Madagascar,Madagascar,마다가스카르,Madagascar,Madagascar,마다가스카르,,,,,,,,
MAR,OC,Morocco,Maroc,모로코,Morocco,Maroc,모로코
MAS,OC,Malaysia,Malaisie,말레이시아,Malaysia,Malaisie,말레이시아,,,,,,,,
MAW,OC,Malawi,Malawi,말라위,Malawi,Malawi,말라위
MDA,OC,Rep. of Moldova,Rép. de Moldova,몰도바,Republic of Moldova,République de Moldova,몰도바
MDV,OC,Maldives,Maldives,몰디브,Maldives,Maldives,몰디브
MEX,OC,Mexico,Mexique,멕시코,Mexico,Mexique,멕시코
MGL,OC,Mongolia,Mongolie,몽골,Mongolia,Mongolie,몽골
MHL,OC,Marshall Islands,Îles Marshall,마셜 제도,Marshall Islands,Îles Marshall,마셜 제도
MKD,OC,MKD,MKD,구유고슬라비아 마케도니아 공화국,The Former Yugoslav Republic of Macedonia,ex-République yougoslave de Macédoine,구유고슬라비아 마케도니아 공화국
MLI,OC,Mali,Mali,말리,Mali,Mali,말리
MLT,OC,Malta,Malte,몰타,Malta,Malte,몰타
MNE,OC,Montenegro,Monténégro,몬테네그로,Montenegro,Monténégro,몬테네그로
