Discipline,ORIS_NO,ENG Description,FRA Description,KOR Description
CUR,N86E,Media Information,Informations aux médias,미디어 정보
CUR,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
CUR,N87A,Flash Quotes,Déclarations express,플래시 선수소감
CUR,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
CUR,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
CUR,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
CUR,N90A,Media Communication,Communication aux médias,미디어 전달사항
CUR,N90B,News Article,Article de presse,일반 기사
CUR,N90C,IOC News,Actualités du CIO,IOC 뉴스
CUR,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
CUR,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
FRS,C06A,Activity List,Liste des activités,활동 리스트
FRS,C06B,Activity List by Event,Liste des activités par épreuve,세부종목별 활동 리스트
FRS,C07,Training Schedule,Horaire des entraînements,연습 일정
FRS,C08,Competition Schedule,Horaire des compétitions,경기 일정
FRS,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 엔트리 인원
FRS,C31A,Entries,Inscriptions,엔트리
FRS,C31C,Entries by Event,Inscriptions par épreuve,세부종목별 엔트리
FRS,C32A,Entry List by NOC,Liste d'inscriptions par CNO,NOC별 엔트리 리스트
FRS,C32C,Entry List by Event,Liste d'inscriptions par épreuve,세부종목별 엔트리 리스트
FRS,C35,Competition Officials,Officiels de compétition,경기임원
FRS,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
FRS,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
FRS,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
FRS,C45A1,Draw List by FIS/WC Points,Liste de tirage au sort par points FIS/WC,FIS/WC 점수별 대진표 리스트
FRS,C45A2,FIS Seeding List,Liste de tirage au sort,FIS 시딩 리스트
FRS,C45B,Confirmation List,Liste de confirmation,확정 리스트
FRS,C45C,Bib Assignment by Event,Attribution des dossards par épreuve,세부종목별 빕 할당
FRS,C49,Weather,Météo,기상
FRS,C51A1,Start List,Liste de départ,스타트 리스트
FRS,C51A2,Start List,Liste de départ,스타트 리스트
FRS,C51H,Start List,Liste de départ,스타트 리스트
FRS,C51M1,Start List,Liste de départ,스타트 리스트
FRS,C51M2,Start List,Liste de départ,스타트 리스트
FRS,C51S,Start List,Liste de départ,스타트 리스트
FRS,C51X1,Start List,Liste de départ,스타트 리스트
FRS,C65A1,Starters' Protocol,Protocole de départ,스타터 프로토콜
FRS,C65A2,Flight Plan,Liste initiale des sauts,비행 계획
FRS,C65B,Roll Call List,Liste d'appel,출석확인 리스트
FRS,C67,Official Communication,Communication officielle,공식 전달사항
FRS,C68,Sport Communication,Communication sportive,종목 전달사항
FRS,C71H,Partial Results,Résultats partiels,중간 경기결과
FRS,C71S,Partial Results,Résultats partiels,중간 경기결과
FRS,C72X1,Unofficial Results,Résultats non officiels,비공식 경기결과
FRS,C73A,Results,Résultats,경기결과
FRS,C73H,Results,Résultats,경기결과
FRS,C73M,Results,Résultats,경기결과
FRS,C73S,Results,Résultats,경기결과
FRS,C73X1,Results,Résultats,경기결과
FRS,C73X2,Results,Résultats,경기결과
FRS,C74A1,Phase Results Summary,Résumé des résultats par phase,단계별 경기결과 요약
FRS,C74A2,Event Results Summary,Résumé des résultats par épreuve,이벤트 경기결과 요약
FRS,C74M1,Phase Results Summary,Résumé des résultats par phase,단계별 경기결과 요약
FRS,C74M2,Event Results Summary,Résumé des résultats par épreuve,이벤트 경기결과 요약
FRS,C75X,Brackets,Tableau de résultat,대진표
FRS,C77A,Tie-Breaking Protocol,Partage des ex æquo,동점 처리 절차
FRS,C77H,Tie-breaking Protocol,Partage des ex æquo,동점 처리 절차
FRS,C77M,Tie-breaking Protocol,Partage des ex æquo,동점 처리 절차
FRS,C77S,Tie-breaking Protocol,Partage des ex æquo,동점 처리 절차
FRS,C77X1,Tie-breaking Protocol,Partage des ex æquo,동점 처리 절차
FRS,C77X2,Lane Choice Analysis,Analyse du choix de couloir,레인 선정 분석
FRS,C77X3,Race Analysis,Analyse de la course,경기 분석
FRS,C92A,Medallists,Médaillé(e)s,메달리스트
FRS,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
FRS,C95,Medal Standings,Classement des médailles,메달 순위
FRS,N02A,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
FRS,N02B,Glossary of Terms,Glossaire,용어집
FRS,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
FRS,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
FRS,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
FRS,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
FRS,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
FRS,N17B,FIS World Cup Standings,Classement de la Coupe du monde FIS,FIS 월드컵 랭킹
FRS,N17C,FIS Points List,Liste des points FIS,FIS 포인트 리스트
FRS,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
FRS,N24,NOC Profile,Profil du CNO,NOC 프로필
FRS,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
FRS,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
FRS,N59A,Extended Start List,Liste de départ détaillée,상세 스타트리스트
FRS,N59B,Extended Start List,Liste de départ détaillée,상세 스타트리스트
FRS,N86A,History,Histoire du sport,스포츠 역사
FRS,N86B,FIS - Federation Facts,Informations sur la Fédération - FIS,FIS - 연맹 현황
FRS,N86C,Qualification Criteria,Système de qualification,출전자격 획득 절차
FRS,N86D,Facility Description,Description du site de compétition,시설 정보
FRS,N86E,Media Information,Informations aux médias,미디어 정보
FRS,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
FRS,N87A,Flash Quotes,Déclarations express,플래시 선수소감
FRS,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
FRS,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
FRS,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
FRS,N90A,Media Communication,Communication aux médias,미디어 전달사항
FRS,N90B,News Article,Article de presse,일반 기사
FRS,N90C,IOC News,Actualités du CIO,IOC 뉴스
FRS,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
FRS,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
FSK,C06,Activity List,Liste des activités,활동 리스트
FSK,C07A,Practice Schedule and Music Order,Horaire des entraînements et rotation des musiques,연습 일정 및 음악 순서
FSK,C07B,Practice Groups,Groupes d'entraînements,연습 그룹
FSK,C07C,Practice and Competition Schedule,Horaire des entraînements et des compétitions,연습 & 경기 일정
FSK,C08,Competition Schedule,Horaire des compétitions,경기 일정
FSK,C24,Season Best,Meilleur score de la saison,시즌 최고기록
FSK,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 엔트리 인원
FSK,C31A,Entries,Inscriptions,엔트리
FSK,C31C,Entries by Event,Inscriptions par épreuve,세부종목별 엔트리
FSK,C32E,Entry List by Event ,Liste d'inscriptions par épreuve,세부종목별 엔트리 리스트
FSK,C32E2,Entry List by Event ,Liste d'inscriptions par épreuve,세부종목별 엔트리 리스트
FSK,C35,Competition Officials,Officiels de compétition,경기임원
FSK,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
FSK,C38B,Entry Data Checklist - Couples,Formulaire de contrôle des données d'inscription - couples,엔트리 데이터 체크리스트- 혼성
FSK,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - équipes,엔트리 데이터 체크리스트- 팀
FSK,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
FSK,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
FSK,C45,Draw List,Liste des participant(e)s au tirage au sort,추첨 리스트
FSK,C51A1,Start List,Ordre de passage,스타트 리스트
FSK,C51A2,Start List with Times,Ordre et horaires de passage,시간 포함 스타트 리스트
FSK,C51B1,Start List,Ordre de passage,스타트 리스트
FSK,C51B2,Start List with Times,Ordre et horaires de passage,시간 포함 스타트 리스트
FSK,C51D1,Start List,Ordre de passage,스타트 리스트
FSK,C51D2,Start List with Times,Ordre et horaires de passage,시간 포함 스타트 리스트
FSK,C51E1,Start List,Ordre de passage,스타트 리스트
FSK,C51E2,Start List with Times,Ordre et horaires de passage,시간 포함 스타트 리스트
FSK,C51F,Start List Exhibition,Ordre de passage au gala,스타트 리스트 프로그램
FSK,C51G,Exhibition Timing and Music Selection,Horaires du gala et sélections musicales,프로그램 시간 및 음악 선정
FSK,C51H,Planned Program Content,Contenu prévu du programme,스타트 리스트
FSK,C57,ISU Panel of Judges and Technical Panel,ISU Panel des juges et panel technique,ISU 심판 및 기술임원
FSK,C63A,,,
FSK,C63B,,,
FSK,C63C,,,
FSK,C67,Official Communication,Communication officielle,공식 전달사항
FSK,C68,Sport Communication,Communication sportive,종목 전달사항
FSK,C73A1,Segment Results,Résultats par segment,세그먼트 경기결과
FSK,C73A2,Segment Results,Résultats par segment,세그먼트 경기결과
FSK,C73B,Results,Résultats,경기결과
FSK,C73D1,Results,Résultats,경기결과
FSK,C73D2,Results,Résultats,경기결과
FSK,C77A,Results Details,Détails des résultats,경기결과 상세
FSK,C77B,Judges Details per Skater,Notation détaillée des juges par patineur,선수별 심판 세부채점 정보
FSK,C81,New Season Best,Nouveau meilleur score de la saison,시즌 신기록
FSK,C92A,Medallists,Médaillé(e)s,메달리스트
FSK,C92B,Medallists,Médaillé(e)s,메달리스트
FSK,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
FSK,C95,Medal Standings,Classement des médailles,메달 순위
FSK,C97,Figure Skating Medal Standings,Classement des médailles - patinage artistique,피겨스케이팅 메달 순위
FSK,N02,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
FSK,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
FSK,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
FSK,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
FSK,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
FSK,N17B,Results in Current Season,Résultats de la saison actuelle,현 시즌 경기결과
FSK,N18A,Individual Achievements / Records,Résultats / records individuels,개별 성적/기록
FSK,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
FSK,N22,Couple Biography,Biographie du couple,커플 바이오그래피
FSK,N23,ISU Competition Officials Profiles,Biographie - officiel de compétition,ISU 경기 임원 프로필
FSK,N24,NOC Profile,Profil du CNO,NOC 프로필
FSK,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
FSK,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
FSK,N59,Extended Start List,Liste de départ détaillée,상세 스타트리스트
FSK,N86A,History,Histoire du sport,스포츠 역사
FSK,N86B,ISU - Federation Facts,Informations sur la Fédération - ISU,ISU - 연맹 현황
FSK,N86C,Qualification Criteria,Système de qualification,출전자격 획득 절차
FSK,N86D,Facility Description,Description du site de compétition,시설 정보
FSK,N86E,Media Information,Informations aux médias,미디어 정보
FSK,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
FSK,N87A,Flash Quotes,Déclarations express,플래시 선수소감
FSK,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
FSK,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
FSK,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
FSK,N90A,Media Communication,Communication aux médias,미디어 전달사항
FSK,N90B,News Article,Article de presse,일반 기사
FSK,N90C,IOC News,Actualités du CIO,IOC 뉴스
FSK,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
FSK,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
IHO,C06,Activity List,Liste des activités,활동 리스트
IHO,C07,Practice Schedule,Horaire des entraînements,연습 일정
IHO,C08,Competition Schedule,Horaire des compétitions,경기 일정
IHO,C31T,Team Entries,Inscriptions par équipe,팀 엔트리
IHO,C33,Team Roster ,Composition de l'équipe,팀 명단
IHO,C35A,Directorate,Directoire,팀대표자
IHO,C35B,Competition Officials,Officiels de compétition,경기임원
IHO,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
IHO,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - équipes,엔트리 데이터 체크리스트- 팀
IHO,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
IHO,C38E,Entry Data Checklist - Team Colours,Liste de contrôle des données d’inscription - Couleurs d'équipe,엔트리 데이터 체크리스트 - 팀 유니폼 색깔
IHO,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
IHO,C48A,Team Line-Up Form,Formulaire de composition de l'équipe,팀 라인업 양식
IHO,C48B,Game Starting Line-Up Form,Composition de l'équipe,경기 선발 라인업 양식
IHO,C48E,Team Entry Long List,Longue liste de composition d'équipe,팀 예비엔트리 리스트
IHO,C48F,Official Game Sheet/Report,Feuille officielle de match/Rapport officiel du match,공식 경기결과지
IHO,C54A,Game Roster,Composition d'équipe,경기 명단
IHO,C54B,Line-ups,Composition des équipes,라인업
IHO,C54C,Graphical Line-ups,Alignements,그래픽 라인업
IHO,C58,Game Officials Assignment,Désignations des officiels du match,경기 심판 배정
IHO,C67,Official Communication,Communication officielle,공식 전달사항
IHO,C68,Sport Communication,Communication sportive,종목 전달사항
IHO,C74,Game Summary,Résumé du match,경기 요약
IHO,C76A,Tournament Progress,Évolution du tournoi,토너먼트 진행상황
IHO,C76B,Tournament Progress,Évolution du tournoi,토너먼트 진행상황
IHO,C76C,Tournament Progress,Évolution du tournoi,토너먼트 진행상황
IHO,C76D,Tournament Progress,Évolution du tournoi,토너먼트 진행상황
IHO,C76E,Game Results by Team,Résultats des rencontres par équipes,팀별 대회 경기결과
IHO,C76F,Teams Overall Record,Classement des équipes,팀 전체 기록
IHO,C77A,Shot Chart,Statistiques des tirs,슛 차트
IHO,C77B,Face-off Chart,Statistiques des mises en jeu,페이스오프 차트
IHO,C83,Player Statistics by Team,Statistiques des joueurs par équipe,팀별 선수 통계
IHO,C84,Team Statistics,Statistiques des équipes,팀 통계
IHO,C85A,Goalkeepers,Gardiens de but,골키퍼
IHO,C85B,Scoring Leaders,Meilleurs marqueurs,득점 선두
IHO,C85C,Goal Scoring Leaders,Meilleurs buteurs,골득점 선두
IHO,C85D,Assist Leaders,Meilleurs assistants,어시스트 선두
IHO,C85E,Defencemen Scoring Leaders,Meilleurs défenseurs marqueurs,수비수 득점 선두
IHO,C85F,Face-off Leaders,Meilleurs joueurs de mise en jeu,페이스오프 선두
IHO,C85G,Plus-Minus Leaders,Meilleurs joueurs plus-moins,플러스-마이너스 선두
IHO,C85H,Most Penalised Players,Joueurs les plus pénalisés,최다 반칙 선수
IHO,C85I,Best Players Selected by the Directorate,Meilleurs joueurs choisis par la directoire,팀대표자가 선정한 최고의 선수
IHO,C92C,Medallists,Médaillé(e)s,메달리스트
IHO,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
IHO,C95,Medal Standings,Classement des médailles,메달 순위
IHO,N02A,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
IHO,N02B,Glossary of Terms,Glossaire,용어집
IHO,N02C,"Game, Penalty and Equipment Description","Description du jeu, des pénalités et de l'équipement","대회, 패널티, 장비 정보"
IHO,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
IHO,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
IHO,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
IHO,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
IHO,N17B,Results in Qualification Period,Résultats pendant la période de qualification,예선 기간 경기결과
IHO,N17C,Qualified Teams,Équipes qualifiées,본선 진출 팀
IHO,N17D,World Ranking,Classement mondial,세계 랭킹
IHO,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
IHO,N21,Coach Biography,Biographie d'entraîneur,코치 바이오그래피
IHO,N22,Team Profile,Profil de l'équipe,팀 프로필
IHO,N24,NOC Profile,Profil du CNO,NOC 프로필
IHO,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
IHO,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
IHO,N62,Head To Head,Face à face,팀별 전적 
IHO,N86A,History,Histoire du sport,스포츠 역사
IHO,N86B,IIHF - Federation Facts,Informations sur la Fédération - IIHF,IIHF - 연맹 현황
IHO,N86C,Qualification Criteria,Système de qualification,출전자격 획득 절차
IHO,N86D,Facility Description,Description du site de compétition,시설 정보
IHO,N86E,Media Information,Informations aux médias,미디어 정보
IHO,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
IHO,N86H,Individual Achievements,Résultats individuels,선수 개별 성적
IHO,N86I,Team Achievements,Résultats de l'équipe,팀 성적
IHO,N87A,Flash Quotes,Déclarations express,플래시 선수소감
IHO,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
IHO,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
IHO,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
IHO,N90A,Media Communication,Communication aux médias,미디어 전달사항
IHO,N90B,News Article,Article de presse,일반 기사
IHO,N90C,IOC News,Actualités du CIO,IOC 뉴스
IHO,N98,Media All Stars and Most Valuable Player,Étoiles choisies par les médias et joueur le plus utile,미디어 선정 올스타 및 MVP
IHO,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
IHO,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
LUG,C06,Activity List,Liste des activités,활동 리스트
LUG,C07,Training Schedule,Horaire des entraînements,연습 일정
LUG,C08,Competition Schedule,Horaire des compétitions,경기 일정
LUG,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 엔트리 인원
LUG,C31A,Entries,Inscriptions,엔트리
LUG,C31C,Entries by Event,Inscriptions par épreuve,세부종목별 엔트리
LUG,C32A,Entry List by NOC,Liste d'inscriptions par CNO,NOC별 엔트리 리스트
LUG,C35,Competition Officials,Officiels de compétition,경기임원
LUG,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
LUG,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
LUG,C48A,Training Start Order within NOC,Ordre de départ des entraînements par CNO,NOC 내 연습주행 스타트 리스트
LUG,C49,Weather,Météo,기상
LUG,C51A,Start List,Liste de départ,스타트 리스트
LUG,C51B,Start List,Liste de départ,스타트 리스트
LUG,C51C1,Start List,Liste de départ,스타트 리스트
LUG,C51C2,Start List,Liste de départ,스타트 리스트
LUG,C67,Official Communication,Communication officielle,공식 전달사항
LUG,C68,Sport Communication,Communication sportive,종목 전달사항
LUG,C72A,Unofficial Results,Résultats non officiels,비공식 경기결과
LUG,C72C,Unofficial Results,Résultats non officiels,비공식 경기결과
LUG,C73A1,Results - by Start Order,Résultats - par ordre de départ,경기결과 - 스타트 순서별
LUG,C73A2,Results - by Start Order,Résultats - par ordre de départ,경기결과 - 스타트 순서별
LUG,C73B1,Results ,Résultats,경기결과
LUG,C73B2,Final Results,Résultats définitifs,최종 경기결과
LUG,C73C2,Final Results,Résultats définitifs,최종 경기결과
LUG,C77A,Training Analysis,Analyses,연습주행 분석
LUG,C77B,Race Analysis,Analyses,경기 분석
LUG,C81,New Track Records,Nouveaux records de piste,트랙 신기록
LUG,C82,Competition Data,Données de compétition,경기 데이터
LUG,C92A,Medallists,Médaillé(e)s,메달리스트
LUG,C92B,Medallists,Médaillé(e)s,메달리스트
LUG,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
LUG,C95,Medal Standings,Classement des médailles,메달 순위
LUG,N02,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
LUG,N03,Course Map and Profile,Information sur la piste,코스 지도 및 프로필
LUG,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
LUG,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
LUG,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
LUG,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
LUG,N17B,Results Summary in Last Olympic Cycle,Résumé des résultats au dernier cycle olympique,지난 올림픽 주기 경기결과 요약
LUG,N17C,Current Season World Cup Results,Classement actuel de la coupe du monde,현 시즌 월드컵 경기결과
LUG,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
LUG,N24,NOC Profile,Profil du CNO,NOC 프로필
LUG,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
LUG,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
LUG,N59,Extended Start List,Liste de départ détaillée,상세 스타트리스트
LUG,N86A,History,Histoire du sport,스포츠 역사
LUG,N86B,FIL - Federation Facts,Informations sur la Fédération - FIL,FIL - 연맹 현황
LUG,N86C,Qualification Criteria,Système de qualification,출전자격 획득 절차
LUG,N86D,Facility Description,Description du site de compétition,시설 정보
LUG,N86E,Media Information,Informations aux médias,미디어 정보
LUG,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
LUG,N87A,Flash Quotes,Déclarations express,플래시 선수소감
LUG,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
LUG,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
LUG,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
LUG,N90A,Media Communication,Communication aux médias,미디어 전달사항
LUG,N90B,News Article,Article de presse,일반 기사
LUG,N90C,IOC News,Actualités du CIO,IOC 뉴스
LUG,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
LUG,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
NCB,C06,Activity List,Liste des activités,활동 리스트
NCB,C07,Training Schedule,Horaire des entraînements,연습 일정
NCB,C08,Competition Schedule,Horaire des compétitions,경기 일정
NCB,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 엔트리 인원
NCB,C31A,Entries,Inscriptions,엔트리
NCB,C32A,Entry List by NOC,Liste d'inscriptions par CNO,NOC별 엔트리 리스트
NCB,C35,Competition Officials,Officiels de compétition,경기임원
NCB,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
NCB,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - équipes,엔트리 데이터 체크리스트- 팀
NCB,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
NCB,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
NCB,C45A,Entry Form,Formulaire d'inscription,엔트리 양식
NCB,C45B,Entry Form,Formulaire d'inscription,엔트리 양식
NCB,C45C,Entry Form,Formulaire d'inscription,엔트리 양식
NCB,C49,Weather,Météo,기상
NCB,C51A,Start List,Liste de départ,스타트 리스트
NCB,C51B2,Start List,Liste de départ,스타트 리스트
NCB,C51B5,Start List,Liste de départ,스타트 리스트
NCB,C51C1,Start List,Liste de départ,스타트 리스트
NCB,C51C4,Start List,Liste de départ,스타트 리스트
NCB,C51E,Lane Assignment,Attribution des couloirs,레인 할당
NCB,C51E1,Lane Assignment,Attribution des couloirs,레인 할당
NCB,C51E2,Lane Assignment,Attribution des couloirs,레인 할당
NCB,C67,Official Communication,Communication officielle,공식 전달사항
NCB,C68,Sport Communication,Communication sportive,종목 전달사항
NCB,C72B2,Unofficial Intermediate Results,Résultats intermédiaires non officiels,비공식 중간 경기결과
NCB,C72B4,Unofficial Results,Résultats non officiels,비공식 경기결과
NCB,C72C2,Unofficial Intermediate Results,Résultats intermédiaires non officiels,비공식 중간 경기결과
NCB,C72C4,Unofficial Results,Résultats non officiels,비공식 경기결과
NCB,C73A,Results,Résultats,경기결과
NCB,C73B1,Results,Résultats,경기결과
NCB,C73B2,Intermediate Results,Résultats intermédiaires,중간 경기결과
NCB,C73B4,Results,Résultats,경기결과
NCB,C73C1,Results,Résultats,경기결과
NCB,C73C2,Intermediate Results,Résultats intermédiaires,중간 경기결과
NCB,C73C4,Results,Résultats,경기결과
NCB,C77B4,Competition Analysis,Analyse de la course,경기 분석
NCB,C77C4,Competition Analysis,Analyse de la course,경기 분석
NCB,C92A,Medallists,Médaillé(e)s,메달리스트
NCB,C92B,Medallists,Médaillé(e)s,메달리스트
NCB,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
NCB,C95,Medal Standings,Classement des médailles,메달 순위
NCB,C97,FIS Nordic Events Medal Standings,Classement des médailles - épreuves nordiques de la FIS,FIS 노르딕 종목 메달 랭킹
NCB,N02,Competition Format and Rules,Format et règlement des compétitions,경기방식 및 규정
NCB,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
NCB,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
NCB,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
NCB,N12,FIS Nordic Events Medals by NOC,Classement des médailles - épreuves nordiques de la FIS,NOC별 FIS 노르딕 종목 메달
NCB,N15A,FIS Nordic Events Multi-Medallists,Multimédaillé(e)s - épreuves nordiques de la FIS,FIS 노르딕 종목 멀티 메달리스트
NCB,N17A1,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
NCB,N17A2,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
NCB,N17B,Current FIS World Cup Standings,Classement actuel de la Coupe du monde FIS,현 FIS 월드컵 랭킹
NCB,N17C,Current FIS Nations Standings,Classement actuel de la Coupe du monde FIS des nations,현 FIS 나라별 랭킹
NCB,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
NCB,N24,NOC Profile,Profil du CNO,NOC 프로필
NCB,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
