Id,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
BAT,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca,Barra da Tijuca
COP,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana,Copacabana
DEO,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro,Deodoro
FBC,Football Cities,Football Cities,Cidades do Futebol,Ciudades del Fútbol,Football Cities,Football Cities,Cidades do Futebol,Ciudades del Fútbol
MRZ,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã
