Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
SW,M,431,0,8,Men's 100m Backstroke - S11,100m costas masculino - S11,100m espalda masculino - S11,Men's 100m Backstroke - S11,100m costas masculino - S11,100m espalda masculino - S11,"","",
SW,M,431,1,3,Men's 100m Backstroke - S11 Final,"100m costas masculino - S11, final","100m espalda masc - S11, final",Men's 100m Backstroke - S11 Final,"100m costas masculino - S11, final","100m espalda masculino - S11, final",Final,Final,Final
SW,M,431,9,3,Men's 100m Backstroke - S11 Heats,"100m costas masculino-S11, eliminatórias","100m espalda masc - S11, eliminatorias",Men's 100m Backstroke - S11 Heats,"100m costas masculino - S11, eliminatórias","100m espalda masculino - S11, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,431,M,6,Men's 100m Backstroke - S11 VC,"100m costas masculino-S11,cer. premiação","100m espalda masc - S11, cer. medallas",Men's 100m Backstroke - S11 Victory Ceremony,"100m costas masculino - S11, cerimônia de premiação","100m espalda masculino - S11, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,432,0,8,Men's 100m Backstroke - S12,100m costas masculino - S12,100m espalda masculino - S12,Men's 100m Backstroke - S12,100m costas masculino - S12,100m espalda masculino - S12,"","",
SW,M,432,1,3,Men's 100m Backstroke - S12 Final,"100m costas masculino - S12, final","100m espalda masc - S12, final",Men's 100m Backstroke - S12 Final,"100m costas masculino - S12, final","100m espalda masculino - S12, final",Final,Final,Final
SW,M,432,9,3,Men's 100m Backstroke - S12 Heats,"100m costas masculino-S12, eliminatórias","100m espalda masc - S12, eliminatorias",Men's 100m Backstroke - S12 Heats,"100m costas masculino - S12, eliminatórias","100m espalda masculino - S12, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,432,M,6,Men's 100m Backstroke - S12 VC,"100m costas masculino-S12,cer. premiação","100m espalda masc - S12, cer. medallas",Men's 100m Backstroke - S12 Victory Ceremony,"100m costas masculino - S12, cerimônia de premiação","100m espalda masculino - S12, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,433,0,8,Men's 100m Backstroke - S13,100m costas masculino - S13,100m espalda masculino - S13,Men's 100m Backstroke - S13,100m costas masculino - S13,100m espalda masculino - S13,"","",
SW,M,433,1,3,Men's 100m Backstroke - S13 Final,"100m costas masculino - S13, final","100m espalda masc - S13, final",Men's 100m Backstroke - S13 Final,"100m costas masculino - S13, final","100m espalda masculino - S13, final",Final,Final,Final
