Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
AR,0,000,0,8,Archery,Tiro com arco,Tiro con arco,Archery,Tiro com arco,Tiro con arco,,,
AR,0,000,N,7,Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",,,
AR,0,000,Q,4,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Tiro con arco - reunión cap. de equipo,Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Tiro con arco - reunión capitanes de equipo,,,
AR,0,000,Y,8,Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",,,
AR,0,070,Z,8,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,,,
AR,0,470,Z,8,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,,,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,
AR,M,000,0,8,Men's Archery,Tiro com arco masculino ,Tiro con arco masculino,Men's Archery,Tiro com arco masculino ,"Tiro con arco, masculino",,,
AR,M,071,0,8,Men's Individual - W1,Masculino - W1,Individual masculino - W1,Men's Individual - W1,Masculino - W1,Individual masculino - W1,,,
AR,M,071,1,3,Men's Individual - W1 Finals,"Masculino - W1, finais","Individual masculino - W1, finales",Men's Individual - W1 Finals,"Masculino - W1, finais","Individual masculino - W1, finales",Finals,Finais,Finales
AR,M,071,2,3,Men's Individual - W1 SF,"Masculino - W1, semifinais","Individual masculino - W1, semifinales",Men's Individual - W1 Semifinals,"Masculino - W1, semifinais","Individual masculino - W1, semifinales",Semifinals,Semifinais,Semifinales
AR,M,071,3,3,Men's Individual - W1 QF,"Masculino - W1, 1/4 final","Individual masculino - W1, 1/4 de final",Men's Individual - W1 Quarterfinals,"Masculino - W1, quartas de final","Individual masculino - W1, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,071,4,3,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final","Individual masculino - W1, 1/8 de final",Men's Individual - W1 1/8 Eliminations,"Masculino - W1, oitavas de final","Individual masculino - W1, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,071,5,3,Men's Individual - W1 1/16,"Masculino - W1, 1a fase","Individual masculino - W1, 1/16 de final",Men's Individual - W1 1/16 Eliminations,"Masculino - W1, primeira fase","Individual masculino - W1, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,071,9,3,Men's Individual - W1 RR,"Masculino - W1, classif","Individual masculino - W1, clasificación",Men's Individual - W1 Ranking Round,"Masculino - W1, classificatório","Individual masculino - W1,clasificación",Ranking Round,Classificatório,Clasificación
AR,M,071,M,6,Men's Individual - W1 VC,"Masculino - W1, premiação","Individual masculino - W1, cer. medallas",Men's Individual - W1 Victory Ceremony,"Masculino - W1, cerimônia de premiação","Individual masculino - W1, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,M,072,0,8,Men's Ind. Compound - Open,Arco composto masculino - aberto,Compuesto individual masculino - abierto,Men's Individual Compound - Open,Arco composto masculino - aberto,Compuesto individual masculino - abierto,"","",
AR,M,072,1,3,Men's Ind. Compound - Open Finals,"Arco composto masc - aberto, finais","Compuesto ind. masc - abierto, finales",Men's Individual Compound - Open Finals,"Arco composto masculino - aberto, finais","Compuesto individual masculino - abierto, finales",Finals,Finais,Finales
AR,M,072,2,3,Men's Ind. Compound - Open Semifinals,"Arco composto masc - aberto, semifinais","Compuesto ind. masc-abierto, semifinales",Men's Individual Compound - Open Semifinals,"Arco composto masculino - aberto, semifinais","Compuesto individual masculino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,M,072,3,3,Men's Ind. Compound - Open Quarterfinals,"Arco composto masc - aberto, 1/4 final","Compuesto ind. masc - abierto, 1/4 final",Men's Individual Compound - Open Quarterfinals,"Arco composto masculino - aberto, quartas de final","Compuesto individual masculino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,072,4,3,Men's Ind. Compound - Open 1/8 Elimin.,"Arco composto masc - aberto, 1/8 final","Compuesto ind. masc - abierto, 1/8 final",Men's Individual Compound - Open 1/8 Eliminations,"Arco composto masculino - aberto, oitavas de final","Compuesto individual masculino - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,072,5,3,Men's Ind. Compound - Open 1/16 Elimin.,"Arco composto masc - aberto, 1a fase","Compuesto ind. masc-abierto, 1/16 final",Men's Individual Compound - Open 1/16 Eliminations,"Arco composto masculino - aberto, primeira fase","Compuesto individual masculino - abierto, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,072,9,3,Men's Ind. Compound - Open Ranking Round,"Arco composto masc - aberto, classif","Compuesto ind. masc - abierto, clasif.",Men's Individual Compound - Open Ranking Round,"Arco composto masculino - aberto, classificatório","Compuesto individual masculino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,M,072,M,6,Men's Ind. Compound - Open VC,"Arco composto masc - aberto, premiação","Compuesto ind masc-abierto, cer medallas",Men's Individual Compound - Open Victory Ceremony,"Arco composto masculino - aberto, cerimônia de premiação","Compuesto individual masculino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,M,073,0,8,Men's Ind. Recurve - Open,Arco recurvo masculino - aberto,Recurvo individual masculino - abierto,Men's Individual Recurve - Open,Arco recurvo masculino - aberto,Recurvo individual masculino - abierto,"","",
AR,M,073,1,3,Men's Ind. Recurve - Open Finals,"Arco recurvo masc - aberto, finais","Recurvo ind. masc - abierto, finales",Men's Individual Recurve - Open Finals,"Arco recurvo masculino - aberto, finais","Recurvo individual masculino - abierto, finales",Finals,Finais,Finales
AR,M,073,2,3,Men's Ind. Recurve - Open Semifinals,"Arco recurvo masc - aberto, semifinais","Recurvo ind. masc - abierto, semifinales",Men's Individual Recurve - Open Semifinals,"Arco recurvo masculino - aberto, semifinais","Recurvo individual masculino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,M,073,3,3,Men's Ind. Recurve - Open Quarterfinals,"Arco recurvo masc - aberto, 1/4 final","Recurvo ind. masc - abierto, 1/4 final",Men's Individual Recurve - Open Quarterfinals,"Arco recurvo masculino - aberto, quartas de final","Recurvo individual masculino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,073,4,3,Men's Ind. Recurve - Open 1/8 Elimin.,"Arco recurvo masc - aberto, 1/8 final","Recurvo ind. masc - abierto, 1/8 final",Men's Individual Recurve - Open 1/8 Eliminations,"Arco recurvo masculino - aberto, oitavas de final","Recurvo individual masculino - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,073,5,3,Men's Ind. Recurve - Open 1/16 Elimin.,"Arco recurvo masc - aberto, 1a fase","Recurvo ind. masc - abierto, 1/16 final",Men's Individual Recurve - Open 1/16 Eliminations,"Arco recurvo masculino - aberto, primeira fase","Recurvo individual masculino - abierto, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,073,9,3,Men's Ind. Recurve - Open Ranking Round,"Arco recurvo masc - aberto, classif","Recurvo ind. masc - abierto, clasif.",Men's Individual Recurve - Open Ranking Round,"Arco recurvo masculino - aberto, classificatório","Recurvo individual masculino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,M,073,M,6,Men's Ind. Recurve - Open VC,"Arco recurvo masc - aberto, premiação","Recurvo ind masc - abierto, cer medallas",Men's Individual Recurve - Open Victory Ceremony,"Arco recurvo masculino - aberto, cerimônia de premiação","Recurvo individual masculino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,W,000,0,8,Women's Archery,Tiro com arco feminino,Tiro con arco femenino,Women's Archery,Tiro com arco feminino,Tiro con arco femenino,"","",
AR,W,071,0,8,Women's Individual - W1,Feminino - W1,Individual femenino - W1,Women's Individual - W1,Feminino - W1,Individual femenino - W1,"","",
AR,W,071,1,3,Women's Individual - W1 Fnals,"Feminino - W1, finais","Individual femenino - W1, finales",Women's Individual - W1 Finals,"Feminino - W1, finais","Individual femenino - W1, finales",Finals,Finais,Finales
AR,W,071,2,3,Women's Individual - W1 SF,"Feminino - W1, semifinais","Individual femenino - W1, semifinales",Women's Individual - W1 Semifinals,"Feminino - W1, semifinais","Individual femenino - W1, semifinales",Semifinals,Semifinais,Semifinales
AR,W,071,3,3,Women's Individual - W1 QF,"Feminino - W1, 1/4 final","Individual femenino - W1, 1/4 de final",Women's Individual - W1 Quarterfinals,"Feminino - W1, quartas de final","Individual femenino - W1, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,W,071,4,3,Women's Individual - W1 1/8,"Feminino - W1, 1/8 final","Individual femenino - W1, 1/8 de final",Women's Individual - W1 1/8 Eliminations,"Feminino - W1, oitavas de final","Individual femenino - W1, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,W,071,5,3,Women's Individual - W1 1/16,"Feminino - W1, 1a fase","Individual femenino - W1, 1/16 de final",Women's Individual - W1 1/16 Eliminations,"Feminino - W1, primeira fase","Individual femenino - W1, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,W,071,9,3,Women's Individual - W1 RR,"Feminino - W1, classif","Individual femenino - W1, clasificación",Women's Individual - W1 Ranking Round,"Feminino - W1, classificatório","Individual femenino - W1, clasificación",Ranking Round,Classificatório,Clasificación
AR,W,071,M,6,Women's Individual - W1 VC,"Feminino - W1, premiação","Individual femenino - W1, cer. medallas",Women's Individual - W1 Victory Ceremony,"Feminino - W1, cerimônia de premiação","Individual femenino - W1, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,W,072,0,8,Women's Ind. Compound - Open,Arco composto feminino - aberto,Compuesto individual femenino - abierto,Women's Individual Compound - Open,Arco composto feminino - aberto,Compuesto individual femenino - abierto,"","",
AR,W,072,1,3,Women's Ind. Compound - Open Finals,"Arco composto fem - aberto, finais","Compuesto ind. fem - abierto, finales",Women's Individual Compound - Open Finals,"Arco composto feminino - aberto, finais","Compuesto individual femenino - abierto, finales",Finals,Finais,Finales
AR,W,072,2,3,Women's Ind. Compound - Open Semifinals,"Arco composto fem - aberto, semifinais","Compuesto ind fem - abierto, semifinales",Women's Individual Compound - Open Semifinals,"Arco composto feminino - aberto, semifinais","Compuesto individual femenino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,W,072,3,3,Women's Ind. Compound - Open QF,"Arco composto fem - aberto, 1/4 final","Compuesto ind. fem - abierto, 1/4 final",Women's Individual Compound - Open Quarterfinals,"Arco composto feminino - aberto, quartas de final ","Compuesto individual femenino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,W,072,4,3,Women's Ind. Compound - Open 1/8 Elimin.,"Arco composto fem - aberto, 1/8 final","Compuesto ind. fem - abierto, 1/8 final",Women's Individual Compound - Open 1/8 Eliminations,"Arco composto feminino - aberto, oitavas de final","Compuesto individual femenino - abierto, octavos de final",Eliminations,Oitavas de final,Octavos de final
AR,W,072,9,3,Women's Ind. Compound - Open Ranking Rnd,"Arco composto fem - aberto, classif","Compuesto ind. fem - abierto, clasif.",Women's Individual Compound - Open Ranking Round,"Arco composto feminino - aberto, classificatório","Compuesto individual femenino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,W,072,M,6,Women's Ind. Compound - Open VC,"Arco composto fem - aberto, premiação","Compuesto ind fem-abierto, cer. medallas",Women's Individual Compound - Open Victory Ceremony,"Arco composto feminino - aberto, cerimônia de premiação","Compuesto individual femenino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,W,073,0,8,Women's Ind. Recurve - Open,Arco recurvo feminino - aberto,Recurvo individual femenino - abierto,Women's Individual Recurve - Open,Arco recurvo feminino - aberto,Recurvo individual femenino - abierto,"","",
AR,W,073,1,3,Women's Ind. Recurve - Open Finals,"Arco recurvo feminino - aberto, finais","Recurvo ind. fem - abierto, finales",Women's Individual Recurve - Open Finals,"Arco recurvo feminino - aberto, finais","Recurvo individual femenino - abierto, finales",Finals,Finais,Finales
AR,W,073,2,3,Women's Ind. Recurve - Open Semifinals,"Arco recurvo fem - aberto, semifinais","Recurvo ind. fem - abierto, semifinales",Women's Individual Recurve - Open Semifinals,"Arco recurvo feminino - aberto, semifinais","Recurvo individual femenino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,W,073,3,3,Women's Ind. Recurve - Open QF,"Arco recurvo fem - aberto, 1/4 final","Recurvo ind. fem - abierto, 1/4 final",Women's Individual Recurve - Open Quarterfinals,"Arco recurvo feminino - aberto, quartas de final","Recurvo individual femenino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,W,073,4,3,Women's Ind. Recurve - Open 1/8 Elimin.,"Arco recurvo fem - aberto, 1/8 final","Recurvo ind. fem - abierto, 1/8 final",Women's Individual Recurve - Open 1/8 Eliminations,"Arco recurvo feminino - aberto, oitavas de final","Recurvo individual femenino - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,W,073,5,3,Women's Ind. Recurve - Open 1/16 Elimin.,"Arco recurvo fem - aberto, 1a fase","Recurvo ind. fem - abierto, 1/16 final",Women's Individual Recurve - Open 1/16 Eliminations,"Arco recurvo feminino - aberto, primeira fase","Recurvo individual femenino - abierto, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,W,073,9,3,Women's Ind. Recurve - Open Ranking Rnd,"Arco recurvo fem - aberto, classif","Recurvo ind. fem - abierto, clasif.",Women's Individual Recurve - Open Ranking Round,"Arco recurvo feminino - aberto, classificatório","Recurvo individual femenino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,W,073,M,6,Women's Ind. Recurve - Open VC,"Arco recurvo fem - aberto, premiação","Recurvo ind fem - abierto, cer. medallas",Women's Individual Recurve - Open Victory Ceremony,"Arco recurvo feminino - aberto, cerimônia de premiação","Recurvo individual femenino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,X,000,0,8,Mixed Archery,Tiro com arco misto,Tiro con arco mixto,Mixed Archery,Tiro com arco misto,Tiro con arco mixto,"","",
AR,X,471,0,8,Mixed Team - W1,Equipe mista - W1,Equipo mixto - W1,Mixed Team - W1,Equipe mista - W1,Equipo mixto - W1,"","",
AR,X,471,1,3,Mixed Team - W1 Finals,"Equipe mista - W1, finais","Equipo mixto - W1, finales",Mixed Team - W1 Finals,"Equipe mista - W1, finais","Equipo mixto - W1, finales",Finals,Finais,Finales
AR,X,471,2,3,Mixed Team - W1 SF,"Equipe mista - W1, semifinais","Equipo mixto - W1, semifinales",Mixed Team - W1 Semifinals,"Equipe mista - W1, semifinais","Equipo mixto - W1, semifinales",Semifinals,Semifinais,Semifinales
AR,X,471,3,3,Mixed Team - W1 QF,"Equipe mista - W1, 1/4 final","Equipo mixto - W1, 1/4 de final",Mixed Team - W1 Quarterfinals,"Equipe mista - W1, quartas de final","Equipo mixto - W1, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,X,471,4,3,Mixed Team - W1 1/8,"Equipe mista - W1, 1/8 final","Equipo mixto - W1, 1/8 de final",Mixed Team - W1 1/8 Eliminations,"Equipe mista - W1, oitavas de final","Equipo mixto - W1, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,X,471,9,3,Mixed Team - W1 RR,"Equipe mista - W1, classif","Equipo mixto - W1, clasificación",Mixed Team - W1 Ranking Round,"Equipe mista - W1, classificatório","Equipo mixto - W1, clasificación",Ranking Round,Classificatório,Clasificación
AR,X,471,M,6,Mixed Team - W1 VC,"Equipe mista - W1, premiação","Equipo mixto - W1, cer. medallas",Mixed Team - W1 Victory Ceremony,"Equipe mista - W1, cerimônia de premiação","Equipo mixto - W1, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,X,472,0,8,Mixed Team Compound Open,Equipe mista arco composto - aberto,Equipo mixto compuesto - abierto,Mixed Team Compound Open,Equipe mista arco composto - aberto,Equipo mixto compuesto - abierto,"","",
AR,X,472,1,3,Mixed Team Compound Open Finals,"Eq mista arco composto - aberto, finais","Eq. mixto compuesto - abierto, finales",Mixed Team Compound Open Finals,"Equipe mista arco composto - aberto, finais","Equipo mixto compuesto - abierto, finales",Finals,Finais,Finales
AR,X,472,2,3,Mixed Team Compound Open Semifinals,"Eq mista arco composto-aberto,semifinais","Eq. mixto compuesto-abierto, semifinales",Mixed Team Compound Open Semifinals,"Equipe mista arco composto - aberto, semifinais","Equipo mixto compuesto - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,X,472,3,3,Mixed Team Compound Open Quarterfinals,"Eq mista arco composto-aberto, 1/4 final","Eq. mixto compuesto - abierto, 1/4 final",Mixed Team Compound Open Quarterfinals,"Equipe mista arco composto - aberto, quartas de final","Equipo mixto compuesto - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,X,472,4,3,Mixed Team Compound Open 1/8 Elimin.,"Eq mista arco composto-aberto, 1/8 final","Eq. mixto compuesto - abierto, 1/8 final",Mixed Team Compound Open 1/8 Eliminations,"Equipe mista arco composto - aberto, oitavas de final","Equipo mixto compuesto - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,X,472,9,3,Mixed Team Compound Open Ranking Round,"Eq mista arco composto - aberto, classif","Eq. mixto compuesto - abierto, clasif.",Mixed Team Compound Open Ranking Round,"Equipe mista arco composto - aberto, classificatório","Equipo mixto compuesto - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,X,472,M,6,Mixed Team Compound Open VC,"Eq mista arco composto-aberto, premiação","Eq mixto compuesto-abierto, cer medallas",Mixed Team Compound Open Victory Ceremony,"Equipe mista arco composto - aberto, cerimônia de premiação","Equipo mixto compuesto - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,X,473,0,8,Mixed Team Recurve Open,Equipe mista arco recurvo - aberto,Equipo mixto recurvo - abierto,Mixed Team Recurve Open,Equipe mista arco recurvo - aberto,Equipo mixto recurvo - abierto,"","",
AR,X,473,1,3,Mixed Team Recurve Open Finals,"Eq mista arco recurvo - aberto, finais","Eq. mixto recurvo - abierto, finales",Mixed Team Recurve Open Finals,"Equipe mista arco recurvo - aberto, finais","Equipo mixto recurvo - abierto, finales",Finals,Finais,Finales
AR,X,473,2,3,Mixed Team Recurve Open Semifinals,"Eq mista arco recurvo-aberto, semifinais","Eq. mixto recurvo - abierto, semifinales",Mixed Team Recurve Open Semifinals,"Equipe mista arco recurvo - aberto, semifinais","Equipo mixto recurvo - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,X,473,3,3,Mixed Team Recurve Open Quarterfinals,"Eq mista arco recurvo-aberto, 1/4 final","Eq. mixto recurvo - abierto, 1/4 final",Mixed Team Recurve Open Quarterfinals,"Equipe mista arco recurvo - aberto, quartas de final","Equipo mixto recurvo - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,X,473,4,3,Mixed Team Recurve Open 1/8 Eliminations,"Eq mista arco recurvo-aberto, 1/8 final","Eq. mixto recurvo - abierto, 1/8 final",Mixed Team Recurve Open 1/8 Eliminations,"Equipe mista arco recurvo - aberto, oitavas de final","Equipo mixto recurvo - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,X,473,9,3,Mixed Team Recurve Open Ranking Round,"Eq mista arco recurvo-aberto, classif","Eq. mixto recurvo - abierto, clasif.",Mixed Team Recurve Open Ranking Round,"Equipe mista arco recurvo - aberto, classificatório","Equipo mixto recurvo - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,X,473,M,6,Mixed Team Recurve Open VC,"Eq mista arco recurvo-aberto, premiação","Eq mixto recurvo - abierto, cer medallas",Mixed Team Recurve Open Victory Ceremony,"Equipe mista arco recurvo - aberto, cerimônia de premiação","Equipo mixto recurvo - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AT,0,000,0,8,Athletics,Atletismo,Atletismo,Athletics,Atletismo,Atletismo,,,
AT,0,000,Y,8,Athletics Daily Schedule,"Atletismo, programação diária","Atletismo, programa diario",Athletics Daily Schedule,"Atletismo, programação diária","Atletismo, programa diario",,,
AT,0,FTC,0,8,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,,,
AT,0,OLS,0,8,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,,,
AT,M,000,0,8,Men's Athletics,Atletismo masculino,Atletismo masculino,Men's Athletics,Atletismo masculino,Atletismo masculino,,,
AT,M,111,0,8,Men's 100m - T11,100m rasos masculino - T11,100m masculino - T11,Men's 100m - T11,100m rasos masculino - T11,100m masculino - T11,"","",
AT,M,111,1,3,Men's 100m - T11 Final,"100m masculino - T11, final","100m masculino - T11, final",Men's 100m - T11 Final,"100m rasos masculino - T11, final","100m masculino - T11, final",Final,Final,Final
AT,M,111,2,3,Men's 100m - T11 Semifinals,"100m masculino - T11, semifinais","100m masculino - T11, semifinales",Men's 100m - T11 Semifinals,"100m rasos masculino - T11, semifinais","100m masculino - T11, semifinales",Semifinals,Semifinais,Semifinales
AT,M,111,9,3,Men's 100m - T11 Round 1,"100m masculino - T11, primeira fase","100m masculino - T11, 1a ronda",Men's 100m - T11 Round 1,"100m rasos masculino - T11, primeira fase","100m masculino - T11, 1a ronda",Round 1,Primeira fase,1a ronda
AT,M,111,M,6,Men's 100m - T11 VC,"100m masculino - T11, cer. premiação","100m masculino - T11, cer. medallas",Men's 100m - T11 Victory Ceremony,"100m rasos masculino - T11, cerimônia de premiação","100m masculino - T11, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AT,M,111,N,7,Men's 100m - T11 Draw,"100m masculino - T11, sorteio","100m masculino - T11, sorteo",Men's 100m - T11 Draw,"100m rasos masculino - T11, sorteio","100m masculino - T11, sorteo",Draw,Sorteio,Sorteo
AT,M,112,0,8,Men's 100m - T12,100m rasos masculino - T12,100m masculino - T12,Men's 100m - T12,100m rasos masculino - T12,100m masculino - T12,"","",
AT,M,112,1,3,Men's 100m - T12 Final,"100m masculino - T12, final","100m masculino - T12, final",Men's 100m - T12 Final,"100m rasos masculino - T12, final","100m masculino - T12, final",Final,Final,Final
AT,M,112,2,3,Men's 100m - T12 Semifinals,"100m masculino - T12, semifinais","100m masculino - T12, semifinales",Men's 100m - T12 Semifinals,"100m rasos masculino - T12, semifinais","100m masculino - T12, semifinales",Semifinals,Semifinais,Semifinales
AT,M,112,9,3,Men's 100m - T12 Round 1,"100m masculino - T12, primeira fase","100m masculino - T12, 1a ronda",Men's 100m - T12 Round 1,"100m rasos masculino - T12, primeira fase","100m masculino - T12, 1a ronda",Round 1,Primeira fase,1a ronda
AT,M,112,M,6,Men's 100m - T12 VC,"100m masculino - T12, cer. premiação","100m masculino - T12, cer. medallas",Men's 100m - T12 Victory Ceremony,"100m rasos masculino - T12, cerimônia de premiação","100m masculino - T12, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AT,M,112,N,7,Men's 100m - T12 Draw,"100m masculino - T12, sorteio","100m masculino - T12, sorteo",Men's 100m - T12 Draw,"100m rasos masculino - T12, sorteio","100m masculino - T12, sorteo",Draw,Sorteio,Sorteo
AT,M,113,0,8,Men's 100m - T13,100m rasos masculino - T13,100m masculino - T13,Men's 100m - T13,100m rasos masculino - T13,100m masculino - T13,"","",
AT,M,113,1,3,Men's 100m - T13 Final,"100m masculino - T13, final","100m masculino - T13, final",Men's 100m - T13 Final,"100m rasos masculino - T13, final","100m masculino - T13, final",Final,Final,Final
AT,M,113,2,3,Men's 100m - T13 Semifinals,"100m masculino - T13, semifinais","100m masculino - T13, semifinales",Men's 100m - T13 Semifinals,"100m rasos masculino - T13, semifinais","100m masculino - T13, semifinales",Semifinals,Semifinais,Semifinales
AT,M,113,9,3,Men's 100m - T13 Round 1,"100m masculino - T13, primeira fase","100m masculino - T13, 1a ronda",Men's 100m - T13 Round 1,"100m rasos masculino - T13, primeira fase","100m masculino - T13, 1a ronda",Round 1,Primeira fase,1a ronda
AT,M,113,M,6,Men's 100m - T13 VC,"100m masculino - T13, cer. premiação","100m masculino - T13, cer. medallas",Men's 100m - T13 Victory Ceremony,"100m rasos masculino - T13, cerimônia de premiação","100m masculino - T13, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AT,M,113,N,7,Men's 100m - T13 Draw,"100m masculino - T13, sorteio","100m masculino - T13, sorteo",Men's 100m - T13 Draw,"100m rasos masculino - T13, sorteio","100m masculino - T13, sorteo",Draw,Sorteio,Sorteo
AT,M,133,0,8,Men's 100m - T33,100m rasos masculino - T33,100m masculino - T33,Men's 100m - T33,100m rasos masculino - T33,100m masculino - T33,"","",
AT,M,133,1,3,Men's 100m - T33 Final,"100m masculino - T33, final","100m masculino - T33, final",Men's 100m - T33 Final,"100m rasos masculino - T33, final","100m masculino - T33, final",Final,Final,Final
AT,M,133,2,3,Men's 100m - T33 Semifinals,"100m masculino - T33, semifinais","100m masculino - T33, semifinales",Men's 100m - T33 Semifinals,"100m rasos masculino - T33, semifinais","100m masculino - T33, semifinales",Semifinals,Semifinais,Semifinales
AT,M,133,9,3,Men's 100m - T33 Round 1,"100m masculino - T33, primeira fase","100m masculino - T33, 1a ronda",Men's 100m - T33 Round 1,"100m rasos masculino - T33, primeira fase","100m masculino - T33, 1a ronda",Round 1,Primeira fase,1a ronda
AT,M,133,M,6,Men's 100m - T33 VC,"100m masculino - T33, cer. premiação","100m masculino - T33, cer. medallas",Men's 100m - T33 Victory Ceremony,"100m rasos masculino - T33, cerimônia de premiação","100m masculino - T33, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AT,M,133,N,7,Men's 100m - T33 Draw,"100m masculino - T33, sorteio","100m masculino - T33, sorteo",Men's 100m - T33 Draw,"100m rasos masculino - T33, sorteio","100m masculino - T33, sorteo",Draw,Sorteio,Sorteo
AT,M,134,0,8,Men's 100m - T34,100m rasos masculino - T34,100m masculino - T34,Men's 100m - T34,100m rasos masculino - T34,100m masculino - T34,"","",
AT,M,134,1,3,Men's 100m - T34 Final,"100m masculino - T34, final","100m masculino - T34, final",Men's 100m - T34 Final,"100m rasos masculino - T34, final","100m masculino - T34, final",Final,Final,Final
AT,M,134,2,3,Men's 100m - T34 Semifinals,"100m masculino - T34, semifinais","100m masculino - T34, semifinales",Men's 100m - T34 Semifinals,"100m rasos masculino - T34, semifinais","100m masculino - T34, semifinales",Semifinals,Semifinais,Semifinales
AT,M,134,9,3,Men's 100m - T34 Round 1,"100m masculino - T34, primeira fase","100m masculino - T34, 1a ronda",Men's 100m - T34 Round 1,"100m rasos masculino - T34, primeira fase","100m masculino - T34, 1a ronda",Round 1,Primeira fase,1a ronda
