Id,ENG Description,FRA Description,POR Description,SPA Description
GD,Gelding,Hongre,Macho Castrado,Caballocastrado
MA,Mare,Jument,Égua,Yegua
ST,Stallion,Étalon,Garanhão,Garañón
UN,Unknown,Inconnu,Desconhecido,Desconocido
