Id,Related Event,order,ENG Description,POR Description,SPA Description
SWM302000,SWM302,80,Men's 50m Breaststroke - SB2,50m peito masculino - SB2,50m braza masculino - SB2
SWM303000,SWM303,81,Men's 50m Breaststroke - SB3,50m peito masculino - SB3,50m braza masculino - SB3
SWM304000,SWM324,82,Men's 50m Breaststroke - SB4,50m peito masculino - SB4,50m braza masculino - SB4
SWM305000,SWM325,83,Men's 50m Breaststroke - SB5,50m peito masculino - SB5,50m braza masculino - SB5
SWM306000,SWM326,84,Men's 50m Breaststroke - SB6,50m peito masculino - SB6,50m braza masculino - SB6
SWM307000,SWM327,85,Men's 50m Breaststroke - SB7,50m peito masculino - SB7,50m braza masculino - SB7
SWM308000,SWM328,86,Men's 50m Breaststroke - SB8,50m peito masculino - SB8,50m braza masculino - SB8
SWM309000,SWM329,87,Men's 50m Breaststroke - SB9,50m peito masculino - SB9,50m braza masculino - SB9
SWM311000,SWM331,88,Men's 50m Breaststroke - SB11,50m peito masculino - SB11,50m braza masculino - SB11
SWM312000,SWM332,89,Men's 50m Breaststroke - SB12,50m peito masculino - SB12,50m braza masculino - SB12
SWM313000,SWM333,90,Men's 50m Breaststroke - SB13,50m peito masculino - SB13,50m braza masculino - SB13
SWM321000,SWM000,91,Men's 100m Breaststroke - SB1,100m peito masculino - SB1,100m braza masculino - SB1
SWM322000,SWM000,92,Men's 100m Breaststroke - SB2,100m peito masculino - SB2,100m braza masculino - SB2
SWM323000,SWM000,93,Men's 100m Breaststroke - SB3,100m peito masculino - SB3,100m braza masculino - SB3
SWM324000,SWM324,94,Men's 100m Breaststroke - SB4,100m peito masculino - SB4,100m braza masculino - SB4
SWM325000,SWM325,95,Men's 100m Breaststroke - SB5,100m peito masculino - SB5,100m braza masculino - SB5
SWM326000,SWM326,96,Men's 100m Breaststroke - SB6,100m peito masculino - SB6,100m braza masculino - SB6
SWM327000,SWM327,97,Men's 100m Breaststroke - SB7,100m peito masculino - SB7,100m braza masculino - SB7
SWM328000,SWM328,98,Men's 100m Breaststroke - SB8,100m peito masculino - SB8,100m braza masculino - SB8
SWM329000,SWM329,99,Men's 100m Breaststroke - SB9,100m peito masculino - SB9,100m braza masculino - SB9
