Id,Related Event,order,ENG Description,POR Description,SPA Description
SWW541000,SWW000,270,Women's 150m Individual Medley - SM1,150m medley feminino - SM1,150m combinado individual fem - SM1
SWW542000,SWW000,271,Women's 150m Individual Medley - SM2,150m medley feminino - SM2,150m combinado individual fem - SM2
SWW543000,SWW000,272,Women's 150m Individual Medley - SM3,150m medley feminino - SM3,150m combinado individual fem - SM3
SWW544000,SWW544,273,Women's 150m Individual Medley - SM4,150m medley feminino - SM4,150m combinado individual fem - SM4
SWW563000,SWW000,274,Women's 200m Individual Medley - SM3,200m medley feminino - SM3,200m combinado individual fem - SM3
SWW564000,SWW000,275,Women's 200m Individual Medley - SM4,200m medley feminino - SM4,200m combinado individual fem - SM4
SWW565000,SWW565,276,Women's 200m Individual Medley - SM5,200m medley feminino - SM5,200m combinado individual fem - SM5
SWW566000,SWW566,277,Women's 200m Individual Medley - SM6,200m medley feminino - SM6,200m combinado individual fem - SM6
SWW567000,SWW567,278,Women's 200m Individual Medley - SM7,200m medley feminino - SM7,200m combinado individual fem - SM7
SWW568000,SWW568,279,Women's 200m Individual Medley - SM8,200m medley feminino - SM8,200m combinado individual fem - SM8
SWW569000,SWW569,280,Women's 200m Individual Medley - SM9,200m medley feminino - SM9,200m combinado individual fem - SM9
SWW570000,SWW570,281,Women's 200m Individual Medley - SM10,200m medley feminino - SM10,200m combinado individual fem - SM10
SWW571000,SWW571,282,Women's 200m Individual Medley - SM11,200m medley feminino - SM11,200m combinado individual fem - SM11
SWW572000,SWW000,283,Women's 200m Individual Medley - SM12,200m medley feminino - SM12,200m combinado individual fem - SM12
SWW573000,SWW573,284,Women's 200m Individual Medley - SM13,200m medley feminino - SM13,200m combinado individual fem - SM13
SWW574000,SWW574,285,Women's 200m Individual Medley - SM14,200m medley feminino - SM14,200m combinado individual fem - SM14
SWW712000,SWW712,286,Women's 4x100m Freestyle Relay - 34 Pts,Revezamento 4x100m livre fem - 34 pontos,4x100m estilo libre femenino - 34 puntos
SWW752000,SWW752,287,Women's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley fem- 34 pontos,4x100m combinado femenino - 34 puntos
SWX611000,SWX611,288,Mixed 4x50m Freestyle Relay - 20 Points,Revezamento 4x50m livre misto-20 pontos,4x50m estilo libre mixto - 20 puntos
