Id,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription
CER,Ceremonies Facts,Fatos das Cerimônias,Hechos de las Ceremonias,Ceremonies Facts,Fatos das Cerimônias,Hechos de las Ceremonias
FCT,Facts,Fatos,Hechos,Facts,Fatos,Hechos
MDL,Past Medallists,Medalhistas Históricos,Medallistas anteriores,Past Medallists,Medalhistas Históricos,Medallistas anteriores
PRE,Past Results,Resultados Históricos,Resultados anteriores,Past Results,Resultados Históricos,Resultados anteriores
