Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
BV2,BV2,,N,Barra ACM Village 2,Vila de ACM da Barra 2,Villa de Acom. Barra 2,Barra Accommodation Village 2,Vila de Acomodações da Barra 2,Villa de Acomodaciones de Barra 2,
BV3,BV3,,N,Barra ACM Village 3,Vila de ACM da Barra 3,Villa de Acom. Barra 3,Barra Accommodation Village 3,Vila de Acomodações da Barra 3,Villa de Acomodaciones de Barra 3,
BZS,BZS,,N,Bezerrão Stadium,Estádio Bezerrão,Estadio Bezerrão,Bezerrão Stadium (Brasília),Estádio Bezerrão (Brasília),Estadio Bezerrão (Brasília),
CA1,CA1,,Y,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,
CA2,CA2,,Y,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,Carioca Arena 2,Arena Carioca 2,Arena Carioca 2,CA2BO1
CA3,CA3,,Y,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,Carioca Arena 3,Arena Carioca 3,Arena Carioca 3,CA3JU1
CAS,CAS,,N,Cidade das Artes,Cidade das Artes,Ciudad de las Artes,Cidade das Artes,Cidade das Artes,Ciudad de las Artes,
CF1,LAG,1,Y,Lagoa Stadium - Canoe Sprint,Estádio da Lagoa - CS,Estadio de Lagoa - CF,Lagoa Stadium - Canoe Sprint,Estádio da Lagoa - Canoagem Velocidade,Estadio de Lagoa - CF,LAGCF1
CF2,LAG,,N,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,
CF3,LAG,,N,Lagoa Stadium-Canoe Trn Course,Lagoa Stadium-Canoe Trn Course,Lagoa Stadium-Canoe Trn Course,Lagoa Stadium - Canoe Trn Course,Lagoa Stadium - Canoe Trn Course,Lagoa Stadium - Canoe Trn Course,
