Id,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
OF3,N,Dragon Valley Hotel,드래곤밸리 호텔,Dragon Valley Hotel,드래곤밸리 호텔,,PYE,PyeongChang
OF4,N,Kensington Flora Hotel,켄싱턴 플로라 호텔,Kensington Flora Hotel,켄싱턴 플로라 호텔,,PYE,PyeongChang
OF5,N,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,Gangneung Lakai Sandpine Resort,강릉 라카이샌드파인 리조트,,GNG,Gangneung 
OFH,N,InterContinental Hotel,인터컨티넨탈 호텔,InterContinental Hotel,인터컨티넨탈 호텔,,PYE,PyeongChang
OHC,N,Olympic Hospitality Club,알펜시아 트룬 골프&컨트리 클럽하우스,Olympic Hospitality Club,알펜시아 트룬 골프&컨트리 클럽하우스,,PYE,PyeongChang
PDC,N,Primary Data Centre,주 데이터센터,Primary Data Centre,주 데이터센터,,,
POP,N,PyeongChang Olympic Plaza,평창 올림픽 플라자,PyeongChang Olympic Plaza,평창 올림픽 플라자,,PYE,PyeongChang
POS,N,PyeongChang Olympic Stad.,평창 올림픽 스타디움,PyeongChang Olympic Stadium,평창 올림픽 스타디움,,PYE,PyeongChang
PVL,N,Pyeongchang Olympic Vill.,평창 올림픽 선수촌,Pyeongchang Olympic Village,평창 올림픽 선수촌,,PYE,PyeongChang
SDC,N,Secondary Data Centre,보조 데이터센터,Secondary Data Centre,보조 데이터센터,,SEO,Seoul
SEV,N,Severance Hospital,세브란스병원,Severance Hospital,세브란스병원,,SEO,Seoul
STO,N,Seoul Ticketing Outlet,서울 입장권판매점,Seoul Ticketing Outlet,서울 입장권판매점,,SEO,Seoul
STT,N,Gangeung Yeongdong U. Gym,강릉영동 쇼트트랙 연습경기장,Gangeung Yeongdong Short Track Training Venue,강릉영동 쇼트트랙 연습경기장,,GNG,Gangneung 
SUS,N,Seoul Station,서울역,Seoul Station,서울역,,SEO,Seoul
THG,N,Gangneung Transport Hub,강릉 수송허브,Gangneung Transport Hub,강릉 수송허브,,GNG,Gangneung 
THJ,N,Jinbu Transport hub,진부 수송허브,Jinbu Transport hub,진부 수송허브,,PYE,PyeongChang
TOC,N,Tech Operations Centre,기술운영센터,Main Technology Operations Centre,기술운영센터,,GNG,Gangneung 
TSD,N,Technology Service Desk,정보통신 서비스데스크,Technology Service Desk,정보통신 서비스데스크,,GNG,Gangneung 
WSC,N,Wonju Severance Hospital,원주세브란스기독병원,Wonju Severance Christian Hospital,원주세브란스기독병원,,PYE,PyeongChang
YAL,Y,Yongpyong Alpine Centre,용평 알파인 경기장,Yongpyong Alpine Centre,용평 알파인 경기장,,PYE,PyeongChang
YNY,N,YangYang Int’l Airport,양양국제공항,YangYang International Airport,양양국제공항,,GNG,Gangneung 
