Id,ENG Description,KOR Description
cmp,Compact,KOR
f-g,Fine grained,KOR
grn,Granular,KOR
hrd,Hard,KOR
hrd-p,Hard packed,KOR
hrd-p-v,Hard packed variable,KOR
icy,Icy,KOR
p,Packed,KOR
ppwd,Packed powder,KOR
pwd,Powder,KOR
sft,Soft,KOR
sp-c,Spring conditions,KOR
wt,Wet,KOR
wt-pwd,Wet & powder,KOR
nor,Normal,KOR
bet,Better,KOR
bad,Bad,KOR
