Id,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
CEN,Ceremonies News,Actualités des Cérémonies,Notícias das cerimônias,Noticias de las Ceremonias,Ceremonies News,Actualités des Cérémonies,Notícias das cerimônias,Noticias de las Ceremonias
FL,Flag Bearers,Porte-drapeaux,Porta-bandeiras,Abanderados,Flag Bearers,Porte-drapeaux,Porta-bandeiras,Abanderados
FQ,Flash Quotes,Dernières déclarations,Últimas declarações,Declaraciones de última hora,Flash Quotes,Dernières déclarations,Últimas declarações,Declaraciones de última hora
MCH,Press Conference Highlights,Meilleurs moments-Conf. presse,Melhores moment.-col. imprensa,Mejores momentos-conf. prensa,Press Conference Highlights,Meilleurs moments - Conférence de presse,Melhores momentos - coletiva de imprensa,Mejores momentos - conferencia de prensa
OPC,Open and Closing Ceremonies,Cérémonies ouverture clôture,Cerimônias abertura encerram.,Cerem. inauguración clausura,Open and Closing Ceremonies,Cérémonies d'ouverture et clôture,Cerimônias de abertura e encerramento,Ceremonias de inauguración y clausura
PRE,Medals Presenters,Présentateurs de médailles,Apresentadores de medalhas,Presentadores de medallas,Medals Presenters,Présentateurs de médailles,Apresentadores de medalhas,Presentadores de medallas
TAN,Transport Announcements,Annonces de transport,Anúncios de transporte,Anuncios de transporte,Transport Announcements,Annonces de transport,Anúncios de transporte,Anuncios de transporte
