Id,ENG Description,FRA Description,POR Description,SPA Description
CLF,Common Law / De Facto,Concubinage,Concubinato,Unión de hecho
DIV,Divorced,Divorcé(e),Divorciado,Divorciado
MAR,Married,Marié(e),Casado,Casado
SIN,Single,Célibataire,Solteiro,Soltero
WID,Widowed,Veuf/veuve,Viúvo,Viudo
