Id,ENG Description,FRA Description,POR Description,SPA Description
AFT,Afternoon,Après-midi,Tarde,Tarde
ALL,All Day,Toute la journée,Dia inteiro,Todo el día
EAF,Early Afternoon,Début d'après-midi,Início da tarde,Primera hora tarde
EVE,Evening,Soirée,Noite,Noche
LAF,Late Afternoon,Fin d'après-midi,Final da tarde,Última hora tarde
MOR,Morning,Matin,Manhã,Mañana
