Id,ENG Description,FRA Description,POR Description
CLF,Common Law / De Facto,Concubinage,Concubinato
DIV,Divorced,Divorcé(e),Divorciado
MAR,Married,Marié(e),Casado
SIN,Single,Célibataire,Solteiro
WID,Widowed,Veuf/veuve,Viúvo
