Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AT,M,611,1,3,Men's Discus Throw - F11 Final,"Lançamento disco masc - F11, final",Men's Discus Throw - F11 Final,"Lançamento do disco masculino - F11, final",Final,Final
AT,M,611,9,3,Men's Discus Throw - F11 Qualifying,"Lançamento disco masc - F11, class",Men's Discus Throw - F11 Qualifying,"Lançamento do disco masculino - F11, classificatórias",Qualifying,Classificatória
AT,M,611,M,6,Men's Discus Throw - F11 VC,"Lançamento disco masc - F11, premiação",Men's Discus Throw - F11 Victory Ceremony,"Lançamento do disco masculino - F11, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,611,N,7,Men's Discus Throw - F11 Draw,"Lançamento disco masc - F11, sorteio",Men's Discus Throw - F11 Draw,"Lançamento do disco masculino - F11, sorteio",Draw,Sorteio
AT,M,620,0,8,Men's Discus Throw - F57/58,Lançamento disco masc - F57/58,Men's Discus Throw - F57/58,Lançamento do disco masculino - F57/58,"",""
AT,M,620,1,3,Men's Discus Throw - F57/58 Final,"Lançamento disco masc - F57/58, final",Men's Discus Throw - F57/58 Final,"Lançamento do disco masculino - F57/58, final",Final,Final
AT,M,620,9,3,Men's Discus Throw - F57/58 Qualifying,"Lançamento disco masc - F57/58, class",Men's Discus Throw - F57/58 Qualifying,"Lançamento do disco masculino - F57/58, classificatórias",Qualifying,Classificatória
AT,M,620,M,6,Men's Discus Throw - F57/58 VC,"Lançamento disco masc - F57/58,premiação",Men's Discus Throw - F57/58 Victory Ceremony,"Lançamento do disco masculino - F57/58, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,620,N,7,Men's Discus Throw - F57/58 Draw,"Lançamento disco masc - F57/58, sorteio",Men's Discus Throw - F57/58 Draw,"Lançamento do disco masculino - F57/58, sorteio",Draw,Sorteio
AT,M,640,0,8,Men's Discus Throw - F40,Lançamento disco masc - F40,Men's Discus Throw - F40,Lançamento do disco masculino - F40,"",""
AT,M,640,1,3,Men's Discus Throw - F40 Final,"Lançamento disco masc - F40, final",Men's Discus Throw - F40 Final,"Lançamento do disco masculino - F40, final ",Final,Final
AT,M,640,9,3,Men's Discus Throw - F40 Qualifying,"Lançamento disco masc - F40, class",Men's Discus Throw - F40 Qualifying,"Lançamento do disco masculino - F40, classificatórias",Qualifying,Classificatória
AT,M,640,M,6,Men's Discus Throw - F40 VC,"Lançamento disco masc - F40, premiação",Men's Discus Throw - F40 Victory Ceremony,"Lançamento do disco masculino - F40, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
