Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AR,0,000,0,8,Archery,Tiro com arco,Archery,Tiro com arco,,
AR,0,000,N,7,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, programação diária",,
AR,0,000,Q,4,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",,
AR,0,000,Y,8,Archery Daily Schedule,"Tiro com arco, programação diária",Archery Daily Schedule,"Tiro com arco, programação diária",,
AR,0,070,Z,8,Archery Individual - Sessions,"Tiro com arco, indiv, calendário sessões",Archery Individual - Sessions,"Tiro com arco, evento individual, calendário de sessões",,
AR,0,470,Z,8,Archery Team - Sessions,"Tiro com arco equipes,calendário sessões",Archery Team - Sessions,"Tiro com arco por equipes, calendário de sessões",,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,
AR,M,000,0,8,Men's Archery,Tiro com arco masculino ,Men's Archery,Tiro com arco masculino ,,
AR,M,071,0,8,Men's Ind. Recurve/Compound - W1,Arco recurvo/composto masculino - W1,Men's Individual Recurve/Compound - W1,Arco recurvo/composto masculino - W1,,
AR,M,071,1,3,Men's Ind. Recurve/Compound - W1 Finals,"Arco recurvo/composto masc - W1, finais",Men's Individual Recurve/Compound - W1 Finals,"Arco recurvo/composto masculino - W1, finais",Finals,Finais
AR,M,071,2,3,Men's Ind. Recurve/Compound - W1 SF,"Arco recurvo/composto masc-W1, semifinal",Men's Individual Recurve/Compound - W1 Semifinals,"Arco recurvo/composto masculino - W1, semifinal",Semifinals,Semifinais
AR,M,071,3,3,Men's Ind. Recurve/Compound - W1 QF,"Arco recurvo/composto masc-W1, quartas",Men's Individual Recurve/Compound - W1 Quarterfinals,"Arco recurvo/composto masculino - W1, quartas de final",Quarterfinals,Quartas de finais
AR,M,071,4,3,Men's Ind. Recurve/Compound - W1 1/8,"Arco recurvo/composto masc-W1, oitavas",Men's Individual Recurve/Compound - W1 1/8 Eliminations,"Arco recurvo/composto masculino - W1, oitavas de final",1/8 Eliminations,Oitavas de final
AR,M,071,5,3,Men's Ind. Recurve/Compound - W1 1/16,"Arco recurvo/composto masc-W1, primeira",Men's Individual Recurve/Compound - W1 1/16 Eliminations,"Arco recurvo/composto masculino - W1, primeira fase",1/16 Eliminations,Primeira fase
AR,M,071,9,3,Men's Ind. Recurve/Compound - W1 RR,"Arco recurvo/composto masc-W1, classific",Men's Individual Recurve/Compound - W1 Ranking Round,"Arco recurvo/composto masculino - W1, classificatório",Ranking Round,Classificatório
AR,M,071,M,6,Men's Ind. Recurve/Compound - W1 VC,"Arco recurvo/composto masc-W1, premiação",Men's Individual Recurve/Compound - W1 Victory Ceremony,"Arco recurvo/composto masculino - W1, cerimônia de premiação","",""
AR,M,072,0,8,Men's Ind. Compound - Open,Arco composto masculino - aberto,Men's Individual Compound - Open,Arco composto masculino - aberto,"",""
AR,M,072,1,3,Men's Ind. Compound - Open Finals,"Arco composto masc - aberto, finais",Men's Individual Compound - Open Finals,"Arco composto masculino - aberto, finais",Finals,Finais
AR,M,072,2,3,Men's Ind. Compound - Open Semifinals,"Arco composto masc - aberto, semifinais",Men's Individual Compound - Open Semifinals,"Arco composto masculino - aberto, semifinais",Semifinals,Semifinais
AR,M,072,3,3,Men's Ind. Compound - Open Quarterfinals,"Arco composto masc - aberto, quartas",Men's Individual Compound - Open Quarterfinals,"Arco composto masculino - aberto, quartas de final",Quarterfinals,Quartas de finais
AR,M,072,4,3,Men's Ind. Compound - Open 1/8 Elimin.,"Arco composto masc - aberto, oitavas",Men's Individual Compound - Open 1/8 Eliminations,"Arco composto masculino - aberto, oitavas de final",1/8 Eliminations,Oitavas de final
AR,M,072,5,3,Men's Ind. Compound - Open 1/16 Elimin.,"Arco composto masc - aberto, primeira",Men's Individual Compound - Open 1/16 Eliminations,"Arco composto masculino - aberto, primeira fase",1/16 Eliminations,Primeira fase
AR,M,072,9,3,Men's Ind. Compound - Open Ranking Round,"Arco composto masc - aberto, classificat",Men's Individual Compound - Open Ranking Round,"Arco composto masculino - aberto, classificatório",Ranking Round,Classificatório
AR,M,072,M,6,Men's Ind. Compound - Open VC,"Arco composto masc - aberto, premiação",Men's Individual Compound - Open Victory Ceremony,"Arco composto masculino - aberto, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AR,M,073,0,8,Men's Ind. Recurve - Open,Arco recurvo masculino - W1,Men's Individual Recurve - Open,Arco recurvo masculino - W1,"",""
AR,M,073,1,3,Men's Ind. Recurve - Open Finals,"Arco recurvo masculino - W1, finais",Men's Individual Recurve - Open Finals,"Arco recurvo masculino - W1, finais",Finals,Finais
AR,M,073,2,3,Men's Ind. Recurve - Open Semifinals,"Arco recurvo masc - W1, semifinal",Men's Individual Recurve - Open Semifinals,"Arco recurvo masculino - W1, semifinal",Semifinals,Semifinais
AR,M,073,3,3,Men's Ind. Recurve - Open Quarterfinals,"Arco recurvo masc - W1, quartas de final",Men's Individual Recurve - Open Quarterfinals,"Arco recurvo masculino - W1, quartas de final",Quarterfinals,Quartas de finais
AR,M,073,4,3,Men's Ind. Recurve - Open 1/8 Elimin.,"Arco recurvo masc - W1, oitavas de final",Men's Individual Recurve - Open 1/8 Eliminations,"Arco recurvo masculino - W1, oitavas de final",1/8 Eliminations,Oitavas de final
AR,M,073,5,3,Men's Ind. Recurve - Open 1/16 Elimin.,"Arco recurvo masc - W1, primeira fase",Men's Individual Recurve - Open 1/16 Eliminations,"Arco recurvo masculino - W1, primeira fase",1/16 Eliminations,Primeira fase
AR,M,073,9,3,Men's Ind. Recurve - Open Ranking Round,"Arco recurvo masc - W1, classificatório",Men's Individual Recurve - Open Ranking Round,"Arco recurvo masculino - W1, classificatório",Ranking Round,Classificatório
AR,M,073,M,6,Men's Ind. Recurve - Open VC,"Arco recurvo masculino - W1, premiação",Men's Individual Recurve - Open Victory Ceremony,"Arco recurvo masculino - W1, cerimônia de premiação","",""
AR,W,000,0,8,Women's Archery,Tiro com arco feminino,Women's Archery,Tiro com arco feminino,"",""
AR,W,071,0,8,Women's Ind. Recurve/Compound - W1,Arco recurvo/composto feminino - W1,Women's Individual Recurve/Compound - W1,Arco recurvo/composto feminino - W1,"",""
AR,W,071,1,3,Women's Ind. Recurve/Compound - W1 Fnals,"Arco recurvo/composto fem - W1, finais",Women's Individual Recurve/Compound - W1 Finals,"Arco recurvo/composto feminino - W1, finais",Finals,Finais
AR,W,071,2,3,Women's Ind. Recurve/Compound - W1 SF,"Arco recurvo/composto fem-W1, semifinal",Women's Individual Recurve/Compound - W1 Semifinals,"Arco recurvo/composto feminino - W1, semifinal",Semifinals,Semifinais
AR,W,071,3,3,Women's Ind. Recurve/Compound - W1 QF,"Arco recurvo/composto fem - W1, quartas",Women's Individual Recurve/Compound - W1 Quarterfinals,"Arco recurvo/composto feminino - W1, quartas de final",Quarterfinals,Quartas de finais
AR,W,071,4,3,Women's Ind. Recurve/Compound - W1 1/8,"Arco recurvo/composto fem - W1, oitavas",Women's Individual Recurve/Compound - W1 1/8 Eliminations,"Arco recurvo/composto feminino - W1, oitavas de final",1/8 Eliminations,Oitavas de final
AR,W,071,5,3,Women's Ind. Recurve/Compound - W1 1/16,"Arco recurvo/composto fem - W1, primeira",Women's Individual Recurve/Compound - W1 1/16 Eliminations,"Arco recurvo/composto feminino - W1, primeira fase",1/16 Eliminations,Primeira fase
AR,W,071,9,3,Women's Ind. Recurve/Compound - W1 RR,"Arco recurvo/composto fem-W1,classificat",Women's Individual Recurve/Compound - W1 Ranking Round,"Arco recurvo/composto feminino - W1, classificatório",Ranking Round,Classificatório
AR,W,071,M,6,Women's Ind. Recurve/Compound - W1 VC,"Arco recurvo/composto fem-W1, premiação",Women's Individual Recurve/Compound - W1 Victory Ceremony,"Arco recurvo/composto feminino - W1, cerimônia de premiação","",""
AR,W,072,0,8,Women's Ind. Compound - Open,Arco composto feminino - aberto,Women's Individual Compound - Open,Arco composto feminino - aberto,"",""
AR,W,072,1,3,Women's Ind. Compound - Open Finals,"Arco composto feminino - aberto, finais",Women's Individual Compound - Open Finals,"Arco composto feminino - aberto, finais",Finals,Finais
AR,W,072,2,3,Women's Ind. Compound - Open Semifinals,"Arco composto feminino-aberto,semifinais",Women's Individual Compound - Open Semifinals,"Arco composto feminino - aberto, semifinais",Semifinals,Semifinais
AR,W,072,3,3,Women's Ind. Compound - Open QF,"Arco composto feminino-aberto,quartas",Women's Individual Compound - Open Quarterfinals,"Arco composto feminino - aberto, quartas de final ",Quarterfinals,Quartas de finais
AR,W,072,4,3,Women's Ind. Compound - Open 1/8 Elimin.,"Arco composto feminino-aberto,oitavas",Women's Individual Compound - Open 1/8 Eliminations,"Arco composto feminino - aberto, oitavas de final",Eliminations,Eliminatórias
AR,W,072,9,3,Women's Ind. Compound - Open Ranking Rnd,"Arco composto feminino-aberto,classifica",Women's Individual Compound - Open Ranking Round,"Arco composto feminino - aberto, classificatório",Ranking Round,Classificatória
AR,W,072,M,6,Women's Ind. Compound - Open VC,"Arco composto feminino-aberto,premiação",Women's Individual Compound - Open Victory Ceremony,"Arco composto feminino - aberto, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AR,W,073,0,8,Women's Ind. Recurve - Open,Arco recurvo feminino - W1,Women's Individual Recurve - Open,Arco recurvo feminino - W1,"",""
AR,W,073,1,3,Women's Ind. Recurve - Open Finals,"Arco recurvo feminino - W1, finais",Women's Individual Recurve - Open Finals,"Arco recurvo feminino - W1, finais",Finals,Finais
AR,W,073,2,3,Women's Ind. Recurve - Open Semifinals,"Arco recurvo fem - W1, semifinal",Women's Individual Recurve - Open Semifinals,"Arco recurvo feminino - W1, semifinal",Semifinals,Semifinais
AR,W,073,3,3,Women's Ind. Recurve - Open QF,"Arco recurvo fem - W1, quartas de final",Women's Individual Recurve - Open Quarterfinals,"Arco recurvo feminino - W1, quartas de final",Quarterfinals,Quartas de finais
AR,W,073,4,3,Women's Ind. Recurve - Open 1/8 Elimin.,"Arco recurvo fem - W1, oitavas de final",Women's Individual Recurve - Open 1/8 Eliminations,"Arco recurvo feminino - W1, oitavas de final",1/8 Eliminations,Oitavas de final
AR,W,073,5,3,Women's Ind. Recurve - Open 1/16 Elimin.,"Arco recurvo fem - W1, primeira fase",Women's Individual Recurve - Open 1/16 Eliminations,"Arco recurvo feminino - W1, primeira fase",1/16 Eliminations,Primeira fase
AR,W,073,9,3,Women's Ind. Recurve - Open Ranking Rnd,"Arco recurvo fem - W1, classificatório",Women's Individual Recurve - Open Ranking Round,"Arco recurvo feminino - W1, classificatório",Ranking Round,Classificatório
AR,W,073,M,6,Women's Ind. Recurve - Open VC,"Arco recurvo fem - W1, cer. de premiação",Women's Individual Recurve - Open Victory Ceremony,"Arco recurvo feminino - W1, cerimônia de premiação","",""
AR,X,000,0,8,Mixed Archery,Tiro com arco misto,Mixed Archery,Tiro com arco misto,"",""
AR,X,471,0,8,Mixed Team W1 Recurve/Compound,Mistos arco recurvo/composto - W1,Mixed Team W1 Recurve/Compound,Times mistos arco recurvo/composto - W1 ,"",""
AR,X,471,1,3,Mixed Team W1 Recurve/Compound Finals,"Mistos arco recurvo/composto-W1, finais",Mixed Team W1 Recurve/Compound Finals,"Times mistos arco recurvo/composto - W1, finais",Finals,Finais
AR,X,471,2,3,Mixed Team W1 Recurve/Compound SF,"Mistos arco recurvo/composto-W1, semifin",Mixed Team W1 Recurve/Compound Semifinals,"Times mistos arco recurvo/composto - W1, semifinais",Semifinals,Semifinais
AR,X,471,3,3,Mixed Team W1 Recurve/Compound QF,"Mistos arco recurvo/composto-W1, quartas",Mixed Team W1 Recurve/Compound Quarterfinals,"Times mistos arco recurvo/composto - W1, quartas",Quarterfinals,Quartas de finais
AR,X,471,4,3,Mixed Team W1 Recurve/Compound 1/8,"Mistos arco recurvo/composto-W1, oitavas",Mixed Team W1 Recurve/Compound 1/8 Eliminations,"Times mistos arco recurvo/composto - W1, oitavas de final",1/8 Eliminations,Oitavas de final
AR,X,471,9,3,Mixed Team W1 Recurve/Compound RR,"Mistos arco recurvo/composto-W1, classif",Mixed Team W1 Recurve/Compound Ranking Round,"Times mistos arco recurvo/composto - W1, classificatório",Ranking Round,Classificatório
AR,X,471,M,6,Mixed Team W1 Recurve/Compound VC,"Mistos arco recurvo/composto-W1,premiaça",Mixed Team W1 Recurve/Compound Victory Ceremony,"Times mistos arco recurvo/composto - W1, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AR,X,472,0,8,Mixed Team Compound Open,Mistos arco composto - aberto,Mixed Team Compound Open,Times mistos arco composto - aberto,"",""
AR,X,472,1,3,Mixed Team Compound Open Finals,"Mistos arco composto - aberto, finais",Mixed Team Compound Open Finals,"Times mistos arco composto - aberto, finais",Finals,Finais
AR,X,472,2,3,Mixed Team Compound Open Semifinals,"Mistos arco composto - aberto,semifinais",Mixed Team Compound Open Semifinals,"Times mistos arco composto - aberto, semifinais",Semifinals,Semifinais
AR,X,472,3,3,Mixed Team Compound Open Quarterfinals,"Mistos arco composto - aberto, quartas",Mixed Team Compound Open Quarterfinals,"Times mistos arco composto - aberto, quartas ",Quarterfinals,Quartas de finais
AR,X,472,4,3,Mixed Team Compound Open 1/8 Elimin.,"Mistos arco composto - aberto, oitavas",Mixed Team Compound Open 1/8 Eliminations,"Times mistos arco composto - aberto, oitavas",1/8 Eliminations,Oitavas de final
AR,X,472,9,3,Mixed Team Compound Open Ranking Round,"Mistos arco composto - aberto, classific",Mixed Team Compound Open Ranking Round,"Times mistos arco composto - aberto, classificatório",Ranking Round,Classificatório
AR,X,472,M,6,Mixed Team Compound Open VC,"Mistos arco composto - aberto, premiação",Mixed Team Compound Open Victory Ceremony,"Times mistos arco composto - aberto, cerimônia de premiação","",""
AR,X,473,0,8,Mixed Team Recurve Open,Mistos arco recurvo - aberto,Mixed Team Recurve Open,Times mistos arco recurvo - aberto,"",""
AR,X,473,1,3,Mixed Team Recurve Open Finals,"Mistos arco recurvo - aberto, finais",Mixed Team Recurve Open Finals,"Times mistos arco recurvo - aberto, finais",Finals,Finais
AR,X,473,2,3,Mixed Team Recurve Open Semifinals,"Mistos arco recurvo - aberto, semifinais",Mixed Team Recurve Open Semifinals,"Times mistos arco recurvo - aberto, semifinais",Semifinals,Semifinais
AR,X,473,3,3,Mixed Team Recurve Open Quarterfinals,"Mistos arco recurvo - aberto, quartas",Mixed Team Recurve Open Quarterfinals,"Times mistos arco recurvo - aberto, quartas ",Quarterfinals,Quartas de finais
AR,X,473,4,3,Mixed Team Recurve Open 1/8 Eliminations,"Mistos arco recurvo - aberto, oitavas",Mixed Team Recurve Open 1/8 Eliminations,"Times mistos arco recurvo - aberto, oitavas",1/8 Eliminations,Oitavas de final
AR,X,473,9,3,Mixed Team Recurve Open Ranking Round,"Mistos arco recurvo - aberto, classifica",Mixed Team Recurve Open Ranking Round,"Times mistos arco recurvo - aberto, classificatório",Ranking Round,Classificatório
AR,X,473,M,6,Mixed Team Recurve Open VC,"Mistos arco recurvo - aberto, premiação",Mixed Team Recurve Open Victory Ceremony,"Times mistos arco recurvo - aberto, cerimônia de premiação",,
AT,0,000,0,8,Athletics,Atletismo,Athletics,Atletismo,,
AT,0,000,Y,8,Athletics Daily Schedule,"Atletismo, programação diária",Athletics Daily Schedule,"Atletismo, programação diária",,
AT,0,FTC,0,8,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,,
AT,0,OLS,0,8,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,,
AT,M,000,0,8,Men's Athletics,Atletismo masculino,Men's Athletics,Atletismo masculino,,
AT,M,014,0,8,Men's High Jump - F42,Salto altura masc-F42,Men's High Jump - F42,Salto em altura masculino - F42,,
AT,M,014,1,3,Men's High Jump - F42 Final,"Salto altura masc-F42, final",Men's High Jump - F42 Final,"Salto em altura masculino - F42, final",Final,Final
AT,M,014,9,3,Men's High Jump - F42 Qualifying,"Salto altura masc-F42, classificatórias",Men's High Jump - F42 Qualifying,"Salto em altura masculino - F42, classificatórias",Qualifying,Classificatória
AT,M,014,M,6,Men's High Jump - F42 VC,"Salto altura masc-F42, cer. de premiação",Men's High Jump - F42 Victory Ceremony,"Salto em altura masculino - F42, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,014,N,7,Men's High Jump - F42 Draw,"Salto altura masc-F42, sorteio",Men's High Jump - F42 Draw,"Salto em altura masculino - F42, sorteio",Draw,Sorteio
AT,M,020,0,8,Men's High Jump - F46,Salto altura masc-F46,Men's High Jump - F46,Salto em altura masculino - F46,"",""
AT,M,020,1,3,Men's High Jump - F46 Final,"Salto altura masc-F46, final",Men's High Jump - F46 Final,"Salto em altura masculino - F46, final",Final,Final
AT,M,020,9,3,Men's High Jump - F46 Qualifying,"Salto altura masc-F46, classificatórias",Men's High Jump - F46 Qualifying,"Salto em altura masculino - F46, classificatórias",Qualifying,Classificatória
AT,M,020,M,6,Men's High Jump - F46 VC,"Salto altura masc-F46, cer. de premiação",Men's High Jump - F46 Victory Ceremony,"Salto em altura masculino - F46, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,020,N,7,Men's High Jump - F46 Draw,"Salto altura masc-F46, sorteio",Men's High Jump - F46 Draw,"Salto em altura masculino - F46, sorteio",Draw,Sorteio
AT,M,031,0,8,Men's Long Jump - F11,Salto distância masc-F11,Men's Long Jump - F11,Salto em distância masculino - F11,"",""
AT,M,031,1,3,Men's Long Jump - F11 Final,"Salto distância masc-F11, final",Men's Long Jump - F11 Final,"Salto em distância masculino - F11, final",Men's Long Jump - F11 ,Men's Long Jump - F11 
AT,M,031,9,3,Men's Long Jump - F11 Qualifying,"Salto distância masc-F11,classificatória",Men's Long Jump - F11 Qualifying,"Salto em distância masculino - F11, classificatórias",Qualifying,Classificatória
AT,M,031,M,6,Men's Long Jump - F11 VC,"Salto distância masc-F11,cer. premiação",Men's Long Jump - F11 Victory Ceremony,"Salto em distância masculino - F11, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,031,N,7,Men's Long Jump - F11 Draw,"Salto distância masc-F11, sorteio",Men's Long Jump - F11 Draw,"Salto em distância masculino - F11, sorteio",Draw,Sorteio
AT,M,033,0,8,Men's Long Jump - F13,Salto distância masc-F13,Men's Long Jump - F13,Salto em distância masculino - F13,"",""
AT,M,033,1,3,Men's Long Jump - F13 Final,"Salto distância masc-F13, final",Men's Long Jump - F13 Final,"Salto em distância masculino - F13, final",Final,Final
AT,M,033,9,3,Men's Long Jump - F13 Qualifying,"Salto distância masc-F13,classificatória",Men's Long Jump - F13 Qualifying,"Salto em distância masculino - F13, classificatórias",Qualifying,Classificatória
AT,M,033,M,6,Men's Long Jump - F13 VC,"Salto distância masc-F13,cer. premiação",Men's Long Jump - F13 Victory Ceremony,"Salto em distância masculino - F13, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,033,N,7,Men's Long Jump - F13 Draw,"Salto distância masc-F13, sorteio",Men's Long Jump - F13 Draw,"Salto em distância masculino - F13, sorteio",Draw,Sorteio
AT,M,034,0,8,Men's Long Jump - F36,Salto distância masc-F36,Men's Long Jump - F36,Salto em distância masculino - F36,"",""
AT,M,034,1,3,Men's Long Jump - F36 Final,"Salto distância masc-F36, final",Men's Long Jump - F36 Final,"Salto em distância masculino - F36, final",Final,Final
AT,M,034,9,3,Men's Long Jump - F36 Qualifying,"Salto distância masc-F36,classificatória",Men's Long Jump - F36 Qualifying,"Salto em distância masculino - F36, classificatórias",Qualifying,Classificatória
AT,M,034,M,6,Men's Long Jump - F36 VC,"Salto distância masc-F36,cer. premiação",Men's Long Jump - F36 Victory Ceremony,"Salto em distância masculino - F36, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,034,N,7,Men's Long Jump - F36 Draw,"Salto distância masc-F36, sorteio",Men's Long Jump - F36 Draw,"Salto em distância masculino - F36, sorteio",Draw,Sorteio
AT,M,035,0,8,Men's Long Jump - F20,Salto distância masc-F20,Men's Long Jump - F20,Salto em distância masculino - F20,"",""
AT,M,035,1,3,Men's Long Jump - F20 Final,"Salto distância masc-F20, final",Men's Long Jump - F20 Final,"Salto em distância masculino - F20, final",Final,Final
AT,M,035,9,3,Men's Long Jump - F20 Qualifying,"Salto distância masc-F20,classificatória",Men's Long Jump - F20 Qualifying,"Salto em distância masculino - F20, classificatórias",Qualifying,Classificatória
AT,M,035,M,6,Men's Long Jump - F20 VC,"Salto distância masc-F20,cer. premiação",Men's Long Jump - F20 Victory Ceremony,"Salto em distância masculino - F20, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,035,N,7,Men's Long Jump - F20 Draw,"Salto distância masc-F20, sorteio",Men's Long Jump - F20 Draw,"Salto em distância masculino - F20, sorteio",Draw,Sorteio
AT,M,040,0,8,Men's Long Jump - F37/38,Salto distância masc-F37/38,Men's Long Jump - F37/38,Salto em distância masculino - F37/38,"",""
AT,M,040,1,3,Men's Long Jump - F37/38 Final,"Salto distância masc-F37/38, final",Men's Long Jump - F37/38 Final,"Salto em distância masculino - F37/38, final",Final,Final
AT,M,040,9,3,Men's Long Jump - F37/38 Qualifying,"Salto distância masc-F37/38, classif",Men's Long Jump - F37/38 Qualifying,"Salto em distância masculino - F37/38, classificatórias",Qualifying,Classificatória
AT,M,040,M,6,Men's Long Jump - F37/38 VC,"Salto distância masc-F37/38, premiação",Men's Long Jump - F37/38 Victory Ceremony,"Salto em distância masculino - F37/38, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,040,N,7,Men's Long Jump - F37/38 Draw,"Salto distância masc-F37/38, sorteio",Men's Long Jump - F37/38 Draw,"Salto em distância masculino - F37/38, sorteio",Draw,Sorteio
AT,M,042,0,8,Men's Long Jump - F42/44,Salto distância masc-F42/44,Men's Long Jump - F42/44,Salto em distância masculino - F42/44,"",""
AT,M,042,1,3,Men's Long Jump - F42/44 Final,"Salto distância masc-F42/44, final",Men's Long Jump - F42/44 Final,"Salto em distância masculino - F42/44, final",Final,Final
AT,M,042,9,3,Men's Long Jump - F42/44 Qualifying,"Salto distância masc-F42/44, classif",Men's Long Jump - F42/44 Qualifying,"Salto em distância masculino - F42/44, classificatórias",Qualifying,Classificatória
AT,M,042,M,6,Men's Long Jump - F42/44 VC,"Salto distância masc-F42/44, premiação",Men's Long Jump - F42/44 Victory Ceremony,"Salto em distância masculino - F42/44, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,042,N,7,Men's Long Jump - F42/44 Draw,"Salto distância masc-F42/44, sorteio",Men's Long Jump - F42/44 Draw,"Salto em distância masculino - F42/44, sorteio",Draw,Sorteio
AT,M,060,0,8,Men's Long Jump - F46,Salto distância masc-F46,Men's Long Jump - F46,Salto em distância masculino - F46,"",""
AT,M,060,1,3,Men's Long Jump - F46 Final,"Salto distância masc-F46, final",Men's Long Jump - F46 Final,"Salto em distância masculino - F46, final",Final,Final
AT,M,060,9,3,Men's Long Jump - F46 Qualifying,"Salto distância masc-F46,classificatória",Men's Long Jump - F46 Qualifying,"Salto em distância masculino - F46, classificatórias",Qualifying,Classificatória
AT,M,060,M,6,Men's Long Jump - F46 VC,"Salto distância masc-F46,cer. premiação",Men's Long Jump - F46 Victory Ceremony,"Salto em distância masculino - F46, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,060,N,7,Men's Long Jump - F46 Draw,"Salto distância masc-F46, sorteio",Men's Long Jump - F46 Draw,"Salto em distância masculino - F46, sorteio",Draw,Sorteio
AT,M,091,0,8,Men's Triple Jump - F11,Salto triplo - F11,Men's Triple Jump - F11,Salto triplo - F11,"",""
AT,M,091,1,3,Men's Triple Jump - F11 Final,"Salto triplo - F11, final",Men's Triple Jump - F11 Final,"Salto triplo - F11, final",Final,Final
AT,M,091,9,3,Men's Triple Jump - F11 Qualifying,"Salto triplo - F11, classificatórias",Men's Triple Jump - F11 Qualifying,"Salto triplo - F11, classificatórias",Qualifying,Classificatória
AT,M,091,M,6,Men's Triple Jump - F11 VC,"Salto triplo - F11, classif, premiação",Men's Triple Jump - F11 Victory Ceremony,"Salto triplo - F11, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,091,N,7,Men's Triple Jump - F11 Draw,"Salto triplo - F11, sorteio",Men's Triple Jump - F11 Draw,"Salto triplo - F11, sorteio",Draw,Sorteio
AT,M,092,0,8,Men's Triple Jump - F12,Salto triplo - F12,Men's Triple Jump - F12,Salto triplo - F12,"",""
AT,M,092,1,3,Men's Triple Jump - F12 Final,"Salto triplo - F12, final",Men's Triple Jump - F12 Final,"Salto triplo - F12, final",Final,Final
AT,M,092,9,3,Men's Triple Jump - F12 Qualifying,"Salto triplo - F12, classificatórias",Men's Triple Jump - F12 Qualifying,"Salto triplo - F12, classificatórias",Qualifying,Classificatória
AT,M,092,M,6,Men's Triple Jump - F12 VC,"Salto triplo - F12, classif, premiação",Men's Triple Jump - F12 Victory Ceremony,"Salto triplo - F12, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,092,N,7,Men's Triple Jump - F12 Draw,"Salto triplo - F12, sorteio",Men's Triple Jump - F12 Draw,"Salto triplo - F12, sorteio",Draw,Sorteio
AT,M,093,0,8,Men's Triple Jump - F46,Salto triplo - F46,Men's Triple Jump - F46,Salto triplo - F46,"",""
AT,M,093,1,3,Men's Triple Jump - F46 Final,"Salto triplo - F46, final",Men's Triple Jump - F46 Final,"Salto triplo - F46, final",Final,Final
AT,M,093,9,3,Men's Triple Jump - F46 Qualifying,"Salto triplo - F46, classificatórias",Men's Triple Jump - F46 Qualifying,"Salto triplo - F46, classificatórias",Qualifying,Classificatória
AT,M,093,M,6,Men's Triple Jump - F46 VC,"Salto triplo - F46, classif, premiação",Men's Triple Jump - F46 Victory Ceremony,"Salto triplo - F46, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,093,N,7,Men's Triple Jump - F46 Draw,"Salto triplo - F46, sorteio",Men's Triple Jump - F46 Draw,"Salto triplo - F46, sorteio",Draw,Sorteio
AT,M,111,0,8,Men's 100m - T11,100m rasos masc - T11,Men's 100m - T11,100m rasos masculino - T11,"",""
AT,M,111,1,3,Men's 100m - T11 Final,"100m rasos masc - T11, final",Men's 100m - T11 Final,"100m rasos masculino - T11, final",Final,Final
AT,M,111,2,3,Men's 100m - T11 Semifinals,"100m rasos masc - T11, semifinais",Men's 100m - T11 Semifinals,"100m rasos masculino - T11, semifinais",Semifinals,Semifinais
AT,M,111,9,3,Men's 100m - T11 Round 1,"100m rasos masc - T11, primeira fase",Men's 100m - T11 Round 1,"100m rasos masculino - T11, primeira fase",Round 1,Fase 1
AT,M,111,M,6,Men's 100m - T11 VC,"100m rasos masc - T11, cer. de premiação",Men's 100m - T11 Victory Ceremony,"100m rasos masculino - T11, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,111,N,7,Men's 100m - T11 Draw,"100m rasos masc - T11, sorteio",Men's 100m - T11 Draw,"100m rasos masculino - T11, sorteio",Draw,Sorteio
AT,M,112,0,8,Men's 100m - T12,100m rasos masc - T12,Men's 100m - T12,100m rasos masculino - T12,"",""
AT,M,112,1,3,Men's 100m - T12 Final,"100m rasos masc - T12, final",Men's 100m - T12 Final,"100m rasos masculino - T12, final",Final,Final
AT,M,112,2,3,Men's 100m - T12 Semifinals,"100m rasos masc - T12, semifinais",Men's 100m - T12 Semifinals,"100m rasos masculino - T12, semifinais",Semifinals,Semifinais
